ix,data,compositional,visual,question
0,d3|d3_1,lookup,nonvisual,How many pending cases was there in the year 2010?
353,kong|kong_70,compositional,nonvisual,What is the total percentage of all answers.
354,kong|kong_70,compositional,nonvisual,What percentage of people strongly disagree with the prompt of people who feel they belong are happier?
355,kong|kong_70,compositional,nonvisual,"Which category of agreement has the highest percentage of ""agrees?"""
356,kong|kong_70,compositional,nonvisual,What is the difference between Strongly Agree and Strongly Disagree
357,kong|kong_70,compositional,nonvisual,What percentage of people strongly agree more than strongly disagree based on the question of who feel they belong are happier?
358,kong|kong_71,compositional,nonvisual,Did a higher percentage of women in age group 65-69 or age group 80 and over feel belonging?
359,kong|kong_71,compositional,nonvisual,Did more women or men overall feel welcome?
360,kong|kong_71,compositional,nonvisual,What is the lowest percentage of women that feel they belong in the neighborhood?
361,kong|kong_71,compositional,nonvisual,Which age group had the smallest overall percentage of the feeling of belonging?
362,kong|kong_71,compositional,nonvisual,Did more overall people feel welcoming in age groups 16 and over or 60-64?
363,kong|kong_73,compositional,nonvisual,Which age group has the highest percentage of male and female refugees?
364,kong|kong_73,compositional,nonvisual,Does the youngest age group have the smallest population size?
365,kong|kong_73,compositional,nonvisual,How many age groups have a greater than ten percent population size?
366,kong|kong_73,compositional,nonvisual,Does the 60+ age group have a percentage higher than ten for it's female or male population size?
367,kong|kong_73,compositional,nonvisual,Which age groups on the graph have an unequal gender split?
368,kong|kong_73,compositional,nonvisual,What percentage of Syrian refugees are 12-17?
369,kong|kong_73,compositional,nonvisual,What percentage of Syrian refugees are 0-4?
370,kong|kong_73,compositional,nonvisual,Are there more male or female syrian refugees between the ages of 18-59?
371,kong|kong_73,compositional,nonvisual,Are there more Syrian refugees 60 and older or below 5?
372,kong|kong_73,compositional,nonvisual,Which age groups have unequal amount of Syrian refugees between male and female?
373,kong|kong_74,compositional,nonvisual,Which country has provided more donations; Norway or Ireland?
374,kong|kong_74,compositional,nonvisual,Does the European Commission donated more or less than the 50% of the donations made by the US?
375,kong|kong_74,compositional,nonvisual,How much more donations does the US have in comparison to the European Commission?
376,kong|kong_74,compositional,nonvisual,How much has the US donated to Syrian refugees?
377,kong|kong_74,compositional,nonvisual,How much more donations has the European Commission donated to Syrian refugees in comparison to Japan?
378,kong|kong_74,compositional,nonvisual,How much is the total of the donations of US and China together?
379,kong|kong_74,compositional,nonvisual,Who made more donations: Belgium or Ireland?
380,kong|kong_74,compositional,nonvisual,Which country has provided the fewest donations?
381,kong|kong_74,compositional,nonvisual,How many donation have done Japan and China together?
382,kong|kong_74,compositional,nonvisual,Which country has provided the most donations?
383,kong|kong_74,compositional,nonvisual,What percentage of the total donations has been made by the European Commission?
384,kong|kong_75,compositional,nonvisual,Which country is most generous by GDP?
385,kong|kong_75,compositional,nonvisual,Which country is 3rd most generous by GDP?
386,kong|kong_75,compositional,nonvisual,"How much more Donations in GDP form, does Ireland give out over have over Germany?"
387,kong|kong_75,compositional,nonvisual,Who has the lowest total of GDP donations thus fair?
388,kong|kong_75,compositional,nonvisual,What is the sum of Estonia + Japan + Kuwait?
389,kong|kong_75,compositional,nonvisual,How much of a different in donations has Norway have over China?
390,kong|kong_75,compositional,nonvisual,Which country is least generous by GPD?
391,kong|kong_75,compositional,nonvisual,How much more generous is Japan than the USA?
392,kong|kong_76,compositional,nonvisual,Which country gets the most money?
393,kong|kong_76,compositional,nonvisual,Which countries get less than Turkey?
394,kong|kong_76,compositional,nonvisual,Which country gets the most
395,kong|kong_76,compositional,nonvisual,Which country gets the least money?
396,vega-lite-example-gallery|bar_aggregate,compositional,nonvisual,Which age has the highest population number?
397,vega-lite-example-gallery|bar_aggregate,compositional,nonvisual,Which age is closest to 20 million in population?
398,vega-lite-example-gallery|bar_aggregate,compositional,nonvisual,How large is the population for the youngest age?
399,vega-lite-example-gallery|bar_aggregate,compositional,nonvisual,Is there more newborns or 5 year olds?
400,vega-lite-example-gallery|bar_aggregate,compositional,nonvisual,What age has the large population?
401,vega-lite-example-gallery|bar_aggregate,compositional,nonvisual,How much younger is the largest population compared to the smallest?
402,vega-lite-example-gallery|bar_aggregate,compositional,nonvisual,What age has the lowest population?
403,vega-lite-example-gallery|bar_aggregate,compositional,nonvisual,What is the population of 90 year olds?
404,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,what is the overall population at the age 60?
405,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,How large of the population is males in their 30s?
406,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,what is the male population at the age 20?
407,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,What age had the most males?
408,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,How many females are under 10?
409,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,which year was highest population in both male and female?
410,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,what is the highest female populations age?
411,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,How large is the population of females in their 20s?
412,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,What age had the lowest population of females?
413,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,How many males are over 85?
414,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,What age had the lowest population of males?
415,vega-lite-example-gallery|bar_grouped,compositional,nonvisual,What age and gender had the highest population?
416,vega-lite-example-gallery|line,compositional,nonvisual,what is the highest price?
417,vega-lite-example-gallery|line,compositional,nonvisual,What was the lowest stock price of Google from 2005-2010?
418,vega-lite-example-gallery|line,compositional,nonvisual,The stock price was lowest at what date
419,vega-lite-example-gallery|line,compositional,nonvisual,What was the highest stock price of Google from 2005-2010?
420,vega-lite-example-gallery|line,compositional,nonvisual,What year was the price highest?
421,vega-lite-example-gallery|line_color,compositional,nonvisual,when apple price starts to be larger than IBM?
422,vega-lite-example-gallery|line_color,compositional,nonvisual,when the difference between google and apple was the highest?
423,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,What is the cummulative total of No 475?
424,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which crop had the highest yield at Waseca?
425,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which variety has the largest sum of yield?
426,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,"In all sites, what's the difference between No. 475 and Velvet?"
427,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which variety yielded the most overall?
428,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which site produces the smallest yield across all the various varieties?
429,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which varieties of barley are most abundant throughout all sites?
430,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,"Out of University or Grand Rapids, which did better with no 457?"
431,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Manchuria yielded the least at what location?
432,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,How much more glabron was produced at Waseca when compared to University Farm?
433,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,How much Gabron was produced in all sites?
434,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,What single crop had the highest yield across the chart?
435,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,What percentage of the yield in No 475 came from Grand Rapids
436,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,"On average, which site produces the smallest yields across all varieties?"
437,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which site had the highest yield of Trebi?
438,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which variety produces the greatest yield across all sites?
439,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,How much is Peatland in total
440,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which site had the lowest production of the Glabron variety?
441,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which site provides the greatest yield of Wisconsin No. 38?
442,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,What variety of barley has the highest yield in Crookston?
443,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,What farm yielded the most barley?
444,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which site has the lowest overall yield of barley?
445,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which variety of barley has the highest production in Crookston?
446,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,What farm yielded the least amount of barley?
447,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,How much higher was the yield of Manchuria between Morris and Grand Rapids?
448,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Which site had the highest yeld of No. 462?
449,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,Where is Duluth the biggest value?
450,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,What variety had the highest yield in Duluth?
451,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,"On average, which site produces the greatest yield across all varieties?"
452,vega-lite-example-gallery|stacked_bar_h,compositional,nonvisual,How much was the yield of Trebi when the two highest producers have their yields combined?
453,vega-lite-example-gallery|stacked_bar_weather,compositional,nonvisual,What month has the most sun?
454,vega-lite-example-gallery|stacked_bar_weather,compositional,nonvisual,What is the first month with no snow?
455,vega-lite-example-gallery|stacked_bar_weather,compositional,nonvisual,What months have all 5 weather types?
456,vega-lite-example-gallery|stacked_bar_weather,compositional,nonvisual,What is the rainiest recorded month?
457,vega-lite-example-gallery|stacked_bar_weather,compositional,nonvisual,What month has the least fog?
458,vega-lite-example-gallery|stacked_bar_weather,compositional,nonvisual,What month has the least recorded weather?
459,vega-lite-example-gallery|stacked_bar_weather,compositional,nonvisual,What month has the highest sun weather type?
460,vega-lite-example-gallery|stacked_bar_weather,compositional,nonvisual,What month has more rain than sun?
461,wikitables-200|10_0,compositional,nonvisual,How many less deaths from 2001 to 2002?
462,wikitables-200|10_0,compositional,nonvisual,How many years are we tracking deaths?
463,wikitables-200|10_0,compositional,nonvisual,What was the most number of deaths in a single year?
464,wikitables-200|10_0,compositional,nonvisual,How many deaths were there in 2002 and 2003 combined?
465,wikitables-200|10_0,compositional,nonvisual,How many more deaths from 2004 until 2005?
466,wikitables-200|10_0,compositional,nonvisual,Which year had the highest number of deaths?
467,wikitables-200|10_0,compositional,nonvisual,2011 had how many more deaths than 2012?
468,wikitables-200|25_0,compositional,nonvisual,How many services had a total cost below 10 million pounds?
469,wikitables-200|25_0,compositional,nonvisual,Which service had the lowest total cost?
470,wikitables-200|25_0,compositional,nonvisual,How many services had a total cost above 50 million?
471,wikitables-200|28_0,compositional,nonvisual,How many more Democratic Voters are there than Unaffiliated Voters?
472,wikitables-200|28_0,compositional,nonvisual,What is the total number of voters?
473,wikitables-200|28_0,compositional,nonvisual,How many voters are affiliated with a party?
474,wikitables-200|28_0,compositional,nonvisual,How many more Democratic voters are there than Republican voters?
475,wikitables-200|28_0,compositional,nonvisual,How many more Unaffiliated Voters are there than Republican Voters?
476,wikitables-200|28_0,compositional,nonvisual,How many voters are affiliated with a party?
477,wikitables-200|28_0,compositional,nonvisual,How many more Unaffiliated voters are there than Republican voters?
478,wikitables-200|28_0,compositional,nonvisual,How many more Democratic Voters are there than Republican Voters?
479,wikitables-200|28_0,compositional,nonvisual,How many more Democratic voters are there than Minor party voters?
480,wikitables-200|28_0,compositional,nonvisual,How many more Unaffiliated voters are there than Republican voters?
481,wikitables-200|33_0,compositional,nonvisual,What is the difference between Gojo and the highland?
482,wikitables-200|33_0,compositional,nonvisual,Which city has the largest area size?
483,wikitables-200|33_0,compositional,nonvisual,What is the difference between the highland and the inland plain?
484,wikitables-200|33_0,compositional,nonvisual,How much larger is the area of the inland plain relative to the highland size?
485,wikitables-200|33_0,compositional,nonvisual,How much is the difference between Gojo and the inland plain?
486,wikitables-200|33_1,compositional,nonvisual,"How much higher is the population of Gojo, Yoshino than Yamato highland?"
487,wikitables-200|33_1,compositional,nonvisual,Approximiately what is the difference in population between Gojo and Yamato?
488,wikitables-200|33_1,compositional,nonvisual,What is the highest population in the chart?
489,wikitables-201|11,compositional,nonvisual,Which region has the smallest population?
490,wikitables-201|11,compositional,nonvisual,What is the total population of South Skane and West Skane?
491,wikitables-201|11,compositional,nonvisual,What is the difference in population between South Skane and Remainder?
492,wikitables-201|11,compositional,nonvisual,Which area has the least population?
493,wikitables-201|11,compositional,nonvisual,What is the population of the least populated region?
494,wikitables-201|11,compositional,nonvisual,What is the population difference between the North East Skane and Remainder?
495,wikitables-201|11,compositional,nonvisual,What is the difference in numbers between the most populated and least populated regions?
496,wikitables-201|11,compositional,nonvisual,Which region has the largest population?
497,wikitables-201|11,compositional,nonvisual,"How many regions have a population lower than 500,000?"
498,wikitables-201|11,compositional,nonvisual,Which area has the most population?
499,wikitables-201|11,compositional,nonvisual,How much higher is the population of Remainder than North East Skane?
500,wikitables-201|46,compositional,nonvisual,Which bird is the shortest in length?
501,wikitables-201|46,compositional,nonvisual,By how much bigger is the Alna category compared to the Dautphe category?
502,wikitables-201|46,compositional,nonvisual,By how much bigger is the AAR category compared to the Lumda category?
503,wikitables-201|46,compositional,nonvisual,Which bird is the longest in length?
504,wikitables-201|46,compositional,nonvisual,How much shorter in length is the Dautphe than the Dill?
505,wikitables-201|46,compositional,nonvisual,What is the difference in length of the Ilse and the Gelbach(Aubach)?
506,wikitables-201|8_0,compositional,nonvisual,How many amphibians species have Belize and El Salvador together?
507,wikitables-201|8_0,compositional,nonvisual,"Who has more Amphibians species: Costs Rica, or Panama?"
508,wikitables-201|8_0,compositional,nonvisual,Which country has the highest amount of Amphibians?
509,wikitables-201|8_0,compositional,nonvisual,"Which country has more Amphibians, Costa Rica or Panama?"
510,wikitables-201|8_0,compositional,nonvisual,Which country has the least amount of Amphibians?
511,wikitables-201|8_0,compositional,nonvisual,Which country has the second fewest amount of Amphibians?
512,wikitables-201|8_0,compositional,nonvisual,Does Costa Rica and Panama amphibians species account for more or less than the 50% of the total number of species?
513,wikitables-201|8_0,compositional,nonvisual,How many less amphibians species have Honduras than Guatemala?
514,wikitables-201|8_0,compositional,nonvisual,How many more Amphibians are located in Costa Rica versus El Salvador?
515,wikitables-201|8_0,compositional,nonvisual,"How many amphibians species have Belize, Honduras, and Nicaragua together?"
516,wikitables-201|8_1,compositional,nonvisual,Which country has less than half as many bird species as Panama?
517,wikitables-201|8_1,compositional,nonvisual,"Who has the most bird species, Guatemala or Honduras?"
518,wikitables-201|8_1,compositional,nonvisual,Does Guatemala or Honduras have more bird species?
519,wikitables-201|8_1,compositional,nonvisual,Which country has the least number of bird species?
520,wikitables-201|8_1,compositional,nonvisual,How many more bird species does Nicaragua have compared to El Salvador?
521,wikitables-201|8_1,compositional,nonvisual,Which country has the most bird species?
522,wikitables-201|8_1,compositional,nonvisual,Which country has the least bird species?
523,wikitables-201|8_1,compositional,nonvisual,Which country has the most bird species?
524,wikitables-202|271_0,compositional,nonvisual,What is the sum of both Adrian Oliver and Margot James' votes?
525,wikitables-202|271_0,compositional,nonvisual,How much higher is Frank Dobson compared to Jill Fraser?
526,wikitables-202|271_0,compositional,nonvisual,How many more votes does Frank Dobson have in comparison to Adrian Oliver?
527,wikitables-202|271_0,compositional,nonvisual,Who has the lowest number of votes?
528,wikitables-202|271_0,compositional,nonvisual,Who is least likely to win?
529,wikitables-202|271_0,compositional,nonvisual,How many more votes did Margot James receive compared to Rainbow George Weiss?
530,wikitables-202|271_0,compositional,nonvisual,Who has roughly 5 votes?
531,wikitables-202|271_1,compositional,nonvisual,How much more of a percentage does Margot James have over Rainbow George Weiss?
532,wikitables-202|271_1,compositional,nonvisual,Who has the lowest percent?
533,wikitables-202|271_1,compositional,nonvisual,Who has the highest percent?
534,wikitables-202|271_1,compositional,nonvisual,what is the difference in percentage of Adrian Oliver and Frank Dobson
535,wikitables-202|271_1,compositional,nonvisual,How much more percentage does Frank Dobson have over Jill Fraser?
536,wikitables-202|271_1,compositional,nonvisual,Who has the most percentage points?
537,wikitables-202|48,compositional,nonvisual,What is the most passengers handled for any given airport?
538,wikitables-202|48,compositional,nonvisual,Who handled more passengers Bristol or Belfast City?
539,wikitables-202|48,compositional,nonvisual,What is the lowest passengers handled for any given airport?
540,wikitables-202|48,compositional,nonvisual,What airport handled the most passengers?
541,wikitables-202|48,compositional,nonvisual,What is the average of passengers handled over all airports?
542,wikitables-202|48,compositional,nonvisual,How many airports are shown?
543,wikitables-202|59_0,compositional,nonvisual,Which two teams are tied for second place?
544,wikitables-202|59_0,compositional,nonvisual,What team has the least amount of wins in the Central Divison?
545,wikitables-202|59_0,compositional,nonvisual,What basketball team has the most wins in the Central Division?
546,wikitables-202|59_0,compositional,nonvisual,What team had the least wins?
547,wikitables-202|59_0,compositional,nonvisual,What team had the most wins?
548,wikitables-202|59_0,compositional,nonvisual,How many teams are in the Central Division?
549,wikitables-202|59_1,compositional,nonvisual,What is the difference in points of the Indiana Pacers and x-Houston Rockets?
550,wikitables-202|59_1,compositional,nonvisual,How much more is the amount for the Detroit Pistons vs the Cleveland Cavaliers?
551,wikitables-202|59_1,compositional,nonvisual,How many more points did the Detroit Pistons get over the Cleveland Cavaliers?
552,wikitables-202|59_1,compositional,nonvisual,Which team scored the lowest points?
553,d3|d3_1,lookup,visual,What does the horizontal axis represent?
554,kong|kong_17,lookup,visual,What position is Ipsos in?
555,kong|kong_17,lookup,visual,What is the exact value of the bar for Gallup?
556,kong|kong_17,lookup,visual,What is the exact value of the bar for Rasmussen Reports?
557,kong|kong_27,lookup,visual,what is the blue value of China?
558,kong|kong_30,lookup,visual,What is the value of blue bar in France?
559,kong|kong_30,lookup,visual,What is the value of orange bar in Mexico?
560,kong|kong_30,lookup,visual,What is value of orange bar in Brazil?
561,kong|kong_5,lookup,visual,What is the percentage of blue Buddhists?
562,kong|kong_5,lookup,visual,What is the percentage of orange Hindus?
563,kong|kong_5,lookup,visual,what is the percentage of orange Jews?
564,kong|kong_5,lookup,visual,What does the orange bar represent?
565,kong|kong_5,lookup,visual,What is the percentage of red Protestants?
566,kong|kong_5,lookup,visual,What is the percentage of blue protestants?
567,kong|kong_53,lookup,visual,What percentage of white people have an employer pension?
568,kong|kong_54,lookup,visual,what color is used for the bars on the chart?
569,kong|kong_54,lookup,visual,What data is on the X-axis?
570,kong|kong_65,lookup,visual,what is the red value for treatment of the poor
571,kong|kong_65,lookup,visual,what is the value of the blue scale for the strength of family ties
572,kong|kong_65,lookup,visual,what is the blue value for moral values of society
573,kong|kong_70,lookup,visual,What is on the y-axis?
574,kong|kong_70,lookup,visual,What is shown on the x-axis?
575,kong|kong_70,lookup,visual,What does the y-axis measure?
576,kong|kong_71,lookup,visual,What is the value of the blue bar in the 60-64 age group?
577,kong|kong_75,lookup,visual,What is the generous donations for GDP (blue line total) for the Netherlands?
578,kong|kong_77,lookup,visual,what is on the x-axis?
579,kong|kong_77,lookup,visual,what is on the y-axis?
580,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What is the value of the orange Bar in Wisconsin No 38?
581,vega-lite-example-gallery|stacked_bar_h,lookup,visual,what is the value of blue in manchuria?
582,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What does the red field represent?
583,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What does the yellow bar represent?
584,vega-lite-example-gallery|stacked_bar_h,lookup,visual,what is the value of yellow on velvet?
585,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What does the X axis represent?
586,vega-lite-example-gallery|stacked_bar_h,lookup,visual,what is the value of orange in trebi?
587,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What's the red value for Giabron?
588,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What does the yellow bar represent?
589,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What does the Y axis represent?
590,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What is the value of the red bar in No 462?
591,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What does the Y axis represent?
592,vega-lite-example-gallery|stacked_bar_h,lookup,visual,which site does blue represent?
593,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What does the x axis represent?
594,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What site does green represent?
595,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What does the green bar represent?
596,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What represents green color
597,vega-lite-example-gallery|stacked_bar_h,lookup,visual,What is the yellow value for Wisconsin No. 38?
598,vega-lite-example-gallery|stacked_bar_h,lookup,visual,what is the volue for yellow Wisconsin
599,wikitables-200|10_0,lookup,visual,What is the name of the chart we are measuring?
600,wikitables-200|33_0,lookup,visual,What is the value of the bar for Yamato flat inland plain?
601,wikitables-200|33_1,lookup,visual,What is on the Y axis?
602,wikitables-200|33_1,lookup,visual,What does the X axis represent?
603,wikitables-202|48,lookup,visual,What is on the x-axis?
604,wikitables-202|48,lookup,visual,What is on the y-axis?
605,d3|d3_12,compositional,visual,Are all the lines monotone?
606,kong|kong_27,compositional,visual,Which country has the shortest orange bar?
607,kong|kong_27,compositional,visual,Which country has the highest red bar?
608,kong|kong_30,compositional,visual,What is the difference between the largest orange percentage to that of the U.S.A.?
609,kong|kong_30,compositional,visual,How much more or less is the largest blue percentage compared to the largest orange percentage across all nations?
610,kong|kong_5,compositional,visual,What is the summed value of the red and orange bar for Buddhists?
611,kong|kong_65,compositional,visual,which of the statements have the shortest on the blue scale
612,kong|kong_65,compositional,visual,which of the statements have the longest on the blue scale
613,kong|kong_70,compositional,visual,What do the three percentages on the three bars add up to?
614,kong|kong_70,compositional,visual,"How much larger (in percentage points) is the ""Strongly agree"" bar than the ""Neither agree or disagree bar?"""
615,kong|kong_70,compositional,visual,"What is the total value of the three bars (Strongly agree, Neither agree or disagree, Strongly disagree)?"
616,kong|kong_71,compositional,visual,What is the highest value of the All bar?
617,kong|kong_75,compositional,visual,How much longer is Norway than the US?
618,kong|kong_75,compositional,visual,How much longer is the blue line for Japan than for Germany?
619,vega-lite-example-gallery|bar_aggregate,compositional,visual,What number if years is used as increments along the y axis?
620,vega-lite-example-gallery|line_color,compositional,visual,what is the largest value of the red line?
621,vega-lite-example-gallery|line_color,compositional,visual,what is the highest difference between red and blue line between 2006 and 2010
622,vega-lite-example-gallery|stacked_bar_h,compositional,visual,Which bar has the largest value?
623,vega-lite-example-gallery|stacked_bar_h,compositional,visual,Which has the highest red bar?
624,vega-lite-example-gallery|stacked_bar_h,compositional,visual,Which bar has the smallest value?
625,wikitables-200|25_0,compositional,visual,How many services were included along the x-axis?
626,wikitables-200|33_0,compositional,visual,"How much taller is the bar for Gojo, Yahino than the bar for Yamato highland?"
627,wikitables-200|33_0,compositional,visual,What is the value of the shortest bar?
628,wikitables-202|59_1,compositional,visual,Which basketball team has the least value on the graph?
