paraphrases,sentences,ptypes,axes,scores
Make a line graph with 'Date' at the bottom and 'Volume' going up. Do another one with 'Price' going up.,Create a line chart with 'Date' on the x-axis and 'Volume' on the y-axis. Create a line chart with 'Price' on the y-axis.,commands,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
I feel that the line chart of 'Volume' by 'Date' and the line chart of 'Price' are quite informative and useful.,Line chart of 'Volume' by 'Date' Line chart of 'Price',queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",2
"How's the 'Volume' shifting over time, like by 'Date'? And what about the 'Price', how's that changing?",How does the 'Volume' change over 'Date'? How does the 'Price' change?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
Construct a bar graph where the ordinate represents 'Entity' and the abscissa represents 'food_emissions'.,Create a bar chart with 'Entity' on the y-axis and 'food_emissions' on the x-axis.,commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
"""Entity"", ""food emissions"", please arrange by ""food emissions"" in a descending order.","'Entity', 'food_emissions', order by 'food_emissions' descending",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
What is the dispersion pattern of anthropogenic greenhouse gas emissions from various food production sectors?,What is the distribution of food emissions across different entities?,questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
"I think it would be a good idea to create a series of line charts. Each chart should have 'Year' on the x-axis, but the y-axis should vary. For the first chart, let's use 'All'. Then, we can create additional charts for 'Heroin', 'Methadone', 'Benzodiazepines', 'Gabapentin/Pregabalin', 'Cocaine', 'Ecstasy', 'Amphetamines', and 'Alcohol'.",Create a line chart with 'Year' on x-axis and 'All' on y-axis. Create a line chart with 'Year' on x-axis and 'Heroin' on y-axis. Create a line chart with 'Year' on x-axis and 'Methadone' on y-axis. Create a line chart with 'Year' on x-axis and 'Benzodiazepines' on y-axis. Create a line chart with 'Year' on x-axis and 'Gabapentin/Pregabalin' on y-axis. Create a line chart with 'Year' on x-axis and 'Cocaine' on y-axis. Create a line chart with 'Year' on x-axis and 'Ectasy' on y-axis. Create a line chart with 'Year' on x-axis and 'Amphetamines' on y-axis. Create a line chart with 'Year' on x-axis and 'Alcohol' on y-axis.,commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
"I personally think that the line charts for each year, showing the use of various substances like Heroin, Methadone, Benzodiazepines, Gabapentin/Pregabalin, Cocaine, Ecstasy, Amphetamines, and Alcohol, are quite revealing and impactful.","Line chart, Year, All Line chart, Year, Heroin Line chart, Year, Methadone Line chart, Year, Benzodiazepines Line chart, Year, Gabapentin/Pregabalin Line chart, Year, Cocaine Line chart, Year, Ectasy Line chart, Year, Amphetamines Line chart, Year, Alcohol",queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
"Can you provide a clear and direct analysis of the yearly trends for the following substances: 'All', 'Heroin', 'Methadone', 'Benzodiazepines', 'Gabapentin/Pregabalin', 'Cocaine', 'Ecstasy', 'Amphetamines', and 'Alcohol'?",What is the trend of 'All' over the years? What is the trend of 'Heroin' over the years? What is the trend of 'Methadone' over the years? What is the trend of 'Benzodiazepines' over the years? What is the trend of 'Gabapentin/Pregabalin' over the years? What is the trend of 'Cocaine' over the years? What is the trend of 'Ectasy' over the years? What is the trend of 'Amphetamines' over the years? What is the trend of 'Alcohol' over the years?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
"In my opinion, it would be best to map 'Longitude' to longitude and 'Latitude' to latitude. I feel that 'Workers' should be mapped to size with a scale range of [10, 100]. I personally think that 'Brand' should be mapped to color with a scale range of ['#c41e3a', '#005147']. I believe that mapping 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color would be the most effective.","Map 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color with a scale range of ['#c41e3a', '#005147']. Map 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color. Map 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color.",commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
"The 'COUNTRY' property is taken from the 'properties' field, along with 'Longitude', 'Latitude', 'Workers', 'Brand' and 'Name'. The 'COUNTRY' property is also taken from the 'properties' field, along with 'Longitude', 'Latitude', 'Workers', and 'Brand'. The 'Propinsi' property is taken from the 'properties' field, along with 'Longitude', 'Latitude', 'Workers', and 'Brand'.","'COUNTRY' property from 'properties' field, 'Longitude', 'Latitude', 'Workers', 'Brand' 'Name', 'COUNTRY' property from 'properties' field, 'Longitude', 'Latitude', 'Workers', 'Brand' 'Propinsi' property from 'properties' field, 'Longitude', 'Latitude', 'Workers', 'Brand'",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Can you tell me how the workers are spread out by brand in each country? Can you also tell me how they're spread out by brand and location in each country? And how about how they're spread out by brand in each province?,What is the distribution of workers by brand in each country? What is the distribution of workers by brand and location name in each country? What is the distribution of workers by brand in each province?,questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
"I think it would be helpful if you could make a bar chart that displays the total of 'Migration as % of State Population' for each state, and arrange it in ascending order.","Create a bar chart showing the sum of 'Migration as % of State Population' for each state, sorted in ascending order.",commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
Could you arrange the states in increasing order based on the percentage of their population that migrated?,"Sum of 'Migration as % of State Population' by State, order ascending",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
Can you calculate the total of 'Migration as % of State Population' for each state and arrange them from lowest to highest?,What is the sum of 'Migration as % of State Population' for each state when sorted in ascending order?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
Construct a linear graph with the temporal variable 'year' represented on the abscissa and the economic indicator 'Gross Domestic Product per capita' denoted on the ordinate.,Create a line chart with 'year' on the x-axis and 'GDPpc' on the y-axis.,commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
"""The terms 'year', 'GDPpc', and 'country' are used.""","'year', 'GDPpc', 'country'",queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
What is the variation in the Gross Domestic Product per capita over time for various nations?,How does the GDP per capita change over the years for different countries?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
"To represent the data, a bar chart should be constructed with 'Total Wins' on the x-axis and 'Player Name' on the y-axis, with the bars colored according to 'Player Name'. Additionally, a line chart should be created with 'Year' on the x-axis and 'Wins' on the y-axis, with the line color corresponding to 'Player Name'.","Create a bar chart with 'Total Wins' on the x-axis and 'Player Name' on the y-axis, color the bars by 'Player Name'. Create a line chart with 'Year' on the x-axis and 'Wins' on the y-axis, color the line by 'Player Name'.",commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
"I personally think 'Player Name' has an impressive number of total wins. I feel that when you look at the wins by year, and color them by 'Player Name', it really highlights their achievements.","'Total Wins' by 'Player Name', color by 'Player Name' 'Wins' by 'Year', color by 'Player Name'",queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
Can you provide an analysis of the dispersion of aggregate victories per individual participant? Could you also illustrate the temporal evolution of each participant's victory count?,What is the distribution of total wins by player? How has the number of wins changed over the years for each player?,questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"Make a map chart thingy with colors showing the 'Exports - goods and services' stuff, using that viridis color thing.",Create a geoshape chart color-encoded with the 'Exports - goods and services' field using the viridis color scheme.,commands,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
I think the Geoshape chart uses a viridis color scheme to encode 'Exports - goods and services' with color.,"Geoshape chart, color encoding with 'Exports - goods and services', viridis color scheme.",queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
Can you clearly show me the geoshape chart that has been color-encoded with the 'Exports - goods and services' field using the viridis color scheme?,How does the geoshape chart look when color-encoded with the 'Exports - goods and services' field using the viridis color scheme?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
Construct a toroidal graph utilizing 'Gross Domestic Product' as the angular coordinate and 'Political System' as the chromatic coordinate.,Create a donut chart with 'GDP' on the theta channel and 'Regime' on the color channel.,commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
Set the 'GDP' as the theta channel and the 'Regime' as the color channel in the donut chart.,"Donut chart, 'GDP' to theta channel, 'Regime' to color channel",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
Can you generate a torus graph with 'Gross Domestic Product' represented on the angular axis and 'Political System' represented on the chromatic axis?,Can you create a donut chart with 'GDP' on the theta channel and 'Regime' on the color channel?,questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
Please make a bar chart that goes downwards. Put 'Year' on the x-axis and 'Gross savings (% of GDP)' on the y-axis.,Create a descending bar chart with 'Year' on the x-axis and 'Gross savings (% of GDP)' on the y-axis.,commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"A bar graph with years listed along the bottom and the percentage of gross savings out of the total GDP listed along the side, arranged in decreasing order.","Bar chart, Year on x-axis, Gross savings (% of GDP) on y-axis, descending order",queries,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
Can you tell me how the gross savings as a percentage of GDP has changed over the years?,What is the trend of gross savings as a percentage of GDP over the years?,questions,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
Assign 'WGI Score' to the x-axis and 'Country' to the y-axis.,Encode 'WGI Score' to the x-axis and 'Country' to the y-axis.,commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
"The 'WGI Score' is represented on the horizontal axis, also known as the x-axis, while the 'Country' is represented on the vertical axis, also known as the y-axis.","'WGI Score' on x-axis, 'Country' on y-axis",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
How do they show 'WGI Score' and 'Country' on the x and y axes?,How are 'WGI Score' and 'Country' represented on the x and y axes respectively?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
Construct a bar graph where the x-axis represents the 'Corporate Tax Rate' and the y-axis signifies the 'Country'.,Create a bar chart with 'Corporate Tax Rate' on the x-axis and 'Country' on the y-axis.,commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"The amount of tax businesses have to pay, sorted by each country.",'Corporate Tax Rate' by 'Country',queries,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
Could you possibly tell me about the 'Corporate Tax Rate' in different countries?,What is the 'Corporate Tax Rate' for each country?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
"Make a graph where the x-axis represents the column value, the y-axis represents the row value, with a set shape and a size of 0.008.","Create a chart with x-axis as column value, y-axis as row value, predefined shape, and fixed size of 0.008.",commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
I feel like the column value is for the x-axis and the row value is for the y-axis. The shape seems to be predefined and the size feels like it's fixed at 0.008.,"Column value for x-axis, row value for y-axis, predefined shape, fixed size of 0.008",queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
"Could you please illustrate the graph with the x-axis representing the column value, the y-axis representing the row value, a predetermined shape, and a fixed size of 0.008?","What does the chart look like with x-axis as column value, y-axis as row value, predefined shape, and fixed size of 0.008?",questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
"You might want to consider creating a geoshape chart with tooltips for 'Country', 'Most Popular Team', and 'Max % of search queries', and perhaps color the geoshapes based on the 'Most Popular Team'.","Create a geoshape chart with tooltips for 'Country', 'Most Popular Team', and 'Max % of search queries', and color the geoshapes based on the 'Most Popular Team'.",commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
"The geoshape chart includes tooltips for the 'Country', 'Most Popular Team', and 'Max % of search queries'. The color of the geoshapes is determined by the 'Most Popular Team'.","Geoshape chart, tooltips for 'Country', 'Most Popular Team', 'Max % of search queries', color of geoshapes by 'Most Popular Team'",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"Can you tell me directly what the geoshape chart is showing about the team that is most popular in each country, determined by the highest percentage of search queries?",What does the geoshape chart reveal about the most popular team in each country based on the max % of search queries?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Construct a bar graph where the abscissa represents 'Comfort Level' and the ordinate signifies 'Percentage of Responses'.,Create a bar chart with 'Comfort Level' on the x-axis and 'Percentage of Responses' on the y-axis.,commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"The horizontal axis of the bar graph represents the 'Comfort Level', while the vertical axis denotes the 'Percentage of Responses'.","Bar chart, 'Comfort Level' x-axis, 'Percentage of Responses' y-axis",queries,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
Can you clearly describe to me the appearance of the bar chart that shows the 'Comfort Level' on one axis and the 'Percentage of Responses' on the other?,What does the bar chart of 'Comfort Level' versus 'Percentage of Responses' look like?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
"Construct a heatmap, designating 'Change in Energy Consumption' as the x-axis and 'GDP Growth' as the y-axis. Incorporate a rule mark that signifies the mean of 'Change in Energy Consumption' on the x-axis. Similarly, incorporate a rule mark that signifies the mean of 'GDP Growth' on the y-axis. Repeat this process for both the 'GDP Growth' and 'Change in Energy Consumption' on the y-axis and x-axis respectively.",Create a heatmap with 'Change in Energy Consumption' on the x-axis and 'GDP Growth' on the y-axis. Add a rule mark representing the mean of 'Change in Energy Consumption' on the x-axis. Add a rule mark representing the mean of 'GDP Growth' on the y-axis. Add a rule mark representing the mean of 'GDP Growth' on the y-axis. Add a rule mark representing the mean of 'Change in Energy Consumption' on the x-axis.,commands,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
I feel like this heatmap of 'Change in Energy Consumption' versus 'GDP Growth' is a great way to visualize the data. The x-axis represents the average 'Change in Energy Consumption' and the y-axis represents the average 'GDP Growth'. I believe this is a good way to understand the relationship between these two variables.,Heatmap of 'Change in Energy Consumption' vs 'GDP Growth' Mean of 'Change in Energy Consumption' on x-axis Mean of 'GDP Growth' on y-axis Mean of 'GDP Growth' on y-axis Mean of 'Change in Energy Consumption' on x-axis,queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",2
"Can you tell me how 'Change in Energy Consumption' and 'GDP Growth' are related? Also, could you provide the average values for both 'Change in Energy Consumption' and 'GDP Growth'?",What is the relationship between 'Change in Energy Consumption' and 'GDP Growth'? What is the mean of 'Change in Energy Consumption'? What is the mean of 'GDP Growth'? What is the mean of 'GDP Growth'? What is the mean of 'Change in Energy Consumption'?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
"Generate a geoshape diagram utilizing 'FRV District' as the shape parameter and '% Above Standard' as the color gradient. Construct a line graph with 'Financial Quarter' as the x-coordinate, 'rank1' as the y-coordinate, and 'servArea' as the color differentiation.","Create a geoshape chart with 'FRV District' as shape and '% Above Standard' as color. Create a line chart with 'Financial Quarter' on x-axis, 'rank1' on y-axis, and 'servArea' as color.",commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"The Geoshape chart with the 'FRV District' shape and '% Above Standard' color, along with the Line chart with 'Financial Quarter' on the x-axis, 'rank1' on the y-axis, and 'servArea' color.","Geoshape chart, 'FRV District' shape, '% Above Standard' color Line chart, 'Financial Quarter' x-axis, 'rank1' y-axis, 'servArea' color",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
"Can you illustrate the geoshape chart using 'FRV District' as the geometric shape and '% Above Standard' as the color gradient? Also, how is the line chart represented when 'Financial Quarter' is plotted on the x-axis, 'rank1' on the y-axis, and 'servArea' is used for color differentiation?","What does the geoshape chart look like with 'FRV District' as shape and '% Above Standard' as color? How does the line chart look with 'Financial Quarter' on x-axis, 'rank1' on y-axis, and 'servArea' as color?",questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"Construct a scatter plot, designating 'value' as the abscissa, 'model' as the marker style, 'groupaction' as the ordinate, and 'ethnic group' as the hue and fill. Subsequently, formulate a rule chart, assigning 'min' to the primary horizontal axis, 'max' to the secondary horizontal axis, 'groupaction' to the vertical axis, and 'ethnic group' as the color scheme.","Create a point chart with 'value' on the x-axis, 'model' as the shape, 'groupaction' on the y-axis, and 'ethnic group' as the color and fill. Create a rule chart with 'min' on the x-axis, 'max' on the x2-axis, 'groupaction' on the y-axis, and 'ethnic group' as the color.",commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"In my opinion, the point chart of 'value' by 'model', 'groupaction', 'ethnic group' and the rule chart of 'min', 'max', 'groupaction', 'ethnic group' are the most effective ways to present this data.","Point chart of 'value' by 'model', 'groupaction', 'ethnic group' Rule chart of 'min', 'max', 'groupaction', 'ethnic group'",queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
"What is the variation in 'value' with respect to 'model', 'groupaction', and 'ethnic group' on the point chart? Similarly, how does the 'min' and 'max' change in relation to 'groupaction' and 'ethnic group' on the rule chart?","How does the 'value' vary with 'model', 'groupaction', and 'ethnic group' in the point chart? How does the 'min' and 'max' vary with 'groupaction' and 'ethnic group' in the rule chart?",questions,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
Could you make a bar chart for me? I'd like 'Year' to be on the x-axis and 'Access to electricity (percentage of population)' on the y-axis.,Create a bar chart with 'Year' on the x-axis and 'Access to electricity (percentage of population)' on the y-axis.,commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
"""In this data set, we're looking at the specific year, the percentage of the population that has access to electricity, and the country in question.""","'Year', 'Access to electricity (percentage of population)', 'Country'",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
Could you provide the proportion of the populace that has been able to utilize electrical services in each nation throughout the years?,What is the percentage of the population with access to electricity in each country over the years?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
"Make a chart thingy with 'Date' at the bottom, 'Energy Consumption' on the side, and different colors for each 'Energy Source'.","Create an area chart with 'Date' on the x-axis, 'Energy Consumption' on the y-axis, and 'Energy Source' as the color.",commands,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
"So, like, you got this chart, right? And it's got dates along the bottom, and how much energy we're using up the side. And then different colors show what kind of energy we're talking about.","Area chart, Date on x-axis, Energy Consumption on y-axis, Energy Source as color",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
"How can we make a chart that shows dates along the bottom, energy use up the side, and different colors for each type of energy?","How can we create an area chart with 'Date' on the x-axis, 'Energy Consumption' on the y-axis, and 'Energy Source' as the color?",questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
"Please construct a line graph with 'Time' designated as the x-axis, 'Index' as the y-axis, 'type' utilized as the color differentiation, and 'area' assigned as the row.","Create a line chart with 'Time' on the x-axis, 'Index' on the y-axis, 'type' as color, and 'area' as row.",commands,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
"A graph showing the 'Index' over time, sorted by 'type' and 'area'.",Line chart of 'Index' over 'Time' by 'type' and 'area',queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
How's the 'Index' shifting over 'Time' for different 'types' and 'areas'?,How does the 'Index' change over 'Time' for different 'types' and 'areas'?,questions,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
"You know, for the x-axis, think about using department voters. Then, for the same axis, consider total voters. How about combining total voters for department and abstention2 for the fill? And for the layers, maybe the sum of total voters for the first one and the sum of number of voters for the second one could work.",Plot voters for department on the x-axis. Plot total voters on the x-axis. Plot total voters for department on the x-axis and abstention2 on the fill. Plot the sum of total voters on the x-axis for the first layer and the sum of number of voters on the x-axis for the second layer.,commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
"So, like, you're comparing the total voters for each department in Colombia, right? And then you're also looking at the total voters for each municipality. But you're also factoring in those who didn't vote. Then you're adding up all the voters for the first layer, and the number of voters for the second layer.","VotersFordepartment vs Departments of Colombia Total voters vs Municipality TotalvotersFordepartment vs * with abstention2 fill Sum of Total voters vs Departments of Colombia for first layer, Sum of Number of voters for second layer",queries,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
"Can you provide the data on the number of voters per department in Colombia? Additionally, could you provide the total count of voters in each municipality? I'm interested in understanding the relationship between the total number of voters per department and abstention rates. Lastly, could you compare the overall total of voters to the sum of voters in each Colombian department?",How many voters are there for each department in Colombia? What is the total number of voters in each municipality? How does the total number of voters for each department relate to abstention2? How does the sum of total voters compare to the sum of number of voters in each department of Colombia?,questions,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
