paraphrases,sentences,ptypes,axes,axes2,scores,scores2
The chart displays points with 'Alpha' values on the x-axis and 'Beta' values on the y-axis. The size and color of these points represent their 'Log-likelihood' values.,"Point chart, 'Alpha' x-axis, 'Beta' y-axis, 'Log-likelihood' size and color",queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",5,5
Could you explain how the 'Log-likelihood' fluctuates in relation to 'Alpha' and 'Beta' on the point chart?,How does the 'Log-likelihood' vary with 'Alpha' and 'Beta' in the point chart?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",4,5
Please construct a line chart. The x-axis should be labeled as 'Year' and the y-axis should be labeled as 'Share of population aged 65+'. Use the 'Country' data to determine the color of the lines. This is a direct instruction and does not include any personal opinions or feelings.,"Create a line chart with 'Year' on the x-axis and 'Share of population aged 65+' on the y-axis, using 'Country' to color the lines.",commands,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",4,5
The graph represents the relationship between the 'Year' and the 'Percentage of population aged 65+' with different colors indicating different 'Countries'.,Line chart of 'Year' vs 'Share of population aged 65+' colored by 'Country',queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",3,4
"In my opinion, what can we interpret from the line chart that plots 'Year' against 'Share of population aged 65+' and is differentiated by colors for each 'Country'?",What does the line chart of 'Year' against 'Share of population aged 65+' colored by 'Country' show?,questions,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",1,3
"Make a chart that shows different areas, with 'Year' going across the bottom, 'total' going up the side, and different colors to show different 'Countries'.","Create an area chart with 'Year' on the x-axis, 'total' on the y-axis, and 'Country' represented by color.",commands,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",3,2
"The area chart represents the 'total' variable, which is plotted against the 'Year'. The 'Country' variable is depicted through different colors.","Area chart of 'total' by 'Year', color representation of 'Country'",queries,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",5,5
"In my opinion, how does the 'aggregate' shift over time for each nation in the area graph?",How does the 'total' change over the years for each country in the area chart?,questions,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",2,3
Make a horizontal graph with the database management system on the vertical line and the rate of responses on the horizontal line.,Create a bar chart with DBMS on the y-axis and Response Rate on the x-axis.,commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",2,5
"In my opinion, the DBMS has a response rate that can range anywhere from 0 to 100.","DBMS, Response Rate from 0 to 100",queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",1,4
Could you please provide me with the specific response rates for each database management system?,What is the response rate for each DBMS?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",4,3
Please construct a bar chart. The y-axis should list the countries. The x-axis should represent the differences corresponding to each country. Arrange these differences in descending order. Use different colors to indicate the type for each country.,"Create a bar chart with countries on the y-axis and their corresponding differences on the x-axis, sorted in descending order, and color-coded by type.",commands,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",4,5
"The bar chart has countries listed on the y-axis and differences on the x-axis. The order is descending based on the mean of the differences, and different types are indicated by different colors. In my opinion, this is a pretty clear and effective way to present the data.","Bar chart, Country on y-axis, diff on x-axis, descending order by mean of diff, type for color",queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",3,1
What does the picture show about how different countries compare when we arrange them from highest to lowest and use different colors for different categories?,What does the bar chart reveal about the differences among countries when sorted in descending order and color-coded by type?,questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",1,5
Construct a bar graph where the x-axis represents the 'year' and the y-axis signifies 'net sales(million yen)'. Fabricate a line graph with the y-axis denoting 'Gross/Operating profit ratio'. Generate a line graph with the 'Operating profit ratio' on the y-axis.,Create a bar chart with 'year' on the x-axis and 'net sales(million yen)' on the y-axis. Create a line chart with 'Gross/Operating profit ratio' on the y-axis. Create a line chart with 'Operating profit ratio' on the y-axis.,commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",4,3
"The data represents the correlation between the 'year' and 'net sales in million yen', as well as the 'Gross/Operating profit ratio' and 'Operating profit ratio'.",'year' vs 'net sales(million yen)' 'Gross/Operating profit ratio' 'Operating profit ratio',queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",4,3
"Could you provide an analysis on the fluctuations in net revenue over the chronological timeline? Could you also provide an insight on the trajectory of the ratio between gross profit and operating profit? Lastly, could you shed some light on the trajectory of the operating profit ratio?",How have the net sales changed over the years? What is the trend of the Gross/Operating profit ratio? What is the trend of the Operating profit ratio?,questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",4,2
"I feel like it would be a good idea to make a geoshape chart. Maybe we could use colors to represent the 'Population Density in 2021' field? We could possibly use a quantitative scale and a magma color scheme, what do you think?",Create a geoshape chart with colors encoded by the 'Population Density in 2021' field using a quantitative scale and a magma color scheme.,commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",2,1
"This is a map-like chart where the colors represent how many people live in a certain area this year, with the colors getting more intense based on the number of people. The color scheme is like that of flowing lava.","Geoshape chart, color encoded by 'Population Density in 2021', quantitative scale, magma color scheme",queries,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",1,2
"What do you think about the look of the map when we color it based on how many people live in each area this year, using a range of numbers and warm colors?",How does the geoshape chart look when the color is encoded by the 'Population Density in 2021' field using a quantitative scale and a magma color scheme?,questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",1,1
"Make a bar graph where 'Year' is on the x-axis and 'Percentage difference in median earnings' is on the y-axis, but don't stack the bars.",Create a bar chart with 'Year' on the x-axis and 'Percentage difference in median earnings' on the y-axis without stacking the bars.,commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",3,2
The graph is a bar chart with the years displayed on the horizontal axis and the percentage difference in median earnings shown on the vertical axis. There is no stacking of the bars in this chart.,"Bar chart, Year on x-axis, Percentage difference in median earnings on y-axis, no bar stacking",queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",3,3
What do you think the bar chart might be suggesting about the changes in median earnings each year?,What does the bar chart reveal about the yearly percentage difference in median earnings?,questions,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",2,1
"I think you should make a donut chart, putting 'issueAmount' on the theta channel and 'giltType' on the color channel.",Create a donut chart with 'issueAmount' on the theta channel and 'giltType' on the color channel.,commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",2,4
"Assign 'issueAmount' to the theta channel, 'giltType' to the color channel, and use a donut chart.","'issueAmount' to theta channel, 'giltType' to color channel, donut chart",queries,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",1,5
Could you please elucidate what the donut chart is indicating in regards to the 'issueAmount' and 'giltType'?,What does the donut chart reveal about the 'issueAmount' and 'giltType'?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",5,4
Make a graph where 'Employees' is on the horizontal axis and 'value' is on the vertical axis.,Create a point chart with 'Employees' on the x-axis and 'value' on the y-axis.,commands,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",4,2
"In my opinion, the graph is laid out with 'Employees' on the horizontal axis and 'value' on the vertical axis.","Point chart, 'Employees' x-axis, 'value' y-axis",queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",1,3
"Would you be able to construct a graphical representation, specifically a point chart, with the variable 'Employees' designated for the x-axis and 'value' for the y-axis?",Can you create a point chart with 'Employees' on the x-axis and 'value' on the y-axis?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",5,5
"Construct a bivariate graph, where the abscissa represents the 'Period', and the ordinate represents the arithmetic mean of 'Value'. The graph should be segmented based on 'Industry' and the 'Metric Clean' should determine the chromatic differentiation.","Create a bar chart with 'Period' on the x-axis, the mean of 'Value' on the y-axis, faceted by 'Industry', and color-coded by 'Metric Clean'.",commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",5,2
"In my opinion, we should color the bar chart using 'Metric Clean', facet it by 'Industry', and use the mean of 'Value' for the 'Period'.","Bar chart, 'Period', mean of 'Value', facet by 'Industry', 'Metric Clean' to color",queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",1,4
How does the average score of different stuff change over time for different businesses?,How does the mean value of different metrics vary over periods for different industries?,questions,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",1,3
"Make a bar graph with ""Date"" going across the bottom, ""Value"" going up the side, and use the ""series"" field to give the bars their colors.","Create a bar chart with ""Date"" on the x-axis, ""Value"" on the y-axis, and color the bars using the ""series"" field.",commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",2,3
"The graph clearly displays the values according to their respective dates, with different colors representing different series. However, in my opinion, the color coding could have been better.","Bar chart of ""Value"" by ""Date"", color by ""series""",queries,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",5,2
"How does the ""Value"" change based on the ""Date"" when it's color-coded by ""series"" in a bar graph, ya know?","How does the ""Value"" vary by ""Date"" when colored by ""series"" in a bar chart?",questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",3,1
"I feel like you should make a point chart, right? Put ""date4"" on the x-axis and ""Price changes"" on the y-axis. And then, you know, make the points bigger or smaller based on what's in the ""Price changes"" field. But only do this if the ""paintbrush"" selection condition is met.","Create a point chart with ""date4"" on the x-axis and ""Price changes"" on the y-axis, and size the points based on the ""Price changes"" field with the ""paintbrush"" selection condition.",commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",1,5
"The graph showing ""date4"" and ""Price changes"", where the size is determined by ""Price changes"" and you can select with the ""paintbrush"" tool.","Point chart of ""date4"" vs ""Price changes"", size by ""Price changes"" with ""paintbrush"" selection",queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",2,2
"How does the change in price differ over time in the chart where the size is decided by the change in price, according to the selection made with the paintbrush tool?","How does the ""Price changes"" vary over the ""date4"" in the point chart with size determined by the ""Price changes"" field based on the ""paintbrush"" selection condition?",questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",2,3
"I suggest that you make a scatter plot. The x-axis should represent the ""Prices cut"" and the y-axis should represent the ""Prices rising"". The size of the points should be determined by the ""Price (median)"" and the color should be determined by the ""Item type"".","Create a scatter plot with ""Prices cut"" on the x-axis and ""Prices rising"" on the y-axis, size determined by ""Price (median)"" and color by ""Item type"".",commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",3,4
"In my opinion, we're looking at a scatter plot here where ""Prices cut"" and ""Prices rising"" are compared, the size is determined by the ""Price (median)"", and the color is differentiated by the ""Item type"".","Scatter plot of ""Prices cut"" vs ""Prices rising"", size by ""Price (median)"", color by ""Item type""",queries,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",1,5
What is the impact of the median price and item type on the correlation between price reductions and price increases?,"How does the ""Price (median)"" and ""Item type"" affect the relationship between ""Prices cut"" and ""Prices rising""?",questions,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",4,5
Make a simple graph where the dates are along the bottom and the amount is up the side. Then make another one where the cost is up the side.,Create a line chart with 'Date' on the x-axis and 'Volume' on the y-axis. Create a line chart with 'Price' on the y-axis.,commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']",1,1
"The graph illustrates the 'Volume' according to the 'Date', as well as the 'Price'.",Line chart of 'Volume' by 'Date' Line chart of 'Price',queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",4,2
"Can you tell me how the amount changes with time? And what about the cost, does it change too?",How does the 'Volume' change over 'Date'? How does the 'Price' change?,questions,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",2,2
"I feel like you should make a bar chart, you know? Put 'Entity' on the up and down part and 'food_emissions' on the side-to-side part.",Create a bar chart with 'Entity' on the y-axis and 'food_emissions' on the x-axis.,commands,"['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']","['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']",1,2
"""Hey, can you sort the 'food emissions' by the highest amount?""","'Entity', 'food_emissions', order by 'food_emissions' descending",queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",1,5
Can you tell me straight up how food emissions are spread out among different groups?,What is the distribution of food emissions across different entities?,questions,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",4,1
"Make a line graph with 'Year' as the x-axis and 'All' as the y-axis. Do the same for 'Heroin', 'Methadone', 'Benzodiazepines', 'Gabapentin/Pregabalin', 'Cocaine', 'Ectasy', 'Amphetamines', and 'Alcohol' on the y-axis.",Create a line chart with 'Year' on x-axis and 'All' on y-axis. Create a line chart with 'Year' on x-axis and 'Heroin' on y-axis. Create a line chart with 'Year' on x-axis and 'Methadone' on y-axis. Create a line chart with 'Year' on x-axis and 'Benzodiazepines' on y-axis. Create a line chart with 'Year' on x-axis and 'Gabapentin/Pregabalin' on y-axis. Create a line chart with 'Year' on x-axis and 'Cocaine' on y-axis. Create a line chart with 'Year' on x-axis and 'Ectasy' on y-axis. Create a line chart with 'Year' on x-axis and 'Amphetamines' on y-axis. Create a line chart with 'Year' on x-axis and 'Alcohol' on y-axis.,commands,"['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",4,1
"So, we got this line graph, right? It's showing us stuff from different years. It's got all these different things on it like heroin, methadone, benzodiazepines, gabapentin/pregabalin, cocaine, ecstasy, amphetamines, and alcohol. But it's not about what I think or feel about it, it's just showing us the facts.","Line chart, Year, All Line chart, Year, Heroin Line chart, Year, Methadone Line chart, Year, Benzodiazepines Line chart, Year, Gabapentin/Pregabalin Line chart, Year, Cocaine Line chart, Year, Ectasy Line chart, Year, Amphetamines Line chart, Year, Alcohol",queries,"['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']","['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']",1,4
"Can you tell me directly how 'All' has been trending over the years? And what about 'Heroin'? How's 'Methadone' doing? What's the story with 'Benzodiazepines'? How's 'Gabapentin/Pregabalin' been doing? What's up with 'Cocaine'? How's 'Ectasy' been? What's the deal with 'Amphetamines'? And lastly, what's happening with 'Alcohol'?",What is the trend of 'All' over the years? What is the trend of 'Heroin' over the years? What is the trend of 'Methadone' over the years? What is the trend of 'Benzodiazepines' over the years? What is the trend of 'Gabapentin/Pregabalin' over the years? What is the trend of 'Cocaine' over the years? What is the trend of 'Ectasy' over the years? What is the trend of 'Amphetamines' over the years? What is the trend of 'Alcohol' over the years?,questions,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",4,1
"You need to assign 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size and set the scale range between 10 and 100, and 'Brand' to color. The color scale range should be between '#c41e3a' and '#005147'. You need to do the same for 'Longitude', 'Latitude', 'Workers', and 'Brand'.","Map 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color with a scale range of ['#c41e3a', '#005147']. Map 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color. Map 'Longitude' to longitude, 'Latitude' to latitude, 'Workers' to size with a scale range of [10, 100], and 'Brand' to color.",commands,"['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']","['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']",4,2
