paraphrases,sentences,ptypes,axes,scores
Can you clearly tell me if there is a direct relationship between the Human Development Index and the Official Development Assistance based on the information provided in the chart's subtitle?,How strong is the correlation between the HDI and the ODA as indicated in the subtitle of the chart?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
What does the R Squared value tell us about how a country's Human Development Index and the aid it gets are related?,What does the R Squared value suggest about the relationship between a country's HDI and the ODA it receives?,open-ended,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
Could you possibly tell me about the 'log-likelihood' when we consider 'alpha' as 0.5 and 'beta' as 0.3?,What is the 'log-likelihood' for an 'alpha' value of 0.5 and a 'beta' value of 0.3?,lookup-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
Can you tell me the exact size of the point on the chart where 'alpha' equals 0.5 and 'beta' equals 0.3?,What is the size of the point at the position where 'alpha' is 0.5 and 'beta' is 0.3 on the chart?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Can you provide the 'alpha' and 'beta' values at the point of maximum 'log-likelihood'?,What are the 'alpha' and 'beta' values when the 'log-likelihood' is at its maximum?,compositional-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
What do the terms 'alpha' and 'beta' mean at the highest point on the graph?,What are the 'alpha' and 'beta' values at the position of the largest point on the chart?,compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
What is the impact of an augmentation in the 'alpha' and 'beta' values on the 'log-likelihood'?,How does the increase in 'alpha' and 'beta' values affect the 'log-likelihood'?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
What's the percentage of people over 65 in Japan and South Korea?,What is the share of population aged 65+ in Japan and South Korea?,lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
Could you possibly tell me where the red and yellow lines fall on the y-axis? They're showing the percentage of people over 65 in Japan and South Korea.,"What is the position of the red and yellow lines on the y-axis, representing the share of population aged 65+ in Japan and South Korea respectively?",lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
How's the number of old folks in Japan and South Korea stack up against other places?,How does the share of population aged 65+ in Japan and South Korea compare to other countries?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
"How does the ordinate placement of the crimson and amber lines, symbolizing the demographic proportion of individuals aged 65 and above in Japan and South Korea respectively, juxtapose against the ordinate placement of the remaining lines?","How do the positions of the red and yellow lines on the y-axis, representing the share of population aged 65+ in Japan and South Korea respectively, compare to the positions of other lines?",compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
"What does the data suggest about the potential policy planning implications in Japan and South Korea, given their high population share of individuals aged 65 and over?",What implications does the high share of population aged 65+ in Japan and South Korea have for policy planning in these countries?,open-ended,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
Can you provide the data on the GDP of the United States for the year 2017?,What was the GDP of the United States in 2017?,lookup-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
Can you provide the data on the height of the area representing the United States in the year 2017?,What is the height of the area representing the United States in the year 2017?,lookup-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
Can you provide the data on the GDP of G7 countries for the year 2017?,Which G7 country had the highest GDP in 2017?,compositional-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
Can you tell me the color that is at the top of the chart for 2017?,Which color reaches the highest point on the chart in the year 2017?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
Can you provide the data on the changes in the GDP of the G7 countries over the years and identify the country with the highest GDP in 2017?,How has the GDP of the G7 countries changed over the years and which country had the highest GDP in 2017?,open-ended,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
Could you tell me how often we get a reply from a particular database management system?,What is the response rate of a specific DBMS?,lookup-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
Can you tell me the exact length of the bar that represents the response rate of a specific Database Management System?,How long is the bar representing the response rate of a specific DBMS?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"In your opinion, which DBMS do you think has the highest response rate?",Which DBMS has the highest response rate?,compositional-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
"Can you tell me directly which Database Management System is shown with the longest bar, indicating the highest response rate?",Which DBMS has the longest bar representing the response rate?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Could you possibly look into how various DBMS might respond differently and ponder on what these differences might mean?,How does the response rate of different DBMS compare and what could be the implications of these differences?,open-ended,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
Can you tell me the exact amount of income each individual in Germany made on average in the year 2017?,What was the income per person for Germany in 2017?,lookup-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
Can you tell me the length of Germany's bar and its color?,How long is the bar for Germany and what color is it?,lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
"Did Germany's average earnings in 2017 surpass the middle value of income levels in Europe, or was it less?",Was the income per person for Germany above or below the median income in Europe in 2017?,compositional-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Could you tell me about the bar for Germany in comparison to the others and its color?,Is the bar for Germany longer than the median bar and what color is it?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
Could you provide a comparison of Germany's per capita income in 2017 to that of other European nations?,How does the income per person for Germany compare to other countries in Europe in 2017?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
Can you tell me how much Nintendo sold and how much profit they made in the last year?,What were the net sales and operating profit ratio for Nintendo in the most recent year?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
Can you tell me the height of the bar and the position of the light green line for the latest year shown on the graph?,How high is the bar and where is the light green line positioned for the most recent year on the chart?,lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",3
Could you please tell me the highest net sales value and the operating profit ratio for that particular year?,What is the maximum net sales value and what is the operating profit ratio for that year?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
Could you please identify the bar of greatest height and specify the position of the light green line corresponding to that particular year on the chart?,Which is the tallest bar and where is the light green line positioned for that year on the chart?,compositional-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
What is the historical data on Nintendo's financial performance and what potential implications could this have for its future profitability?,How has Nintendo's financial performance changed over the years and what does this suggest about its future profitability?,open-ended,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
Can you provide me with the specific population density number for the province that has the highest population density?,What is the population density of the province with the highest density?,lookup-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"Which region on the map is shaded the darkest, signifying the greatest population density?","Which province is colored the darkest on the map, indicating the highest population density?",lookup-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
"In which specific geographical province is the population density at its peak, and can you quantify this value?",Which province has the maximum population density and what is the value?,compositional-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
"Which geographical region is represented with the most intense hue on the cartographic representation, signifying the maximum population per unit area, and what is the numerical value of this population density?","Which province is colored the darkest on the map, indicating the highest population density, and what is the density value?",compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
What could be the effect of the population density on the infrastructure needs of the province that has the most people living in it?,How might the population density impact the infrastructure needs of the province with the highest density?,open-ended,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
Which country has the biggest difference in pay between men and women?,Which country has the highest gender pay gap?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
Which country's bar goes up the highest on the chart?,Which country's bar reaches the highest point on the chart?,lookup-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
"Can you provide me with the specific data on the largest recorded gender pay gap, including the exact year it was documented?",What is the maximum gender pay gap and in which year was it recorded?,compositional-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Can you tell me directly which bar on the chart is the tallest and specify the year it represents?,Which bar reaches the highest point on the chart and in which year is it positioned?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
What strategies might be instituted in the nation possessing the most pronounced wage discrepancy between genders in order to diminish this inequality?,What policies could be implemented in the country with the highest gender pay gap to reduce this disparity?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
Can you tell me how much each kind of UK debt is?,What is the issue amount for each type of UK debt?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
Could you please inform me of the dimensions of the arc corresponding to each color in the donut chart?,What is the size of the arc for each color in the donut chart?,lookup-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
What's the biggest type of debt the UK's got?,Which type of UK debt has the maximum issue amount?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
Can you tell me which color on the donut chart corresponds to the UK debt type that has the biggest arc?,Which color in the donut chart represents the type of UK debt with the largest arc?,compositional-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
What effects might the category of UK debt with the highest issuance volume have on the UK economy?,What implications does the type of UK debt with the largest issue amount have on the UK economy?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
What is the median productivity level for companies that had a workforce of 10 in 2015?,What is the 50th percentile of productivity for firms with 10 employees in the year 2015?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"In the 2015 discussion, what does the point that stands for companies with 10 workers at the halfway mark mean in terms of how much they produce?","In the 2015 panel, what is the productivity value of the point representing firms with 10 employees at the 50th percentile?",lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
Could you explain how the median productivity level for companies with 10 employees compares to those with 20 employees in 2015?,How does the 50th percentile of productivity for firms with 10 employees compare to that of firms with 20 employees in the year 2015?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
"Can you tell me about the comparison between the productivity of 10-employee firms and 20-employee firms at the median, based on the 2015 panel?","In the 2015 panel, how does the productivity value of the point representing firms with 10 employees at the 50th percentile compare to the productivity value of the point representing firms with 20 employees at the same percentile?",compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
What do you think about the differences in productivity among small and large firms in 2015?,How does the productivity distribution vary among firms of different sizes in the year 2015?,open-ended,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
What's the top average job reallocation number for all industries?,What is the highest average job reallocation value across all industries?,lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",3
Which business type has the tallest bar in the chart?,Which industry's bar has the greatest height in the bar chart?,lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
Can you tell me which industry has the highest average job reallocation value?,Which industry has the maximum average job reallocation value?,compositional-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
Which business area's bar is the tallest in the bar graph?,Which industry's bar reaches the highest point on the y-axis in the bar chart?,compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
What things might be causing so many jobs to change hands in the industry where this happens the most?,What factors could contribute to the high job reallocation in the industry with the highest average job reallocation value?,open-ended,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",2
What's the highest number we've seen in the 'Transport' category during the time we're looking at?,What is the highest value of the 'Transport' series over the selected period?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
"Can you tell me about the 'Transport' series, particularly the tallest blue bar?",What is the height of the tallest blue bar representing the 'Transport' series?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",2
What is the apex numerical datum of the 'Transport' data set in relation to the zenith numerical data of the remaining data sets throughout the chosen temporal interval?,What is the maximum value of the 'Transport' series compared to the maximum values of the other series over the selected period?,compositional-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
"Does the maximum value of the 'Transport' data series, represented by the tallest blue bar, exceed the maximum values of the other data series represented by bars of different colors?",Is the tallest blue bar representing the 'Transport' series higher than the tallest bars of the other colors?,compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
Could you elucidate on how the 'Transport' series' contribution to the Consumer Price Index inflation compares to the contributions of the other series throughout the chosen period?,How does the contribution of the 'Transport' series to the CPI inflation compare to the contributions of the other series over the selected period?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
In which particular month did the incidence of price alterations reach its peak?,In which month was the frequency of price changes the highest?,lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
In which month does the data point achieve its maximum ordinate value?,In which month does the point reach the highest position on the y-axis?,lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
Could you please tell me the highest frequency of price alterations and the specific month in which this happens?,What is the maximum value of the frequency of price changes and in which month does it occur?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
At which coordinate on the ordinate does the amplitude of price fluctuations reach its zenith and what is the corresponding abscissa representing the month?,At which point on the y-axis is the frequency of price changes the highest and what is the corresponding month on the x-axis?,compositional-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",5
How does changing prices every month affect how we set prices?,How does the frequency of price changes month-on-month influence pricing strategies?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",1
"Can you provide the data on the proportion of price increases and decreases for the consumer item ""X""?","What is the share of price rises and cuts for the consumer item ""X""?",lookup-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
"What do you think about where the product ""X"" stands on the chart? Has it seen more price drops or price hikes?","Where is the consumer item ""X"" positioned on the chart in terms of price cuts and price rises?",lookup-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
Which particular consumer product has experienced the most significant proportion of price increases and reductions?,Which consumer item has the highest share of price rises and cuts?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",5
Can you tell me which product has the highest ranking in terms of both price reductions and price increases?,Which consumer item is positioned at the highest point on both the price cuts and price rises axes?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
"How does the proportion of inflation and deflation for the consumer product ""X"" correlate with other commodities?","How does the share of price rises and cuts for the consumer item ""X"" compare to other items?",open-ended,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"What's the top price for Ether, eh?",What is the highest price of Ether?,lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
Can you identify the peak of the orange to hotpink line on the chart?,At what point does the orange to hotpink line reach its peak in the chart?,lookup-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
Can you tell me what the top price for Ether is and explain if there's any connection with the amount that's been traded?,What is the highest price of Ether and how does it correlate with the volume traded?,compositional-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",3
When does the line transitioning from orange to hot pink achieve its maximum value and what is the equivalent point on the line transitioning from blue to red?,At what point does the orange to hotpink line reach its peak and what is the corresponding point on the blue to red line?,compositional-visual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
Can you explain the relationship between the amount of Ether that's traded and its market price?,How does the volume of Ether traded influence its price?,open-ended,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
Can you provide data on the food production type that contributes the most to food emissions?,Which type of food production has the highest value of food emissions?,lookup-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
Can you tell me about the longest bar and the food production its color stands for?,Which bar is the longest and what type of food production does its color represent?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
What is the peak level of emissions produced by food and to which category of food production does this pertain?,What is the maximum value of food emissions and which type of food production does it correspond to?,compositional-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
"Can you tell me directly which bar on the graph is the longest? Also, could you specify what type of food production the color of that particular bar represents?",Which bar is the longest and what type of food production does its color represent?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
How does the food production method that's causing the most pollution affect our plans to cut down on greenhouse gases?,How does the type of food production with the highest value of food emissions impact our strategies for reducing greenhouse gas emissions?,open-ended,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",2
What is the number of fatalities attributed to Heroin in the year 2020?,How many deaths were caused by Heroin in 2020?,lookup-nonvisual,"[['Colloquial', 'Standard', 'Colloquial language is informal and used in everyday conversation, while standard language follows established rules and conventions and is used in more formal situations.']]",4
Can you clearly tell me the exact value of the Heroin line on the y-axis for the year 2020?,What is the position of the Heroin line on the y-axis in the year 2020?,lookup-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"In your opinion, which drug do you think has been responsible for the most deaths over the years?",Which drug has caused the maximum number of deaths over the years?,compositional-nonvisual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
Can you tell me which line goes up the highest on the y-axis throughout the years?,Which line reaches the highest position on the y-axis over the years?,compositional-visual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
What is the potential application of data regarding drug-related fatalities over time in enhancing drug prevention and treatment initiatives in Scotland?,How can the information about the number of deaths caused by different drugs over the years be used to improve drug prevention and treatment programs in Scotland?,open-ended,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
What is the count of footwear manufacturing facilities in Vietnam and Indonesia?,How many shoe factories are there in Vietnam and Indonesia?,lookup-nonvisual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
Can you count how many big circles are on the parts of the map that show Vietnam and Indonesia?,How many large circles are located in the areas representing Vietnam and Indonesia on the map?,lookup-visual,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
Can you provide me with the exact count of shoe factories in both Vietnam and Indonesia?,What is the total number of shoe factories in Vietnam and Indonesia?,compositional-nonvisual,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
Can you tell me how many big circles you think are in the Vietnam and Indonesia areas on the map?,What is the total count of large circles located in the areas representing Vietnam and Indonesia on the map?,compositional-visual,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",1
What factors could contribute to Vietnam and Indonesia being preferred locations for shoe manufacturing facilities?,Why might Vietnam and Indonesia be popular locations for shoe factories?,open-ended,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",5
