country,region,country_code,year,lifeExp,gdpPercap,pop
Qatar,Asia,QAT,1962,61.8,24500,56300
Romania,Europe,ROU,1962,67.3,6650,18900000
Russia,Europe,RUS,1962,68.1,11500,123000000
Rwanda,Africa,RWA,1962,44.8,673,3050000
Samoa,Asia,WSM,1962,59.5,3420,116000
Sao Tome and Principe,Africa,STP,1962,53.7,1420,64400
Saudi Arabia,Asia,SAU,1962,56.3,13800,4360000
Senegal,Africa,SEN,1962,46.0,2090,3390000
Serbia,Europe,SRB,1962,66.0,7220,7670000
Seychelles,Africa,SYC,1962,62.1,5880,43400
Sierra Leone,Africa,SLE,1962,39.8,1310,2360000
Singapore,Asia,SGP,1962,66.8,5370,1740000
Slovak Republic,Europe,SVK,1962,70.4,9150,4250000
Slovenia,Europe,SVN,1962,67.8,8520,1610000
Solomon Islands,Asia,SLB,1962,50.5,1150,125000
Somalia,Africa,SOM,1962,45.3,1270,2870000
South Africa,Africa,ZAF,1962,53.6,8130,18400000
South Korea,Asia,KOR,1962,55.1,1150,26800000
South Sudan,Africa,SSD,1962,43.6,2500,3070000
Spain,Europe,ESP,1962,69.4,7140,31200000
Sri Lanka,Asia,LKA,1962,60.9,1890,10400000
St. Lucia,Americas,LCA,1962,61.2,2520,92100
St. Vincent and the Grenadines,Americas,VCT,1962,59.9,3080,83200
Sudan,Africa,SDN,1962,49.3,2320,8000000
Suriname,Americas,SUR,1962,61.5,7270,306000
Swaziland,Africa,SWZ,1962,47.7,2510,366000
Sweden,Europe,SWE,1962,73.2,16600,7580000
Switzerland,Europe,CHE,1962,71.2,29600,5500000
Syria,Asia,SYR,1962,58.5,2930,4880000
Tajikistan,Asia,TJK,1962,53.6,3530,2240000
Tanzania,Africa,TZA,1962,49.0,1100,10700000
Thailand,Asia,THA,1962,58.7,1640,29100000
Timor-Leste,Asia,TLS,1962,38.2,722,518000
Togo,Africa,TGO,1962,45.9,1300,1610000
Tonga,Asia,TON,1962,62.7,1580,66300
Trinidad and Tobago,Americas,TTO,1962,64.1,8420,880000
Tunisia,Africa,TUN,1962,48.3,2250,4300000
Turkey,Europe,TUR,1962,50.8,5050,28800000
Turkmenistan,Asia,TKM,1962,53.1,7380,1720000
Uganda,Africa,UGA,1962,46.4,861,7240000
Ukraine,Europe,UKR,1962,69.1,5810,43700000
United Arab Emirates,Asia,ARE,1962,57.2,2220,112000
United Kingdom,Europe,GBR,1962,70.8,14000,53200000
United States,Americas,USA,1962,70.2,19000,192000000
Uruguay,Americas,URY,1962,68.2,7730,2600000
Uzbekistan,Asia,UZB,1962,60.2,2480,9140000
Vanuatu,Asia,VUT,1962,51.5,1510,67800
Venezuela,Americas,VEN,1962,62.4,12500,8790000
Vietnam,Asia,VNM,1962,55.0,1270,34700000
Yemen,Asia,YEM,1962,34.9,1430,5350000
Zambia,Africa,ZMB,1962,51.5,2970,3240000
Zimbabwe,Africa,ZWE,1962,54.6,2030,4000000
Afghanistan,Asia,AFG,1967,43.7,1180,10400000
Albania,Europe,ALB,1967,66.7,3460,2000000
Algeria,Africa,DZA,1967,56.0,5860,13400000
Andorra,Europe,AND,1967,,26300,20800
Angola,Africa,AGO,1967,46.8,5390,6410000
Antigua and Barbuda,Americas,ATG,1967,65.8,5230,63400
Argentina,Americas,ARG,1967,64.7,10400,22900000
Armenia,Europe,ARM,1967,64.5,3150,2340000
Australia,Asia,AUS,1967,71.5,17600,11900000
Austria,Europe,AUT,1967,70.1,15300,7400000
Azerbaijan,Europe,AZE,1967,60.3,6460,4840000
Bahamas,Americas,BHS,1967,64.0,21000,153000
Bahrain,Asia,BHR,1967,61.8,27800,196000
Bangladesh,Asia,BGD,1967,45.9,1130,59600000
Barbados,Americas,BRB,1967,68.0,7340,237000
Belarus,Europe,BLR,1967,71.7,4980,8730000
Belgium,Europe,BEL,1967,70.9,16200,9530000
Belize,Americas,BLZ,1967,64.8,2250,113000
Benin,Africa,BEN,1967,45.2,1250,2740000
Bhutan,Asia,BTN,1967,46.0,1030,271000
Bolivia,Americas,BOL,1967,49.0,3290,4240000
Bosnia and Herzegovina,Europe,BIH,1967,64.7,2140,3630000
Botswana,Africa,BWA,1967,54.9,1240,633000
Brazil,Americas,BRA,1967,60.1,4890,88200000
Brunei,Asia,BRN,1967,64.4,75400,112000
Bulgaria,Europe,BGR,1967,70.2,7200,8340000
Burkina Faso,Africa,BFA,1967,42.7,781,5340000
Burundi,Africa,BDI,1967,44.1,681,3230000
Cambodia,Asia,KHM,1967,45.5,1660,6690000
Cameroon,Africa,CMR,1967,49.9,2030,6060000
Canada,Americas,CAN,1967,72.2,18300,20400000
Cape Verde,Africa,CPV,1967,55.4,938,249000
Central African Republic,Africa,CAF,1967,45.7,1300,1720000
Chad,Africa,TCD,1967,47.4,1310,3430000
Chile,Americas,CHL,1967,61.6,7010,9000000
China,Asia,CHN,1967,56.9,722,761000000
Colombia,Americas,COL,1967,64.7,3820,20300000
Comoros,Africa,COM,1967,49.5,1530,216000
"Congo, Dem. Rep.",Africa,COD,1967,48.9,2010,18400000
"Congo, Rep.",Africa,COG,1967,48.0,2600,1250000
Costa Rica,Americas,CRI,1967,67.4,5310,1690000
Cote d'Ivoire,Africa,CIV,1967,48.1,3230,4660000
Croatia,Europe,HRV,1967,66.9,10200,4370000
Cuba,Americas,CUB,1967,70.2,10600,8260000
Cyprus,Europe,CYP,1967,69.6,7290,591000
Czech Republic,Europe,CZE,1967,70.5,13900,9820000
Denmark,Europe,DNK,1967,72.9,20000,4830000
Djibouti,Africa,DJI,1967,57.1,3740,131000
Dominica,Americas,DMA,1967,,2620,67700
Dominican Republic,Americas,DOM,1967,62.7,2860,4130000
Ecuador,Americas,ECU,1967,61.7,5200,5570000
Egypt,Africa,EGY,1967,50.7,2350,32500000
El Salvador,Americas,SLV,1967,57.7,4960,3380000
Equatorial Guinea,Africa,GNQ,1967,43.1,1230,293000
Eritrea,Africa,ERI,1967,44.0,1090,1670000
Estonia,Europe,EST,1967,70.8,9150,1320000
Ethiopia,Africa,ETH,1967,42.8,777,26300000
Fiji,Asia,FJI,1967,63.1,3830,488000
Finland,Europe,FIN,1967,69.5,13600,4590000
France,Europe,FRA,1967,71.8,15800,49800000
Gabon,Africa,GAB,1967,49.0,3240,554000
Gambia,Africa,GMB,1967,51.0,1600,416000
Georgia,Europe,GEO,1967,63.4,4340,4520000
Germany,Europe,DEU,1967,70.9,18200,77400000
Ghana,Africa,GHA,1967,54.1,2210,8060000
Greece,Europe,GRC,1967,72.5,9690,8520000
Grenada,Americas,GRD,1967,66.2,2430,95000
Guatemala,Americas,GTM,1967,48.7,3940,5160000
Guinea,Africa,GIN,1967,44.1,927,4020000
Guinea-Bissau,Africa,GNB,1967,40.0,1640,673000
Guyana,Americas,GUY,1967,60.4,3300,676000
Haiti,Americas,HTI,1967,44.5,1870,4450000
Honduras,Americas,HND,1967,55.3,2790,2490000
Hungary,Europe,HUN,1967,69.4,12600,10200000
Iceland,Europe,ISL,1967,73.9,14900,197000
India,Asia,IND,1967,46.8,1090,519000000
Indonesia,Asia,IDN,1967,51.5,1620,106000000
Iran,Asia,IRN,1967,53.3,8240,26300000
Iraq,Asia,IRQ,1967,58.1,7020,8950000
Ireland,Europe,IRL,1967,71.5,9830,2880000
Israel,Asia,ISR,1967,69.1,9380,2650000
Italy,Europe,ITA,1967,71.0,14100,52500000
Jamaica,Americas,JAM,1967,67.9,6460,1800000
Japan,Asia,JPN,1967,71.6,8630,101000000
Jordan,Asia,JOR,1967,59.9,5290,1380000
Kazakhstan,Asia,KAZ,1967,62.6,10700,12500000
Kenya,Africa,KEN,1967,55.9,2140,10200000
Kiribati,Asia,KIR,1967,53.4,3560,48400
Kuwait,Asia,KWT,1967,68.0,39400,579000
Kyrgyz Republic,Asia,KGZ,1967,58.5,3190,2740000
Lao,Asia,LAO,1967,41.4,1310,2500000
Latvia,Europe,LVA,1967,70.7,6950,2310000
Lebanon,Asia,LBN,1967,65.8,10500,2170000
Lesotho,Africa,LSO,1967,55.0,798,972000
Liberia,Africa,LBR,1967,45.3,1960,1310000
Libya,Africa,LBY,1967,62.0,46000,1880000
Lithuania,Europe,LTU,1967,71.9,11400,3040000
Luxembourg,Europe,LUX,1967,70.1,25400,334000
"Macedonia, FYR",Europe,MKD,1967,65.9,5370,1640000
Madagascar,Africa,MDG,1967,48.9,2290,6070000
Malawi,Africa,MWI,1967,42.2,621,4260000
Malaysia,Asia,MYS,1967,63.3,3650,10000000
Maldives,Asia,MDV,1967,37.0,1280,108000
Mali,Africa,MLI,1967,37.3,909,5710000
Malta,Europe,MLT,1967,68.7,3480,322000
Marshall Islands,Asia,MHL,1967,,2000,18400
Mauritania,Africa,MRT,1967,52.5,2600,1050000
Mauritius,Africa,MUS,1967,60.6,3190,785000
Mexico,Americas,MEX,1967,60.9,7840,47400000
"Micronesia, Fed. Sts.",Asia,FSM,1967,58.7,1640,56300
Moldova,Europe,MDA,1967,62.1,4660,3440000
Mongolia,Asia,MNG,1967,52.9,1530,1170000
Montenegro,Europe,MNE,1967,70.7,8900,530000
Morocco,Africa,MAR,1967,54.0,2200,15000000
Mozambique,Africa,MOZ,1967,45.8,501,8570000
Myanmar,Asia,MMR,1967,46.6,790,24500000
Namibia,Africa,NAM,1967,56.4,6170,719000
Nepal,Asia,NPL,1967,47.4,998,11300000
Netherlands,Europe,NLD,1967,73.9,16700,12600000
New Zealand,Asia,NZL,1967,71.7,18400,2700000
Nicaragua,Americas,NIC,1967,56.1,6070,2190000
Niger,Africa,NER,1967,43.0,1420,4140000
Nigeria,Africa,NGA,1967,45.7,2670,52300000
North Korea,Asia,PRK,1967,63.6,1650,13200000
Norway,Europe,NOR,1967,74.0,20500,3780000
Oman,Asia,OMN,1967,48.5,8880,660000
Pakistan,Asia,PAK,1967,55.1,1540,53600000
Palestine,Asia,PSE,1967,59.9,1040,1170000
Panama,Americas,PAN,1967,66.8,5810,1390000
Papua New Guinea,Asia,PNG,1967,51.1,1480,2340000
Paraguay,Americas,PRY,1967,68.9,3330,2290000
Peru,Americas,PER,1967,45.9,6760,12300000
Philippines,Asia,PHL,1967,62.1,2990,32800000
Poland,Europe,POL,1967,69.6,8150,31900000
Portugal,Europe,PRT,1967,66.8,8290,8800000
Qatar,Asia,QAT,1967,65.4,77500,86300
Romania,Europe,ROU,1967,67.9,9210,19800000
Russia,Europe,RUS,1967,68.8,13900,128000000
Rwanda,Africa,RWA,1967,46.1,577,3420000
Samoa,Asia,WSM,1967,63.0,3620,134000
Sao Tome and Principe,Africa,STP,1967,56.6,1850,67900
Saudi Arabia,Asia,SAU,1967,60.8,29100,5190000
Senegal,Africa,SEN,1967,46.3,2040,3900000
Serbia,Europe,SRB,1967,68.7,9040,7940000
Seychelles,Africa,SYC,1967,64.1,6080,48900
Sierra Leone,Africa,SLE,1967,42.5,1370,2550000
Singapore,Asia,SGP,1967,67.8,7330,1960000
Slovak Republic,Europe,SVK,1967,71.1,10300,4450000
Slovenia,Europe,SVN,1967,67.9,10800,1640000
Solomon Islands,Asia,SLB,1967,53.0,1250,145000
Somalia,Africa,SOM,1967,48.1,1200,3230000
South Africa,Africa,ZAF,1967,55.9,9410,21000000
South Korea,Asia,KOR,1967,59.3,1580,30200000
South Sudan,Africa,SSD,1967,47.1,2190,3410000
Spain,Europe,ESP,1967,71.1,10100,32900000
Sri Lanka,Asia,LKA,1967,63.4,1990,11700000
St. Lucia,Americas,LCA,1967,64.0,3140,99500
St. Vincent and the Grenadines,Americas,VCT,1967,63.5,2570,87700
Sudan,Africa,SDN,1967,51.4,2010,9340000
Suriname,Americas,SUR,1967,63.5,8160,351000
Swaziland,Africa,SWZ,1967,49.6,3580,411000
Sweden,Europe,SWE,1967,74.0,19700,7880000
Switzerland,Europe,CHE,1967,72.6,33100,5990000
Syria,Asia,SYR,1967,62.2,2580,5740000
Tajikistan,Asia,TJK,1967,55.4,4210,2660000
Tanzania,Africa,TZA,1967,50.9,1330,12400000
Thailand,Asia,THA,1967,61.0,2100,33800000
Timor-Leste,Asia,TLS,1967,41.6,729,569000
Togo,Africa,TGO,1967,49.6,1790,1860000
Tonga,Asia,TON,1967,64.5,1660,79100
Trinidad and Tobago,Americas,TTO,1967,65.2,9510,926000
Tunisia,Africa,TUN,1967,53.6,2650,4740000
Turkey,Europe,TUR,1967,54.9,6300,32500000
Turkmenistan,Asia,TKM,1967,55.0,8890,2010000
Uganda,Africa,UGA,1967,49.3,1030,8580000
Ukraine,Europe,UKR,1967,69.7,6970,46100000
United Arab Emirates,Asia,ARE,1967,62.6,24100,170000
United Kingdom,Europe,GBR,1967,72.0,15900,54900000
United States,Americas,USA,1967,70.7,22800,204000000
Uruguay,Americas,URY,1967,68.5,7320,2750000
Uzbekistan,Asia,UZB,1967,62.3,2980,10900000
Vanuatu,Asia,VUT,1967,55.0,1610,78500
Venezuela,Americas,VEN,1967,65.3,14200,10500000
Vietnam,Asia,VNM,1967,56.0,1050,40100000
Yemen,Asia,YEM,1967,39.4,1500,5860000
Zambia,Africa,ZMB,1967,53.9,4320,3790000
Zimbabwe,Africa,ZWE,1967,56.5,1960,4700000
Afghanistan,Asia,AFG,1972,45.9,1050,11700000
Albania,Europe,ALB,1972,68.6,4120,2250000
Algeria,Africa,DZA,1972,58.2,7620,15400000
Andorra,Europe,AND,1972,76.6,34000,26900
Angola,Africa,AGO,1972,49.2,5670,7090000
Antigua and Barbuda,Americas,ATG,1972,67.6,6160,69200
Argentina,Americas,ARG,1972,66.0,12200,24800000
Armenia,Europe,ARM,1972,66.5,3580,2650000
Australia,Asia,AUS,1972,71.8,20400,13300000
Austria,Europe,AUT,1972,70.4,19800,7580000
Azerbaijan,Europe,AZE,1972,62.5,7400,5390000
Bahamas,Americas,BHS,1972,65.7,19900,178000
Bahrain,Asia,BHR,1972,66.0,34000,229000
Bangladesh,Asia,BGD,1972,52.1,994,67600000
Barbados,Americas,BRB,1972,70.0,9310,241000
Belarus,Europe,BLR,1972,71.1,5660,9120000
Belgium,Europe,BEL,1972,71.3,20500,9690000
Belize,Americas,BLZ,1972,67.2,2800,127000
Benin,Africa,BEN,1972,48.2,1320,3040000
Bhutan,Asia,BTN,1972,49.9,1030,318000
Bolivia,Americas,BOL,1972,51.5,3800,4700000
Bosnia and Herzegovina,Europe,BIH,1972,67.1,2650,3850000
Botswana,Africa,BWA,1972,57.7,2320,743000
Brazil,Americas,BRA,1972,62.3,7090,100000000
Brunei,Asia,BRN,1972,67.1,88700,142000
Bulgaria,Europe,BGR,1972,71.0,8510,8610000
Burkina Faso,Africa,BFA,1972,45.0,830,5830000
Burundi,Africa,BDI,1972,18.2,773,3540000
Cambodia,Asia,KHM,1972,45.2,1450,7300000
Cameroon,Africa,CMR,1972,52.5,2290,6880000
Canada,Americas,CAN,1972,73.0,21600,22200000
Cape Verde,Africa,CPV,1972,58.9,820,274000
Central African Republic,Africa,CAF,1972,48.3,1220,1900000
Chad,Africa,TCD,1972,49.9,1220,3820000
Chile,Americas,CHL,1972,64.0,7550,9920000
China,Asia,CHN,1972,62.1,846,866000000
Colombia,Americas,COL,1972,65.4,4630,23100000
Comoros,Africa,COM,1972,51.9,1460,239000
"Congo, Dem. Rep.",Africa,COD,1972,50.8,2160,21100000
"Congo, Rep.",Africa,COG,1972,49.6,3520,1450000
Costa Rica,Americas,CRI,1972,70.0,6580,1950000
Cote d'Ivoire,Africa,CIV,1972,52.1,3940,5740000
Croatia,Europe,HRV,1972,68.5,13400,4450000
Cuba,Americas,CUB,1972,72.8,10000,9030000
Cyprus,Europe,CYP,1972,70.7,9930,628000
Czech Republic,Europe,CZE,1972,70.0,16000,9890000
Denmark,Europe,DNK,1972,73.6,23800,4990000
Djibouti,Africa,DJI,1972,60.3,4590,179000
Dominica,Americas,DMA,1972,68.5,3070,71700
Dominican Republic,Americas,DOM,1972,65.8,3810,4760000
Ecuador,Americas,ECU,1972,63.8,6000,6430000
Egypt,Africa,EGY,1972,52.7,3100,36700000
El Salvador,Americas,SLV,1972,59.9,5090,3860000
Equatorial Guinea,Africa,GNQ,1972,44.8,899,293000
Eritrea,Africa,ERI,1972,46.0,1120,1910000
Estonia,Europe,EST,1972,69.9,10500,1390000
Ethiopia,Africa,ETH,1972,44.0,803,30100000
Fiji,Asia,FJI,1972,64.2,4960,543000
Finland,Europe,FIN,1972,70.8,17900,4650000
France,Europe,FRA,1972,72.8,19600,51700000
Gabon,Africa,GAB,1972,53.1,6220,613000
Gambia,Africa,GMB,1972,55.8,1660,475000
Georgia,Europe,GEO,1972,65.3,5410,4790000
Germany,Europe,DEU,1972,70.9,22400,78900000
Ghana,Africa,GHA,1972,55.9,2400,9080000
Greece,Europe,GRC,1972,73.9,14600,8770000
Grenada,Americas,GRD,1972,68.1,3000,93900
Guatemala,Americas,GTM,1972,53.1,4860,5940000
Guinea,Africa,GIN,1972,45.4,976,4300000
Guinea-Bissau,Africa,GNB,1972,41.3,1780,741000
Guyana,Americas,GUY,1972,61.2,3480,722000
Haiti,Americas,HTI,1972,46.4,2140,4880000
Honduras,Americas,HND,1972,58.7,2760,2880000
Hungary,Europe,HUN,1972,69.5,13800,10400000
Iceland,Europe,ISL,1972,74.2,17600,210000
India,Asia,IND,1972,49.9,1110,579000000
Indonesia,Asia,IDN,1972,54.8,2380,121000000
Iran,Asia,IRN,1972,59.2,13700,30100000
Iraq,Asia,IRQ,1972,61.7,7500,10600000
Ireland,Europe,IRL,1972,71.3,12300,3030000
Israel,Asia,ISR,1972,71.1,14300,3030000
Italy,Europe,ITA,1972,72.0,17300,54300000
Jamaica,Americas,JAM,1972,69.8,7780,1930000
Japan,Asia,JPN,1972,73.1,16100,108000000
Jordan,Asia,JOR,1972,63.5,4040,1880000
Kazakhstan,Asia,KAZ,1972,64.3,12200,13500000
Kenya,Africa,KEN,1972,58.7,2030,12100000
Kiribati,Asia,KIR,1972,55.5,4160,52800
Kuwait,Asia,KWT,1972,70.3,61700,855000
Kyrgyz Republic,Asia,KGZ,1972,60.6,3510,3110000
Lao,Asia,LAO,1972,43.1,1360,2840000
Latvia,Europe,LVA,1972,69.9,7920,2420000
Lebanon,Asia,LBN,1972,67.1,14400,2420000
Lesotho,Africa,LSO,1972,56.1,803,1080000
Liberia,Africa,LBR,1972,48.5,2220,1490000
Libya,Africa,LBY,1972,67.5,51400,2330000
Lithuania,Europe,LTU,1972,71.4,13000,3200000
Luxembourg,Europe,LUX,1972,70.6,31800,345000
"Macedonia, FYR",Europe,MKD,1972,68.1,7100,1750000
Madagascar,Africa,MDG,1972,51.8,2460,6950000
Malawi,Africa,MWI,1972,44.7,748,4860000
Malaysia,Asia,MYS,1972,65.6,4600,11300000
Maldives,Asia,MDV,1972,41.3,1410,123000
Mali,Africa,MLI,1972,40.6,983,6150000
Malta,Europe,MLT,1972,70.1,4980,320000
Marshall Islands,Asia,MHL,1972,61.4,2240,22300
Mauritania,Africa,MRT,1972,54.8,2960,1220000
Mauritius,Africa,MUS,1972,61.9,3350,852000
Mexico,Americas,MEX,1972,63.4,9310,55500000
"Micronesia, Fed. Sts.",Asia,FSM,1972,60.2,1770,62300
Moldova,Europe,MDA,1972,63.1,5280,3700000
Mongolia,Asia,MNG,1972,56.0,1750,1360000
Montenegro,Europe,MNE,1972,72.8,11800,529000
Morocco,Africa,MAR,1972,56.3,2500,16700000
Mozambique,Africa,MOZ,1972,48.1,637,9600000
Myanmar,Asia,MMR,1972,50.5,814,27700000
Namibia,Africa,NAM,1972,58.7,6110,829000
Nepal,Asia,NPL,1972,49.6,985,12500000
Netherlands,Europe,NLD,1972,73.9,20800,13300000
New Zealand,Asia,NZL,1972,71.8,20400,2930000
Nicaragua,Americas,NIC,1972,52.2,6100,2550000
Niger,Africa,NER,1972,43.7,1290,4770000
Nigeria,Africa,NGA,1972,51.0,3940,58700000
North Korea,Asia,PRK,1972,68.6,1730,15200000
Norway,Europe,NOR,1972,74.4,24100,3930000
Oman,Asia,OMN,1972,52.8,20300,776000
Pakistan,Asia,PAK,1972,57.7,1730,61300000
Palestine,Asia,PSE,1972,66.9,1460,1180000
Panama,Americas,PAN,1972,69.7,7080,1610000
Papua New Guinea,Asia,PNG,1972,54.5,1850,2660000
Paraguay,Americas,PRY,1972,69.9,3640,2600000
Peru,Americas,PER,1972,59.5,6880,14100000
Philippines,Asia,PHL,1972,63.3,3300,37900000
Poland,Europe,POL,1972,70.6,9990,33100000
Portugal,Europe,PRT,1972,68.4,11800,8840000
Qatar,Asia,QAT,1972,67.5,159000,131000
Romania,Europe,ROU,1972,69.2,11400,21000000
Russia,Europe,RUS,1972,68.3,15900,132000000
Rwanda,Africa,RWA,1972,46.9,668,3980000
Samoa,Asia,WSM,1972,65.2,3840,147000
Sao Tome and Principe,Africa,STP,1972,59.9,2150,77500
Saudi Arabia,Asia,SAU,1972,66.2,60500,6390000
Senegal,Africa,SEN,1972,48.1,2030,4530000
Serbia,Europe,SRB,1972,70.4,11700,8260000
Seychelles,Africa,SYC,1972,66.4,7710,55100
Sierra Leone,Africa,SLE,1972,46.4,1480,2800000
Singapore,Asia,SGP,1972,69.2,12700,2150000
Slovak Republic,Europe,SVK,1972,70.1,11800,4620000
Slovenia,Europe,SVN,1972,68.5,14300,1690000
Solomon Islands,Asia,SLB,1972,55.4,829,173000
Somalia,Africa,SOM,1972,50.1,1260,3480000
South Africa,Africa,ZAF,1972,57.9,10200,24100000
South Korea,Asia,KOR,1972,62.8,2680,33500000
South Sudan,Africa,SSD,1972,48.1,2200,3820000
Spain,Europe,ESP,1972,72.5,13600,34800000
Sri Lanka,Asia,LKA,1972,64.7,2140,13000000
St. Lucia,Americas,LCA,1972,66.2,3790,106000
St. Vincent and the Grenadines,Americas,VCT,1972,65.5,3790,92500
Sudan,Africa,SDN,1972,53.4,2000,11000000
Suriname,Americas,SUR,1972,64.9,9720,371000
Swaziland,Africa,SWZ,1972,52.8,4660,472000
Sweden,Europe,SWE,1972,74.8,22300,8130000
Switzerland,Europe,CHE,1972,73.6,39200,6270000
Syria,Asia,SYR,1972,65.8,3320,6800000
Tajikistan,Asia,TJK,1972,57.4,4760,3110000
Tanzania,Africa,TZA,1972,53.1,1470,14500000
Thailand,Asia,THA,1972,63.3,2480,39100000
Timor-Leste,Asia,TLS,1972,45.2,736,638000
Togo,Africa,TGO,1972,52.8,1980,2250000
Tonga,Asia,TON,1972,65.8,1760,86300
Trinidad and Tobago,Americas,TTO,1972,65.7,11200,969000
Tunisia,Africa,TUN,1972,59.5,3800,5290000
Turkey,Europe,TUR,1972,58.5,7550,36600000
Turkmenistan,Asia,TKM,1972,57.1,10200,2320000
Uganda,Africa,UGA,1972,50.8,1090,9990000
Ukraine,Europe,UKR,1972,69.2,7940,47800000
United Arab Emirates,Asia,ARE,1972,66.8,38800,333000
United Kingdom,Europe,GBR,1972,72.0,18000,56000000
United States,Americas,USA,1972,71.3,25400,213000000
Uruguay,Americas,URY,1972,68.5,7560,2820000
Uzbekistan,Asia,UZB,1972,64.2,3400,12800000
Vanuatu,Asia,VUT,1972,57.5,1720,90800
Venezuela,Americas,VEN,1972,66.9,15600,12300000
Vietnam,Asia,VNM,1972,50.6,1150,45500000
Yemen,Asia,YEM,1972,45.4,2190,6410000
Zambia,Africa,ZMB,1972,56.5,3980,4470000
Zimbabwe,Africa,ZWE,1972,58.3,2830,5540000
Afghanistan,Asia,AFG,1977,46.6,1130,13100000
Albania,Europe,ALB,1977,71.3,4340,2520000
Algeria,Africa,DZA,1977,60.6,8980,17700000
Andorra,Europe,AND,1977,78.0,34000,32800
Angola,Africa,AGO,1977,49.6,5110,8130000
Antigua and Barbuda,Americas,ATG,1977,69.0,6140,72900
Argentina,Americas,ARG,1977,68.2,13300,26900000
Armenia,Europe,ARM,1977,68.8,3940,2940000
Australia,Asia,AUS,1977,73.5,22400,14200000
Austria,Europe,AUT,1977,72.0,23600,7640000
Azerbaijan,Europe,AZE,1977,65.2,8350,5860000
Bahamas,Americas,BHS,1977,67.3,15800,197000
Bahrain,Asia,BHR,1977,68.9,40800,303000
Bangladesh,Asia,BGD,1977,52.8,1050,74900000
Barbados,Americas,BRB,1977,71.5,11200,249000
Belarus,Europe,BLR,1977,70.9,6770,9440000
Belgium,Europe,BEL,1977,72.6,23500,9820000
Belize,Americas,BLZ,1977,68.7,3370,137000
Benin,Africa,BEN,1977,50.3,1260,3430000
Bhutan,Asia,BTN,1977,52.0,1050,373000
Bolivia,Americas,BOL,1977,54.5,4530,5230000
Bosnia and Herzegovina,Europe,BIH,1977,68.7,3060,4060000
Botswana,Africa,BWA,1977,60.4,3310,892000
Brazil,Americas,BRA,1977,64.6,9520,113000000
Brunei,Asia,BRN,1977,69.2,120000,175000
Bulgaria,Europe,BGR,1977,71.1,9810,8800000
Burkina Faso,Africa,BFA,1977,46.8,714,6400000
Burundi,Africa,BDI,1977,45.6,936,3820000
Cambodia,Asia,KHM,1977,24.5,985,7190000
Cameroon,Africa,CMR,1977,54.3,2450,7890000
Canada,Americas,CAN,1977,74.3,25200,23700000
Cape Verde,Africa,CPV,1977,63.4,766,276000
Central African Republic,Africa,CAF,1977,48.8,1250,2110000
Chad,Africa,TCD,1977,51.0,1250,4250000
Chile,Americas,CHL,1977,68.2,6550,10800000
China,Asia,CHN,1977,63.6,909,952000000
Colombia,Americas,COL,1977,67.9,5420,25900000
Comoros,Africa,COM,1977,53.5,1520,276000
"Congo, Dem. Rep.",Africa,COD,1977,52.0,1780,24200000
"Congo, Rep.",Africa,COG,1977,51.8,3400,1690000
Costa Rica,Americas,CRI,1977,73.1,7680,2210000
Cote d'Ivoire,Africa,CIV,1977,54.6,4560,7250000
Croatia,Europe,HRV,1977,69.8,16500,4540000
Cuba,Americas,CUB,1977,73.8,12100,9630000
Cyprus,Europe,CYP,1977,72.2,11600,666000
Czech Republic,Europe,CZE,1977,70.7,18100,10200000
Denmark,Europe,DNK,1977,74.4,26100,5100000
Djibouti,Africa,DJI,1977,61.2,3830,277000
Dominica,Americas,DMA,1977,71.4,3770,73400
Dominican Republic,Americas,DOM,1977,67.9,4700,5410000
Ecuador,Americas,ECU,1977,66.3,7500,7370000
Egypt,Africa,EGY,1977,56.2,3690,41000000
El Salvador,Americas,SLV,1977,63.1,5740,4330000
Equatorial Guinea,Africa,GNQ,1977,47.3,1280,247000
Eritrea,Africa,ERI,1977,47.7,983,2190000
Estonia,Europe,EST,1977,69.6,12300,1440000
Ethiopia,Africa,ETH,1977,43.5,704,33600000
Fiji,Asia,FJI,1977,65.1,5660,598000
Finland,Europe,FIN,1977,72.4,19400,4750000
France,Europe,FRA,1977,73.9,22300,53500000
Gabon,Africa,GAB,1977,56.5,20800,679000
Gambia,Africa,GMB,1977,57.6,1960,552000
Georgia,Europe,GEO,1977,67.7,7420,4930000
Germany,Europe,DEU,1977,72.3,25600,78700000
Ghana,Africa,GHA,1977,57.0,2080,10200000
Greece,Europe,GRC,1977,75.4,16500,9260000
Grenada,Americas,GRD,1977,69.5,4280,90200
Guatemala,Americas,GTM,1977,58.0,5850,6770000
Guinea,Africa,GIN,1977,46.9,1160,4400000
Guinea-Bissau,Africa,GNB,1977,45.7,1650,787000
Guyana,Americas,GUY,1977,62.4,3960,762000
Haiti,Americas,HTI,1977,49.0,2420,5340000
Honduras,Americas,HND,1977,61.5,3460,3350000
Hungary,Europe,HUN,1977,69.8,16000,10600000
Iceland,Europe,ISL,1977,76.0,21900,222000
India,Asia,IND,1977,52.6,1250,650000000
Indonesia,Asia,IDN,1977,57.6,2990,137000000
Iran,Asia,IRN,1977,66.3,17000,34800000
Iraq,Asia,IRQ,1977,63.6,11800,12500000
Ireland,Europe,IRL,1977,72.1,14400,3290000
Israel,Asia,ISR,1977,72.5,14900,3510000
