date,Date,CDID,Value,series
2007 AUG,2007-08-15,WUMQ,0.08,Health
2007 AUG,2007-08-15,WUMW,0.42,Transport
2007 AUG,2007-08-15,WUMX,-0.05,Communication
2007 AUG,2007-08-15,WUNC,-0.15,RecreationCulture
2007 AUG,2007-08-15,WUND,0.23,Education
2007 AUG,2007-08-15,WUNE,0.49,RestaurantsHotels
2007 AUG,2007-08-15,WUNG,0.11,Misc
2007 DEC,2007-12-15,WUMA,0.56,Food
2007 DEC,2007-12-15,WUMB,0.11,AlcoholTobacco
2007 DEC,2007-12-15,WUMC,-0.24,ClothingFootwear
2007 DEC,2007-12-15,WUMD,0.02,HousingHouseService
2007 DEC,2007-12-15,WUMP,0.08,FurnitureHousehold
2007 DEC,2007-12-15,WUMQ,0.08,Health
2007 DEC,2007-12-15,WUMW,0.88,Transport
2007 DEC,2007-12-15,WUMX,-0.09,Communication
2007 DEC,2007-12-15,WUNC,-0.2,RecreationCulture
2007 DEC,2007-12-15,WUND,0.24,Education
2007 DEC,2007-12-15,WUNE,0.47,RestaurantsHotels
2007 DEC,2007-12-15,WUNG,0.19,Misc
2007 FEB,2007-02-15,WUMA,0.45,Food
2007 FEB,2007-02-15,WUMB,0.18,AlcoholTobacco
2007 FEB,2007-02-15,WUMC,-0.27,ClothingFootwear
2007 FEB,2007-02-15,WUMD,1.2,HousingHouseService
2007 FEB,2007-02-15,WUMP,0.11,FurnitureHousehold
2007 FEB,2007-02-15,WUMQ,0.09,Health
2007 FEB,2007-02-15,WUMW,0.21,Transport
2007 FEB,2007-02-15,WUMX,-0.07,Communication
2007 FEB,2007-02-15,WUNC,-0.16,RecreationCulture
2007 FEB,2007-02-15,WUND,0.24,Education
2007 FEB,2007-02-15,WUNE,0.44,RestaurantsHotels
2007 FEB,2007-02-15,WUNG,0.38,Misc
2007 JAN,2007-01-15,WUMA,0.4,Food
2007 JAN,2007-01-15,WUMB,0.15,AlcoholTobacco
2007 JAN,2007-01-15,WUMC,-0.27,ClothingFootwear
2007 JAN,2007-01-15,WUMD,1.21,HousingHouseService
2007 JAN,2007-01-15,WUMP,0.07,FurnitureHousehold
2007 JAN,2007-01-15,WUMQ,0.09,Health
2007 JAN,2007-01-15,WUMW,0.14,Transport
2007 JAN,2007-01-15,WUMX,-0.05,Communication
2007 JAN,2007-01-15,WUNC,-0.06,RecreationCulture
2007 JAN,2007-01-15,WUND,0.24,Education
2007 JAN,2007-01-15,WUNE,0.45,RestaurantsHotels
2007 JAN,2007-01-15,WUNG,0.33,Misc
2007 JUL,2007-07-15,WUMA,0.29,Food
2007 JUL,2007-07-15,WUMB,0.15,AlcoholTobacco
2007 JUL,2007-07-15,WUMC,-0.16,ClothingFootwear
2007 JUL,2007-07-15,WUMD,0.4,HousingHouseService
2007 JUL,2007-07-15,WUMP,0.15,FurnitureHousehold
2007 JUL,2007-07-15,WUMQ,0.08,Health
2007 JUL,2007-07-15,WUMW,0.38,Transport
2007 JUL,2007-07-15,WUMX,-0.12,Communication
2007 JUL,2007-07-15,WUNC,-0.23,RecreationCulture
2007 JUL,2007-07-15,WUND,0.23,Education
2007 JUL,2007-07-15,WUNE,0.49,RestaurantsHotels
2007 JUL,2007-07-15,WUNG,0.2,Misc
2007 JUN,2007-06-15,WUMA,0.49,Food
2007 JUN,2007-06-15,WUMB,0.15,AlcoholTobacco
2007 JUN,2007-06-15,WUMC,-0.2,ClothingFootwear
2007 JUN,2007-06-15,WUMD,0.49,HousingHouseService
2007 JUN,2007-06-15,WUMP,0.29,FurnitureHousehold
2007 JUN,2007-06-15,WUMQ,0.08,Health
2007 JUN,2007-06-15,WUMW,0.5,Transport
2007 JUN,2007-06-15,WUMX,-0.09,Communication
2007 JUN,2007-06-15,WUNC,-0.18,RecreationCulture
2007 JUN,2007-06-15,WUND,0.23,Education
2007 JUN,2007-06-15,WUNE,0.5,RestaurantsHotels
2007 JUN,2007-06-15,WUNG,0.18,Misc
2007 MAR,2007-03-15,WUMA,0.57,Food
2007 MAR,2007-03-15,WUMB,0.19,AlcoholTobacco
2007 MAR,2007-03-15,WUMC,-0.25,ClothingFootwear
2007 MAR,2007-03-15,WUMD,1.09,HousingHouseService
2007 MAR,2007-03-15,WUMP,0.21,FurnitureHousehold
2007 MAR,2007-03-15,WUMQ,0.09,Health
2007 MAR,2007-03-15,WUMW,0.25,Transport
2007 MAR,2007-03-15,WUMX,-0.07,Communication
2007 MAR,2007-03-15,WUNC,-0.11,RecreationCulture
2007 MAR,2007-03-15,WUND,0.24,Education
2007 MAR,2007-03-15,WUNE,0.46,RestaurantsHotels
2007 MAR,2007-03-15,WUNG,0.39,Misc
2007 MAY,2007-05-15,WUMA,0.51,Food
2007 MAY,2007-05-15,WUMB,0.18,AlcoholTobacco
2007 MAY,2007-05-15,WUMC,-0.22,ClothingFootwear
2007 MAY,2007-05-15,WUMD,0.64,HousingHouseService
2007 MAY,2007-05-15,WUMP,0.2,FurnitureHousehold
2007 MAY,2007-05-15,WUMQ,0.08,Health
2007 MAY,2007-05-15,WUMW,0.4,Transport
2007 MAY,2007-05-15,WUMX,-0.08,Communication
2007 MAY,2007-05-15,WUNC,-0.13,RecreationCulture
2007 MAY,2007-05-15,WUND,0.23,Education
2007 MAY,2007-05-15,WUNE,0.48,RestaurantsHotels
2007 MAY,2007-05-15,WUNG,0.23,Misc
2007 NOV,2007-11-15,WUMA,0.49,Food
2007 NOV,2007-11-15,WUMB,0.12,AlcoholTobacco
2007 NOV,2007-11-15,WUMC,-0.28,ClothingFootwear
2007 NOV,2007-11-15,WUMD,0.09,HousingHouseService
2007 NOV,2007-11-15,WUMP,0.14,FurnitureHousehold
2007 NOV,2007-11-15,WUMQ,0.07,Health
2007 NOV,2007-11-15,WUMW,0.87,Transport
2007 NOV,2007-11-15,WUMX,-0.1,Communication
2007 NOV,2007-11-15,WUNC,-0.18,RecreationCulture
2007 NOV,2007-11-15,WUND,0.24,Education
2007 NOV,2007-11-15,WUNE,0.46,RestaurantsHotels
2007 NOV,2007-11-15,WUNG,0.16,Misc
2007 OCT,2007-10-15,WUMA,0.49,Food
2007 OCT,2007-10-15,WUMB,0.12,AlcoholTobacco
2007 OCT,2007-10-15,WUMC,-0.27,ClothingFootwear
2007 OCT,2007-10-15,WUMD,0.16,HousingHouseService
2007 OCT,2007-10-15,WUMP,0.15,FurnitureHousehold
2007 OCT,2007-10-15,WUMQ,0.08,Health
2007 OCT,2007-10-15,WUMW,0.77,Transport
2007 OCT,2007-10-15,WUMX,-0.1,Communication
2007 OCT,2007-10-15,WUNC,-0.15,RecreationCulture
2007 OCT,2007-10-15,WUND,0.24,Education
2007 OCT,2007-10-15,WUNE,0.48,RestaurantsHotels
2007 OCT,2007-10-15,WUNG,0.13,Misc
2007 SEP,2007-09-15,WUMA,0.38,Food
2007 SEP,2007-09-15,WUMB,0.14,AlcoholTobacco
2007 SEP,2007-09-15,WUMC,-0.25,ClothingFootwear
2007 SEP,2007-09-15,WUMD,0.26,HousingHouseService
2007 SEP,2007-09-15,WUMP,0.13,FurnitureHousehold
2007 SEP,2007-09-15,WUMQ,0.08,Health
2007 SEP,2007-09-15,WUMW,0.42,Transport
2007 SEP,2007-09-15,WUMX,-0.07,Communication
2007 SEP,2007-09-15,WUNC,-0.16,RecreationCulture
2007 SEP,2007-09-15,WUND,0.24,Education
2007 SEP,2007-09-15,WUNE,0.5,RestaurantsHotels
2007 SEP,2007-09-15,WUNG,0.1,Misc
2008 APR,2008-04-15,WUMA,0.68,Food
2008 APR,2008-04-15,WUMB,0.18,AlcoholTobacco
2008 APR,2008-04-15,WUMC,-0.41,ClothingFootwear
2008 APR,2008-04-15,WUMD,0.63,HousingHouseService
2008 APR,2008-04-15,WUMP,0.11,FurnitureHousehold
2008 APR,2008-04-15,WUMQ,0.08,Health
2008 APR,2008-04-15,WUMW,0.93,Transport
2008 APR,2008-04-15,WUMX,-0.07,Communication
2008 APR,2008-04-15,WUNC,-0.16,RecreationCulture
2008 APR,2008-04-15,WUND,0.23,Education
2008 APR,2008-04-15,WUNE,0.53,RestaurantsHotels
2008 APR,2008-04-15,WUNG,0.23,Misc
2008 AUG,2008-08-15,WUMA,1.36,Food
2008 AUG,2008-08-15,WUMB,0.19,AlcoholTobacco
2008 AUG,2008-08-15,WUMC,-0.44,ClothingFootwear
2008 AUG,2008-08-15,WUMD,1.16,HousingHouseService
2008 AUG,2008-08-15,WUMP,0.23,FurnitureHousehold
2008 AUG,2008-08-15,WUMQ,0.07,Health
2008 AUG,2008-08-15,WUMW,1.12,Transport
2008 AUG,2008-08-15,WUMX,-0.07,Communication
2008 AUG,2008-08-15,WUNC,-0.03,RecreationCulture
2008 AUG,2008-08-15,WUND,0.23,Education
2008 AUG,2008-08-15,WUNE,0.56,RestaurantsHotels
2008 AUG,2008-08-15,WUNG,0.34,Misc
2008 DEC,2008-12-15,WUMA,1.13,Food
2008 DEC,2008-12-15,WUMB,0.18,AlcoholTobacco
2008 DEC,2008-12-15,WUMC,-0.67,ClothingFootwear
2008 DEC,2008-12-15,WUMD,1.63,HousingHouseService
2008 DEC,2008-12-15,WUMP,0.06,FurnitureHousehold
2008 DEC,2008-12-15,WUMQ,0.05,Health
2008 DEC,2008-12-15,WUMW,0.02,Transport
2008 DEC,2008-12-15,WUMX,-0.08,Communication
2008 DEC,2008-12-15,WUNC,-0.19,RecreationCulture
2008 DEC,2008-12-15,WUND,0.16,Education
2008 DEC,2008-12-15,WUNE,0.49,RestaurantsHotels
2008 DEC,2008-12-15,WUNG,0.26,Misc
2008 FEB,2008-02-15,WUMA,0.58,Food
2008 FEB,2008-02-15,WUMB,0.12,AlcoholTobacco
2008 FEB,2008-02-15,WUMC,-0.3,ClothingFootwear
2008 FEB,2008-02-15,WUMD,0.41,HousingHouseService
2008 FEB,2008-02-15,WUMP,0.13,FurnitureHousehold
2008 FEB,2008-02-15,WUMQ,0.07,Health
2008 FEB,2008-02-15,WUMW,0.94,Transport
2008 FEB,2008-02-15,WUMX,-0.09,Communication
2008 FEB,2008-02-15,WUNC,-0.18,RecreationCulture
2008 FEB,2008-02-15,WUND,0.24,Education
2008 FEB,2008-02-15,WUNE,0.45,RestaurantsHotels
2008 FEB,2008-02-15,WUNG,0.12,Misc
2008 JAN,2008-01-15,WUMA,0.63,Food
2008 JAN,2008-01-15,WUMB,0.1,AlcoholTobacco
2008 JAN,2008-01-15,WUMC,-0.32,ClothingFootwear
2008 JAN,2008-01-15,WUMD,0.05,HousingHouseService
2008 JAN,2008-01-15,WUMP,0.13,FurnitureHousehold
2008 JAN,2008-01-15,WUMQ,0.08,Health
2008 JAN,2008-01-15,WUMW,0.97,Transport
2008 JAN,2008-01-15,WUMX,-0.08,Communication
2008 JAN,2008-01-15,WUNC,-0.21,RecreationCulture
2008 JAN,2008-01-15,WUND,0.24,Education
2008 JAN,2008-01-15,WUNE,0.45,RestaurantsHotels
2008 JAN,2008-01-15,WUNG,0.16,Misc
2008 JUL,2008-07-15,WUMA,1.28,Food
2008 JUL,2008-07-15,WUMB,0.18,AlcoholTobacco
2008 JUL,2008-07-15,WUMC,-0.44,ClothingFootwear
2008 JUL,2008-07-15,WUMD,0.87,HousingHouseService
2008 JUL,2008-07-15,WUMP,0.21,FurnitureHousehold
2008 JUL,2008-07-15,WUMQ,0.08,Health
2008 JUL,2008-07-15,WUMW,1.22,Transport
2008 JUL,2008-07-15,WUMX,-0.02,Communication
2008 JUL,2008-07-15,WUNC,-0.02,RecreationCulture
2008 JUL,2008-07-15,WUND,0.23,Education
2008 JUL,2008-07-15,WUNE,0.57,RestaurantsHotels
2008 JUL,2008-07-15,WUNG,0.28,Misc
2008 JUN,2008-06-15,WUMA,1.0,Food
2008 JUN,2008-06-15,WUMB,0.19,AlcoholTobacco
2008 JUN,2008-06-15,WUMC,-0.48,ClothingFootwear
2008 JUN,2008-06-15,WUMD,0.8,HousingHouseService
2008 JUN,2008-06-15,WUMP,0.14,FurnitureHousehold
2008 JUN,2008-06-15,WUMQ,0.07,Health
2008 JUN,2008-06-15,WUMW,1.1,Transport
2008 JUN,2008-06-15,WUMX,-0.03,Communication
2008 JUN,2008-06-15,WUNC,0.0,RecreationCulture
2008 JUN,2008-06-15,WUND,0.23,Education
2008 JUN,2008-06-15,WUNE,0.53,RestaurantsHotels
2008 JUN,2008-06-15,WUNG,0.27,Misc
2008 MAR,2008-03-15,WUMA,0.57,Food
2008 MAR,2008-03-15,WUMB,0.11,AlcoholTobacco
2008 MAR,2008-03-15,WUMC,-0.34,ClothingFootwear
2008 MAR,2008-03-15,WUMD,0.46,HousingHouseService
2008 MAR,2008-03-15,WUMP,0.05,FurnitureHousehold
2008 MAR,2008-03-15,WUMQ,0.08,Health
2008 MAR,2008-03-15,WUMW,1.06,Transport
2008 MAR,2008-03-15,WUMX,-0.1,Communication
2008 MAR,2008-03-15,WUNC,-0.23,RecreationCulture
2008 MAR,2008-03-15,WUND,0.24,Education
2008 MAR,2008-03-15,WUNE,0.45,RestaurantsHotels
2008 MAR,2008-03-15,WUNG,0.12,Misc
2008 MAY,2008-05-15,WUMA,0.82,Food
2008 MAY,2008-05-15,WUMB,0.21,AlcoholTobacco
2008 MAY,2008-05-15,WUMC,-0.41,ClothingFootwear
2008 MAY,2008-05-15,WUMD,0.73,HousingHouseService
2008 MAY,2008-05-15,WUMP,0.13,FurnitureHousehold
2008 MAY,2008-05-15,WUMQ,0.07,Health
2008 MAY,2008-05-15,WUMW,0.94,Transport
2008 MAY,2008-05-15,WUMX,-0.06,Communication
2008 MAY,2008-05-15,WUNC,-0.12,RecreationCulture
2008 MAY,2008-05-15,WUND,0.23,Education
2008 MAY,2008-05-15,WUNE,0.54,RestaurantsHotels
2008 MAY,2008-05-15,WUNG,0.26,Misc
2008 NOV,2008-11-15,WUMA,1.15,Food
2008 NOV,2008-11-15,WUMB,0.17,AlcoholTobacco
2008 NOV,2008-11-15,WUMC,-0.46,ClothingFootwear
2008 NOV,2008-11-15,WUMD,1.69,HousingHouseService
2008 NOV,2008-11-15,WUMP,0.22,FurnitureHousehold
2008 NOV,2008-11-15,WUMQ,0.08,Health
2008 NOV,2008-11-15,WUMW,0.21,Transport
2008 NOV,2008-11-15,WUMX,-0.04,Communication
2008 NOV,2008-11-15,WUNC,0.0,RecreationCulture
2008 NOV,2008-11-15,WUND,0.16,Education
2008 NOV,2008-11-15,WUNE,0.57,RestaurantsHotels
2008 NOV,2008-11-15,WUNG,0.33,Misc
2008 OCT,2008-10-15,WUMA,1.08,Food
2008 OCT,2008-10-15,WUMB,0.18,AlcoholTobacco
2008 OCT,2008-10-15,WUMC,-0.43,ClothingFootwear
2008 OCT,2008-10-15,WUMD,1.73,HousingHouseService
2008 OCT,2008-10-15,WUMP,0.22,FurnitureHousehold
2008 OCT,2008-10-15,WUMQ,0.06,Health
2008 OCT,2008-10-15,WUMW,0.66,Transport
2008 OCT,2008-10-15,WUMX,-0.05,Communication
2008 OCT,2008-10-15,WUNC,-0.04,RecreationCulture
2008 OCT,2008-10-15,WUND,0.16,Education
2008 OCT,2008-10-15,WUNE,0.58,RestaurantsHotels
2008 OCT,2008-10-15,WUNG,0.3,Misc
2008 SEP,2008-09-15,WUMA,1.19,Food
2008 SEP,2008-09-15,WUMB,0.18,AlcoholTobacco
2008 SEP,2008-09-15,WUMC,-0.4,ClothingFootwear
2008 SEP,2008-09-15,WUMD,1.71,HousingHouseService
2008 SEP,2008-09-15,WUMP,0.21,FurnitureHousehold
2008 SEP,2008-09-15,WUMQ,0.07,Health
2008 SEP,2008-09-15,WUMW,1.15,Transport
2008 SEP,2008-09-15,WUMX,-0.06,Communication
2008 SEP,2008-09-15,WUNC,0.03,RecreationCulture
2008 SEP,2008-09-15,WUND,0.2,Education
2008 SEP,2008-09-15,WUNE,0.59,RestaurantsHotels
2008 SEP,2008-09-15,WUNG,0.34,Misc
2009 APR,2009-04-15,WUMA,0.94,Food
2009 APR,2009-04-15,WUMB,0.13,AlcoholTobacco
2009 APR,2009-04-15,WUMC,-0.52,ClothingFootwear
2009 APR,2009-04-15,WUMD,0.73,HousingHouseService
2009 APR,2009-04-15,WUMP,0.24,FurnitureHousehold
2009 APR,2009-04-15,WUMQ,0.06,Health
2009 APR,2009-04-15,WUMW,-0.13,Transport
2009 APR,2009-04-15,WUMX,0.03,Communication
2009 APR,2009-04-15,WUNC,0.08,RecreationCulture
2009 APR,2009-04-15,WUND,0.16,Education
2009 APR,2009-04-15,WUNE,0.33,RestaurantsHotels
2009 APR,2009-04-15,WUNG,0.24,Misc
2009 AUG,2009-08-15,WUMA,0.25,Food
2009 AUG,2009-08-15,WUMB,0.18,AlcoholTobacco
2009 AUG,2009-08-15,WUMC,-0.48,ClothingFootwear
2009 AUG,2009-08-15,WUMD,0.39,HousingHouseService
2009 AUG,2009-08-15,WUMP,0.2,FurnitureHousehold
2009 AUG,2009-08-15,WUMQ,0.06,Health
2009 AUG,2009-08-15,WUMW,0.09,Transport
2009 AUG,2009-08-15,WUMX,0.03,Communication
2009 AUG,2009-08-15,WUNC,0.26,RecreationCulture
2009 AUG,2009-08-15,WUND,0.16,Education
2009 AUG,2009-08-15,WUNE,0.26,RestaurantsHotels
2009 AUG,2009-08-15,WUNG,0.2,Misc
2009 DEC,2009-12-15,WUMA,0.19,Food
2009 DEC,2009-12-15,WUMB,0.19,AlcoholTobacco
2009 DEC,2009-12-15,WUMC,-0.2,ClothingFootwear
2009 DEC,2009-12-15,WUMD,-0.1,HousingHouseService
2009 DEC,2009-12-15,WUMP,0.37,FurnitureHousehold
2009 DEC,2009-12-15,WUMQ,0.07,Health
2009 DEC,2009-12-15,WUMW,1.34,Transport
2009 DEC,2009-12-15,WUMX,0.09,Communication
2009 DEC,2009-12-15,WUNC,0.43,RecreationCulture
2009 DEC,2009-12-15,WUND,0.11,Education
2009 DEC,2009-12-15,WUNE,0.23,RestaurantsHotels
2009 DEC,2009-12-15,WUNG,0.18,Misc
2009 FEB,2009-02-15,WUMA,1.25,Food
2009 FEB,2009-02-15,WUMB,0.24,AlcoholTobacco
2009 FEB,2009-02-15,WUMC,-0.58,ClothingFootwear
2009 FEB,2009-02-15,WUMD,1.18,HousingHouseService
2009 FEB,2009-02-15,WUMP,0.22,FurnitureHousehold
2009 FEB,2009-02-15,WUMQ,0.05,Health
2009 FEB,2009-02-15,WUMW,-0.22,Transport
2009 FEB,2009-02-15,WUMX,-0.01,Communication
2009 FEB,2009-02-15,WUNC,0.05,RecreationCulture
2009 FEB,2009-02-15,WUND,0.16,Education
2009 FEB,2009-02-15,WUNE,0.49,RestaurantsHotels
2009 FEB,2009-02-15,WUNG,0.32,Misc
2009 JAN,2009-01-15,WUMA,1.11,Food
2009 JAN,2009-01-15,WUMB,0.23,AlcoholTobacco
2009 JAN,2009-01-15,WUMC,-0.63,ClothingFootwear
2009 JAN,2009-01-15,WUMD,1.57,HousingHouseService
2009 JAN,2009-01-15,WUMP,0.15,FurnitureHousehold
2009 JAN,2009-01-15,WUMQ,0.05,Health
2009 JAN,2009-01-15,WUMW,-0.3,Transport
2009 JAN,2009-01-15,WUMX,-0.05,Communication
2009 JAN,2009-01-15,WUNC,-0.08,RecreationCulture
2009 JAN,2009-01-15,WUND,0.16,Education
2009 JAN,2009-01-15,WUNE,0.5,RestaurantsHotels
2009 JAN,2009-01-15,WUNG,0.3,Misc
2009 JUL,2009-07-15,WUMA,0.46,Food
2009 JUL,2009-07-15,WUMB,0.18,AlcoholTobacco
2009 JUL,2009-07-15,WUMC,-0.48,ClothingFootwear
2009 JUL,2009-07-15,WUMD,0.62,HousingHouseService
2009 JUL,2009-07-15,WUMP,0.16,FurnitureHousehold
2009 JUL,2009-07-15,WUMQ,0.06,Health
2009 JUL,2009-07-15,WUMW,-0.18,Transport
2009 JUL,2009-07-15,WUMX,0.04,Communication
2009 JUL,2009-07-15,WUNC,0.29,RecreationCulture
2009 JUL,2009-07-15,WUND,0.16,Education
2009 JUL,2009-07-15,WUNE,0.26,RestaurantsHotels
2009 JUL,2009-07-15,WUNG,0.2,Misc
2009 JUN,2009-06-15,WUMA,0.6,Food
2009 JUN,2009-06-15,WUMB,0.15,AlcoholTobacco
2009 JUN,2009-06-15,WUMC,-0.49,ClothingFootwear
2009 JUN,2009-06-15,WUMD,0.65,HousingHouseService
2009 JUN,2009-06-15,WUMP,0.13,FurnitureHousehold
2009 JUN,2009-06-15,WUMQ,0.06,Health
2009 JUN,2009-06-15,WUMW,-0.17,Transport
2009 JUN,2009-06-15,WUMX,0.02,Communication
2009 JUN,2009-06-15,WUNC,0.17,RecreationCulture
2009 JUN,2009-06-15,WUND,0.16,Education
2009 JUN,2009-06-15,WUNE,0.31,RestaurantsHotels
2009 JUN,2009-06-15,WUNG,0.2,Misc
2009 MAR,2009-03-15,WUMA,1.14,Food
2009 MAR,2009-03-15,WUMB,0.26,AlcoholTobacco
2009 MAR,2009-03-15,WUMC,-0.54,ClothingFootwear
2009 MAR,2009-03-15,WUMD,1.01,HousingHouseService
2009 MAR,2009-03-15,WUMP,0.23,FurnitureHousehold
2009 MAR,2009-03-15,WUMQ,0.05,Health
2009 MAR,2009-03-15,WUMW,-0.31,Transport
2009 MAR,2009-03-15,WUMX,-0.02,Communication
2009 MAR,2009-03-15,WUNC,0.12,RecreationCulture
2009 MAR,2009-03-15,WUND,0.16,Education
2009 MAR,2009-03-15,WUNE,0.46,RestaurantsHotels
2009 MAR,2009-03-15,WUNG,0.3,Misc
2009 MAY,2009-05-15,WUMA,0.86,Food
2009 MAY,2009-05-15,WUMB,0.18,AlcoholTobacco
2009 MAY,2009-05-15,WUMC,-0.49,ClothingFootwear
2009 MAY,2009-05-15,WUMD,0.66,HousingHouseService
2009 MAY,2009-05-15,WUMP,0.22,FurnitureHousehold
2009 MAY,2009-05-15,WUMQ,0.06,Health
2009 MAY,2009-05-15,WUMW,-0.14,Transport
2009 MAY,2009-05-15,WUMX,0.03,Communication
2009 MAY,2009-05-15,WUNC,0.12,RecreationCulture
2009 MAY,2009-05-15,WUND,0.16,Education
2009 MAY,2009-05-15,WUNE,0.33,RestaurantsHotels
2009 MAY,2009-05-15,WUNG,0.22,Misc
2009 NOV,2009-11-15,WUMA,0.15,Food
2009 NOV,2009-11-15,WUMB,0.19,AlcoholTobacco
2009 NOV,2009-11-15,WUMC,-0.37,ClothingFootwear
2009 NOV,2009-11-15,WUMD,-0.15,HousingHouseService
2009 NOV,2009-11-15,WUMP,0.24,FurnitureHousehold
2009 NOV,2009-11-15,WUMQ,0.06,Health
2009 NOV,2009-11-15,WUMW,1.05,Transport
2009 NOV,2009-11-15,WUMX,0.04,Communication
2009 NOV,2009-11-15,WUNC,0.29,RecreationCulture
2009 NOV,2009-11-15,WUND,0.11,Education
2009 NOV,2009-11-15,WUNE,0.2,RestaurantsHotels
2009 NOV,2009-11-15,WUNG,0.1,Misc
2009 OCT,2009-10-15,WUMA,0.25,Food
2009 OCT,2009-10-15,WUMB,0.19,AlcoholTobacco
2009 OCT,2009-10-15,WUMC,-0.4,ClothingFootwear
2009 OCT,2009-10-15,WUMD,-0.17,HousingHouseService
2009 OCT,2009-10-15,WUMP,0.22,FurnitureHousehold
2009 OCT,2009-10-15,WUMQ,0.08,Health
2009 OCT,2009-10-15,WUMW,0.56,Transport
2009 OCT,2009-10-15,WUMX,0.06,Communication
2009 OCT,2009-10-15,WUNC,0.29,RecreationCulture
2009 OCT,2009-10-15,WUND,0.11,Education
2009 OCT,2009-10-15,WUNE,0.2,RestaurantsHotels
2009 OCT,2009-10-15,WUNG,0.13,Misc
2009 SEP,2009-09-15,WUMA,0.17,Food
2009 SEP,2009-09-15,WUMB,0.19,AlcoholTobacco
2009 SEP,2009-09-15,WUMC,-0.41,ClothingFootwear
2009 SEP,2009-09-15,WUMD,-0.14,HousingHouseService
2009 SEP,2009-09-15,WUMP,0.2,FurnitureHousehold
2009 SEP,2009-09-15,WUMQ,0.07,Health
2009 SEP,2009-09-15,WUMW,0.22,Transport
2009 SEP,2009-09-15,WUMX,0.03,Communication
2009 SEP,2009-09-15,WUNC,0.21,RecreationCulture
2009 SEP,2009-09-15,WUND,0.15,Education
2009 SEP,2009-09-15,WUNE,0.2,RestaurantsHotels
2009 SEP,2009-09-15,WUNG,0.2,Misc
2010 APR,2010-04-15,WUMA,0.32,Food
2010 APR,2010-04-15,WUMB,0.28,AlcoholTobacco
2010 APR,2010-04-15,WUMC,-0.02,ClothingFootwear
2010 APR,2010-04-15,WUMD,0.02,HousingHouseService
2010 APR,2010-04-15,WUMP,0.18,FurnitureHousehold
2010 APR,2010-04-15,WUMQ,0.06,Health
2010 APR,2010-04-15,WUMW,1.69,Transport
2010 APR,2010-04-15,WUMX,0.14,Communication
2010 APR,2010-04-15,WUNC,0.36,RecreationCulture
2010 APR,2010-04-15,WUND,0.11,Education
2010 APR,2010-04-15,WUNE,0.37,RestaurantsHotels
2010 APR,2010-04-15,WUNG,0.22,Misc
2010 AUG,2010-08-15,WUMA,0.45,Food
2010 AUG,2010-08-15,WUMB,0.18,AlcoholTobacco
2010 AUG,2010-08-15,WUMC,-0.09,ClothingFootwear
2010 AUG,2010-08-15,WUMD,0.04,HousingHouseService
2010 AUG,2010-08-15,WUMP,0.2,FurnitureHousehold
2010 AUG,2010-08-15,WUMQ,0.06,Health
2010 AUG,2010-08-15,WUMW,1.22,Transport
2010 AUG,2010-08-15,WUMX,0.14,Communication
2010 AUG,2010-08-15,WUNC,0.2,RecreationCulture
2010 AUG,2010-08-15,WUND,0.11,Education
2010 AUG,2010-08-15,WUNE,0.37,RestaurantsHotels
2010 AUG,2010-08-15,WUNG,0.24,Misc
2010 DEC,2010-12-15,WUMA,0.66,Food
2010 DEC,2010-12-15,WUMB,0.23,AlcoholTobacco
2010 DEC,2010-12-15,WUMC,0.11,ClothingFootwear
2010 DEC,2010-12-15,WUMD,0.25,HousingHouseService
2010 DEC,2010-12-15,WUMP,0.17,FurnitureHousehold
2010 DEC,2010-12-15,WUMQ,0.07,Health
2010 DEC,2010-12-15,WUMW,1.07,Transport
2010 DEC,2010-12-15,WUMX,0.09,Communication
2010 DEC,2010-12-15,WUNC,0.23,RecreationCulture
2010 DEC,2010-12-15,WUND,0.1,Education
2010 DEC,2010-12-15,WUNE,0.44,RestaurantsHotels
2010 DEC,2010-12-15,WUNG,0.28,Misc
2010 FEB,2010-02-15,WUMA,0.15,Food
2010 FEB,2010-02-15,WUMB,0.18,AlcoholTobacco
2010 FEB,2010-02-15,WUMC,-0.18,ClothingFootwear
2010 FEB,2010-02-15,WUMD,-0.13,HousingHouseService
2010 FEB,2010-02-15,WUMP,0.26,FurnitureHousehold
2010 FEB,2010-02-15,WUMQ,0.07,Health
2010 FEB,2010-02-15,WUMW,1.6,Transport
2010 FEB,2010-02-15,WUMX,0.11,Communication
2010 FEB,2010-02-15,WUNC,0.35,RecreationCulture
2010 FEB,2010-02-15,WUND,0.11,Education
2010 FEB,2010-02-15,WUNE,0.3,RestaurantsHotels
2010 FEB,2010-02-15,WUNG,0.15,Misc
2010 JAN,2010-01-15,WUMA,0.22,Food
2010 JAN,2010-01-15,WUMB,0.26,AlcoholTobacco
2010 JAN,2010-01-15,WUMC,-0.26,ClothingFootwear
2010 JAN,2010-01-15,WUMD,-0.04,HousingHouseService
2010 JAN,2010-01-15,WUMP,0.35,FurnitureHousehold
2010 JAN,2010-01-15,WUMQ,0.08,Health
2010 JAN,2010-01-15,WUMW,1.66,Transport
2010 JAN,2010-01-15,WUMX,0.1,Communication
2010 JAN,2010-01-15,WUNC,0.52,RecreationCulture
2010 JAN,2010-01-15,WUND,0.11,Education
2010 JAN,2010-01-15,WUNE,0.28,RestaurantsHotels
