outs,step1s,step2s,step3s,lookup-nonvisual,step5s,lookup-visual,step7s,compositional-nonvisual,step9s,compositional-visual,open-ended,dnames
"Step 1. Decision: The decision that can be made by analyzing this chart is to understand the racial distribution in a certain context (the context is not specified in the given Vega-Lite spec).
Step 2. Conclusion: A possible conclusion that can be reached from this decision is identifying which race has the highest percentage.
Step 3. Specific Value: The specific value that can be retrieved to reach this conclusion is the highest percentage among all races.
Step 4. Lookup Question: What is the highest percentage among all races?
Step 5. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars.
Step 6. Paraphrased Question: Which bar is the longest among all the bars representing different races?
Step 7. Operations: The mathematical operation to reach the conclusion in Step 2 is max.
Step 8. Compositional Question: Which race has the maximum percentage?
Step 9. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars and the labels on the y-axis.
Step 10. Paraphrased Question: Which bar is the longest and what race does it represent?
Step 11. Open-ended Question: How does the racial distribution represented in the chart reflect on the context it is representing?",The decision that can be made by analyzing this chart is to understand the racial distribution in a certain context (the context is not specified in the given Vega-Lite spec).,A possible conclusion that can be reached from this decision is identifying which race has the highest percentage.,The specific value that can be retrieved to reach this conclusion is the highest percentage among all races.,What is the highest percentage among all races?,The visual attributes required to paraphrase this question are the length of the bars.,Which bar is the longest among all the bars representing different races?,The mathematical operation to reach the conclusion in Step 2 is max.,Which race has the maximum percentage?,The visual attributes required to paraphrase this question are the length of the bars and the labels on the y-axis.,Which bar is the longest and what race does it represent?,How does the racial distribution represented in the chart reflect on the context it is representing?,kong|kong_55
"Step 1. Decision: The decision to be made could be determining the most common response to a particular statement.
Step 2. Conclusion: The conclusion could be that the most common response to the statement is ""Agree"" (for example).
Step 3. Specific Value: The specific value could be the percentage of respondents who chose ""Agree"" for a particular statement.
Step 4. Lookup Question: What is the percentage of respondents who chose ""Agree"" for the statement ""I feel safe in my neighborhood""?
Step 5. Visual Attributes: The visual attributes required are the length of the bar and the color of the bar.
Step 6. Paraphrased Question: What is the length of the bar representing the percentage of respondents who chose ""Agree"" for the statement ""I feel safe in my neighborhood""?
Step 7. Operations: The operations required could be finding the maximum percentage among all responses.
Step 8. Compositional Question: What is the maximum percentage among all responses to the statement ""I feel safe in my neighborhood""?
Step 9. Visual Attributes: The visual attributes required are the length of the bars.
Step 10. Paraphrased Question: Which bar representing a response to the statement ""I feel safe in my neighborhood"" is the longest?
Step 11. Open-ended Question: What can be inferred about the safety perception of the respondents based on their responses to the statement ""I feel safe in my neighborhood""?",The decision to be made could be determining the most common response to a particular statement.,"The conclusion could be that the most common response to the statement is ""Agree"" (for example).","The specific value could be the percentage of respondents who chose ""Agree"" for a particular statement.","What is the percentage of respondents who chose ""Agree"" for the statement ""I feel safe in my neighborhood""?",The visual attributes required are the length of the bar and the color of the bar.,"What is the length of the bar representing the percentage of respondents who chose ""Agree"" for the statement ""I feel safe in my neighborhood""?",The operations required could be finding the maximum percentage among all responses.,"What is the maximum percentage among all responses to the statement ""I feel safe in my neighborhood""?",The visual attributes required are the length of the bars.,"Which bar representing a response to the statement ""I feel safe in my neighborhood"" is the longest?","What can be inferred about the safety perception of the respondents based on their responses to the statement ""I feel safe in my neighborhood""?",kong|kong_65
"Step 1. Decision: The decision to be made could be determining which administration had the highest percentage in a certain category.
Step 2. Conclusion: The administration with the highest percentage in a certain category is the most effective in that area.
Step 3. Specific Value: The specific value would be the highest percentage in a certain category for a particular administration.
Step 4. Lookup Question: What is the highest percentage in a certain category for a particular administration?
Step 5. Visual Attributes: The visual attributes required would be the height of the bar (representing the percentage) and the color of the bar (representing the category).
Step 6. Paraphrased Question: Which bar, representing a certain category, is the tallest for a particular administration?
Step 7. Operations: The operation required would be finding the maximum value.
Step 8. Compositional Question: What is the maximum percentage across all categories for each administration?
Step 9. Visual Attributes: The visual attributes required would be the height of the bars (representing the percentages) and the color of the bars (representing the categories).
Step 10. Paraphrased Question: Which bar, representing a category, is the tallest for each administration?
Step 11. Open-ended Question: How does the effectiveness of each administration compare across different categories?",The decision to be made could be determining which administration had the highest percentage in a certain category.,The administration with the highest percentage in a certain category is the most effective in that area.,The specific value would be the highest percentage in a certain category for a particular administration.,What is the highest percentage in a certain category for a particular administration?,The visual attributes required would be the height of the bar (representing the percentage) and the color of the bar (representing the category).,"Which bar, representing a certain category, is the tallest for a particular administration?",The operation required would be finding the maximum value.,What is the maximum percentage across all categories for each administration?,The visual attributes required would be the height of the bars (representing the percentages) and the color of the bars (representing the categories).,"Which bar, representing a category, is the tallest for each administration?",How does the effectiveness of each administration compare across different categories?,kong|kong_68
"Step 1. Decision: The decision that can be made by analyzing this chart is to identify the income rank that has experienced the highest percentage change in income.
Step 2. Conclusion: The income rank that has experienced the highest percentage change in income is the one with the longest bar in the chart.
Step 3. Specific Value: The specific value that can be retrieved to reach this conclusion is the income rank associated with the highest % change in income.
Step 4. Lookup Question: What is the income rank associated with the highest % change in income?
Step 5. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars.
Step 6. Paraphrased Question: Which bar is the longest in the chart?
Step 7. Operations: The mathematical operation to reach the conclusion in Step 2 is max.
Step 8. Compositional Question: What is the maximum % change in income and which income rank does it correspond to?
Step 9. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars and the labels on the y-axis.
Step 10. Paraphrased Question: Which bar is the longest and what is the corresponding label on the y-axis?
Step 11. Open-ended Question: What can be inferred about the income distribution based on the income rank that has experienced the highest % change in income?",The decision that can be made by analyzing this chart is to identify the income rank that has experienced the highest percentage change in income.,The income rank that has experienced the highest percentage change in income is the one with the longest bar in the chart.,The specific value that can be retrieved to reach this conclusion is the income rank associated with the highest % change in income.,What is the income rank associated with the highest % change in income?,The visual attributes required to paraphrase this question are the length of the bars.,Which bar is the longest in the chart?,The mathematical operation to reach the conclusion in Step 2 is max.,What is the maximum % change in income and which income rank does it correspond to?,The visual attributes required to paraphrase this question are the length of the bars and the labels on the y-axis.,Which bar is the longest and what is the corresponding label on the y-axis?,What can be inferred about the income distribution based on the income rank that has experienced the highest % change in income?,kong|kong_69
"Step 1. Decision: The decision could be to determine the level of agreement on a certain topic or issue.
Step 2. Conclusion: The conclusion could be that the majority of people agree or disagree on the topic or issue.
Step 3. Specific Value: The specific value could be the percentage of people who agree.
Step 4. Lookup Question: What is the percentage of people who agree?
Step 5. Visual Attributes: The length of the bar represents the percentage of people who agree.
Step 6. Paraphrased Question: How long is the bar representing the people who agree?
Step 7. Operations: The operation could be to find the maximum value to determine the highest percentage of agreement.
Step 8. Compositional Question: What is the maximum percentage of agreement?
Step 9. Visual Attributes: The length of the bar represents the percentage of agreement.
Step 10. Paraphrased Question: Which bar is the longest, representing the highest percentage of agreement?
Step 11. Open-ended Question: What can be inferred about public opinion based on the highest percentage of agreement?",The decision could be to determine the level of agreement on a certain topic or issue.,The conclusion could be that the majority of people agree or disagree on the topic or issue.,The specific value could be the percentage of people who agree.,What is the percentage of people who agree?,The length of the bar represents the percentage of people who agree.,How long is the bar representing the people who agree?,The operation could be to find the maximum value to determine the highest percentage of agreement.,What is the maximum percentage of agreement?,The length of the bar represents the percentage of agreement.,"Which bar is the longest, representing the highest percentage of agreement?",What can be inferred about public opinion based on the highest percentage of agreement?,kong|kong_70
"Step 1. Decision: The decision to be made could be understanding the gender distribution across different age groups.
Step 2. Conclusion: A possible conclusion could be that a certain age group has a higher percentage of a particular gender.
Step 3. Specific Value: The specific value could be the percentage of a particular gender in a specific age group.
Step 4. Lookup Question: What is the percentage of males in the 20-30 age group?
Step 5. Visual Attributes: The visual attributes required are the color of the bar (representing gender) and the height of the bar (representing the percentage).
Step 6. Paraphrased Question: What is the height of the blue bar in the column labeled 20-30?
Step 7. Operations: The operations required could be comparison (to compare the percentages of different genders in the same age group) and maximum (to find the age group with the highest percentage of a particular gender).
Step 8. Compositional Question: Which age group has the highest percentage of females?
Step 9. Visual Attributes: The visual attributes required are the color of the bar (representing gender) and the height of the bar (representing the percentage).
Step 10. Paraphrased Question: In which column is the height of the red bar the highest?
Step 11. Open-ended Question: How does the gender distribution vary across different age groups?",The decision to be made could be understanding the gender distribution across different age groups.,A possible conclusion could be that a certain age group has a higher percentage of a particular gender.,The specific value could be the percentage of a particular gender in a specific age group.,What is the percentage of males in the 20-30 age group?,The visual attributes required are the color of the bar (representing gender) and the height of the bar (representing the percentage).,What is the height of the blue bar in the column labeled 20-30?,The operations required could be comparison (to compare the percentages of different genders in the same age group) and maximum (to find the age group with the highest percentage of a particular gender).,Which age group has the highest percentage of females?,The visual attributes required are the color of the bar (representing gender) and the height of the bar (representing the percentage).,In which column is the height of the red bar the highest?,How does the gender distribution vary across different age groups?,kong|kong_71
"Step 1. Decision: The decision to be made could be understanding the distribution of a certain characteristic (like a disease, a preference, etc.) across different age groups and genders.
Step 2. Conclusion: A possible conclusion could be that a certain age group and gender has the highest percentage of the characteristic.
Step 3. Specific Value: The specific value could be the percentage of the characteristic for a certain age group and gender.
Step 4. Lookup Question: What is the percentage of the characteristic for males in the 30-40 age group?
Step 5. Visual Attributes: The visual attributes required are the height of the bar corresponding to the ""Male"" category in the ""30-40"" age group column.
Step 6. Paraphrased Question: How high is the bar for males in the 30-40 age group column?
Step 7. Operations: The operations required could be finding the maximum value across all age groups and genders.
Step 8. Compositional Question: Which age group and gender has the highest percentage of the characteristic?
Step 9. Visual Attributes: The visual attributes required are the heights of all the bars in the chart.
Step 10. Paraphrased Question: Which bar in the chart is the tallest?
Step 11. Open-ended Question: What could be the reasons for the highest percentage of the characteristic in the identified age group and gender?","The decision to be made could be understanding the distribution of a certain characteristic (like a disease, a preference, etc.) across different age groups and genders.",A possible conclusion could be that a certain age group and gender has the highest percentage of the characteristic.,The specific value could be the percentage of the characteristic for a certain age group and gender.,What is the percentage of the characteristic for males in the 30-40 age group?,"The visual attributes required are the height of the bar corresponding to the ""Male"" category in the ""30-40"" age group column.",How high is the bar for males in the 30-40 age group column?,The operations required could be finding the maximum value across all age groups and genders.,Which age group and gender has the highest percentage of the characteristic?,The visual attributes required are the heights of all the bars in the chart.,Which bar in the chart is the tallest?,What could be the reasons for the highest percentage of the characteristic in the identified age group and gender?,kong|kong_73
"Step 1. Decision: The decision to be made could be determining which country has received the most donations.
Step 2. Conclusion: The country with the highest amount of donations is the most supported.
Step 3. Specific Value: The specific value would be the highest donation amount and the corresponding country.
Step 4. Lookup Question: Which country has the highest amount of donations?
Step 5. Visual Attributes: The length of the bar represents the amount of donations.
Step 6. Paraphrased Question: Which country's bar is the longest in the chart?
Step 7. Operations: The operation would be finding the maximum value of the donations.
Step 8. Compositional Question: What is the difference between the country with the highest donations and the country with the lowest donations?
Step 9. Visual Attributes: The length of the bars represents the amount of donations.
Step 10. Paraphrased Question: What is the difference in length between the longest and shortest bars in the chart?
Step 11. Open-ended Question: How does the amount of donations received by each country compare and what could be the possible reasons for this disparity?",The decision to be made could be determining which country has received the most donations.,The country with the highest amount of donations is the most supported.,The specific value would be the highest donation amount and the corresponding country.,Which country has the highest amount of donations?,The length of the bar represents the amount of donations.,Which country's bar is the longest in the chart?,The operation would be finding the maximum value of the donations.,What is the difference between the country with the highest donations and the country with the lowest donations?,The length of the bars represents the amount of donations.,What is the difference in length between the longest and shortest bars in the chart?,How does the amount of donations received by each country compare and what could be the possible reasons for this disparity?,kong|kong_74
"Step 1. Decision: The decision to be made could be determining which country has the highest generous donations by GDP.
Step 2. Conclusion: The country with the highest generous donations by GDP is the most generous country.
Step 3. Specific Value: The specific value would be the highest value of ""Generous donations by GDP"".
Step 4. Lookup Question: Which country has the highest value of ""Generous donations by GDP""?
Step 5. Visual Attributes: The visual attributes required would be the length of the bar.
Step 6. Paraphrased Question: Which country's bar extends the furthest along the x-axis?
Step 7. Operations: The operation required would be ""max"" to find the highest value of ""Generous donations by GDP"".
Step 8. Compositional Question: What is the maximum value of ""Generous donations by GDP"" and which country does it belong to?
Step 9. Visual Attributes: The visual attributes required would be the length of the bar and the corresponding country on the y-axis.
Step 10. Paraphrased Question: Which country's bar extends the furthest along the x-axis and what is the corresponding country?
Step 11. Open-ended Question: What conclusions can be drawn about the generosity of different countries based on their GDP?",The decision to be made could be determining which country has the highest generous donations by GDP.,The country with the highest generous donations by GDP is the most generous country.,"The specific value would be the highest value of ""Generous donations by GDP"".","Which country has the highest value of ""Generous donations by GDP""?",The visual attributes required would be the length of the bar.,Which country's bar extends the furthest along the x-axis?,"The operation required would be ""max"" to find the highest value of ""Generous donations by GDP"".","What is the maximum value of ""Generous donations by GDP"" and which country does it belong to?",The visual attributes required would be the length of the bar and the corresponding country on the y-axis.,Which country's bar extends the furthest along the x-axis and what is the corresponding country?,What conclusions can be drawn about the generosity of different countries based on their GDP?,kong|kong_75
"Step 1. Decision: The decision to be made could be determining which country receives the most total funds.
Step 2. Conclusion: The country that receives the most total funds is X.
Step 3. Specific Value: The total funds received by each country.
Step 4. Lookup Question: What is the total amount of funds received by country X?
Step 5. Visual Attributes: The length of the bar corresponding to country X.
Step 6. Paraphrased Question: How long is the bar corresponding to country X?
Step 7. Operations: The operation would be finding the maximum value of total funds.
Step 8. Compositional Question: Which country has the maximum total funds received?
Step 9. Visual Attributes: The length of the bars.
Step 10. Paraphrased Question: Which bar is the longest?
Step 11. Open-ended Question: What could be the reason for country X receiving the most total funds?",The decision to be made could be determining which country receives the most total funds.,The country that receives the most total funds is X.,The total funds received by each country.,What is the total amount of funds received by country X?,The length of the bar corresponding to country X.,How long is the bar corresponding to country X?,The operation would be finding the maximum value of total funds.,Which country has the maximum total funds received?,The length of the bars.,Which bar is the longest?,What could be the reason for country X receiving the most total funds?,kong|kong_76
"Step 1. Decision: The decision could be to identify the population group with the highest percentage.
Step 2. Conclusion: The population group with the highest percentage could be the most dominant or prevalent group.
Step 3. Specific Value: The specific value would be the highest percentage value.
Step 4. Lookup Question: What is the highest percentage value in the dataset?
Step 5. Visual Attributes: The length of the bar represents the percentage value.
Step 6. Paraphrased Question: Which bar is the longest in the chart?
Step 7. Operations: The operation would be to find the maximum value.
Step 8. Compositional Question: Which population group has the maximum percentage value?
Step 9. Visual Attributes: The length of the bar represents the percentage value and the label on the y-axis represents the population group.
Step 10. Paraphrased Question: Which bar is the longest and what is the corresponding population group on the y-axis?
Step 11. Open-ended Question: What implications could the dominance of the population group with the highest percentage have on the overall population dynamics?",The decision could be to identify the population group with the highest percentage.,The population group with the highest percentage could be the most dominant or prevalent group.,The specific value would be the highest percentage value.,What is the highest percentage value in the dataset?,The length of the bar represents the percentage value.,Which bar is the longest in the chart?,The operation would be to find the maximum value.,Which population group has the maximum percentage value?,The length of the bar represents the percentage value and the label on the y-axis represents the population group.,Which bar is the longest and what is the corresponding population group on the y-axis?,What implications could the dominance of the population group with the highest percentage have on the overall population dynamics?,kong|kong_77
"Step 1. Decision: The decision that can be made by analyzing this chart is to understand the age distribution of the US population in the year 2000.
Step 2. Conclusion: A possible conclusion that can be reached from this decision is identifying the age group with the highest population in the year 2000.
Step 3. Specific Value: The specific value that can be retrieved to reach this conclusion is the age group with the highest population.
Step 4. Lookup Question: What is the age group with the highest population in the year 2000?
Step 5. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars.
Step 6. Paraphrased Question: Which bar represents the age group with the highest population in the year 2000?
Step 7. Operations: The mathematical operation to reach the conclusion in Step 2 is max.
Step 8. Compositional Question: What is the difference in population between the age group with the highest population and the age group with the lowest population in the year 2000?
Step 9. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars.
Step 10. Paraphrased Question: What is the difference in length between the longest bar and the shortest bar, representing the age groups with the highest and lowest populations respectively in the year 2000?
Step 11. Open-ended Question: How does the population distribution across different age groups in the year 2000 reflect the demographic structure of the US?",The decision that can be made by analyzing this chart is to understand the age distribution of the US population in the year 2000.,A possible conclusion that can be reached from this decision is identifying the age group with the highest population in the year 2000.,The specific value that can be retrieved to reach this conclusion is the age group with the highest population.,What is the age group with the highest population in the year 2000?,The visual attributes required to paraphrase this question are the length of the bars.,Which bar represents the age group with the highest population in the year 2000?,The mathematical operation to reach the conclusion in Step 2 is max.,What is the difference in population between the age group with the highest population and the age group with the lowest population in the year 2000?,The visual attributes required to paraphrase this question are the length of the bars.,"What is the difference in length between the longest bar and the shortest bar, representing the age groups with the highest and lowest populations respectively in the year 2000?",How does the population distribution across different age groups in the year 2000 reflect the demographic structure of the US?,vega-lite-example-gallery|bar_aggregate
"Step 1. Decision: The decision to be made could be understanding the gender distribution across different age groups in the year 2000.
Step 2. Conclusion: A possible conclusion could be that there are more females than males in a certain age group in the year 2000.
Step 3. Specific Value: The specific value could be the number of females in the age group of 30-34.
Step 4. Lookup Question: What is the population of females in the age group of 30-34 in the year 2000?
Step 5. Visual Attributes: The visual attributes required are the height of the bar and the color of the bar.
Step 6. Paraphrased Question: How high is the pink bar for the age group of 30-34 in the year 2000?
Step 7. Operations: The operation required could be the sum of the population of males and females in the age group of 30-34.
Step 8. Compositional Question: What is the total population of both males and females in the age group of 30-34 in the year 2000?
Step 9. Visual Attributes: The visual attributes required are the height of the bars for both males and females in the age group of 30-34.
Step 10. Paraphrased Question: What is the combined height of the blue and pink bars for the age group of 30-34 in the year 2000?
Step 11. Open-ended Question: What does the gender distribution across different age groups tell us about the population in the year 2000?",The decision to be made could be understanding the gender distribution across different age groups in the year 2000.,A possible conclusion could be that there are more females than males in a certain age group in the year 2000.,The specific value could be the number of females in the age group of 30-34.,What is the population of females in the age group of 30-34 in the year 2000?,The visual attributes required are the height of the bar and the color of the bar.,How high is the pink bar for the age group of 30-34 in the year 2000?,The operation required could be the sum of the population of males and females in the age group of 30-34.,What is the total population of both males and females in the age group of 30-34 in the year 2000?,The visual attributes required are the height of the bars for both males and females in the age group of 30-34.,What is the combined height of the blue and pink bars for the age group of 30-34 in the year 2000?,What does the gender distribution across different age groups tell us about the population in the year 2000?,vega-lite-example-gallery|bar_grouped
"Step 1. Decision: The decision to invest in Google's stock.
Step 2. Conclusion: Google's stock price has been increasing over time.
Step 3. Specific Value: The price of Google's stock at a specific date.
Step 4. Lookup Question: What was the price of Google's stock on a specific date?
Step 5. Visual Attributes: The position on the y-axis represents the price of the stock, and the position on the x-axis represents the date.
Step 6. Paraphrased Question: Where does the line representing Google's stock price intersect the y-axis on a specific date?
Step 7. Operations: Max and Min to find the highest and lowest price of the stock over time.
Step 8. Compositional Question: What is the difference between the highest and lowest price of Google's stock over time?
Step 9. Visual Attributes: The highest point on the line represents the maximum price, and the lowest point on the line represents the minimum price.
Step 10. Paraphrased Question: What is the vertical distance between the highest and lowest point on the line representing Google's stock price?
Step 11. Open-ended Question: How has the price of Google's stock changed over time and what could be the potential reasons for this change?",The decision to invest in Google's stock.,Google's stock price has been increasing over time.,The price of Google's stock at a specific date.,What was the price of Google's stock on a specific date?,"The position on the y-axis represents the price of the stock, and the position on the x-axis represents the date.",Where does the line representing Google's stock price intersect the y-axis on a specific date?,Max and Min to find the highest and lowest price of the stock over time.,What is the difference between the highest and lowest price of Google's stock over time?,"The highest point on the line represents the maximum price, and the lowest point on the line represents the minimum price.",What is the vertical distance between the highest and lowest point on the line representing Google's stock price?,How has the price of Google's stock changed over time and what could be the potential reasons for this change?,vega-lite-example-gallery|line
"Step 1. Decision: The decision to be made could be determining which variety of barley yields the highest total production across different sites.
Step 2. Conclusion: The variety of barley that has the highest total yield across all sites is the most productive.
Step 3. Specific Value: The total yield of each variety of barley.
Step 4. Lookup Question: What is the total yield of the Manchuria variety of barley?
Step 5. Visual Attributes: The length of the bar representing the Manchuria variety.
Step 6. Paraphrased Question: How long is the bar representing the Manchuria variety of barley?
Step 7. Operations: Summation of the yield of each variety across all sites.
Step 8. Compositional Question: What is the sum of the yields of the Manchuria and Glabron varieties of barley?
Step 9. Visual Attributes: The lengths of the bars representing the Manchuria and Glabron varieties.
Step 10. Paraphrased Question: What is the combined length of the bars representing the Manchuria and Glabron varieties of barley?
Step 11. Open-ended Question: Which variety of barley would be the most productive to grow across all sites?",The decision to be made could be determining which variety of barley yields the highest total production across different sites.,The variety of barley that has the highest total yield across all sites is the most productive.,The total yield of each variety of barley.,What is the total yield of the Manchuria variety of barley?,The length of the bar representing the Manchuria variety.,How long is the bar representing the Manchuria variety of barley?,Summation of the yield of each variety across all sites.,What is the sum of the yields of the Manchuria and Glabron varieties of barley?,The lengths of the bars representing the Manchuria and Glabron varieties.,What is the combined length of the bars representing the Manchuria and Glabron varieties of barley?,Which variety of barley would be the most productive to grow across all sites?,vega-lite-example-gallery|stacked_bar_h
"Step 1. Decision: The decision to be made could be determining the most common weather type in Seattle throughout the year.
Step 2. Conclusion: The most common weather type in Seattle throughout the year is rain.
Step 3. Specific Value: The count of 'rain' weather type.
Step 4. Lookup Question: What is the count of days with rain weather type?
Step 5. Visual Attributes: The height of the blue bar.
Step 6. Paraphrased Question: How high is the blue bar representing the rain weather type?
Step 7. Operations: Count and comparison.
Step 8. Compositional Question: Which weather type has the highest count of days?
Step 9. Visual Attributes: The height of the bars.
Step 10. Paraphrased Question: Which bar is the tallest in the chart?
Step 11. Open-ended Question: What does the height of the bars tell us about the weather patterns in Seattle throughout the year?",The decision to be made could be determining the most common weather type in Seattle throughout the year.,The most common weather type in Seattle throughout the year is rain.,The count of 'rain' weather type.,What is the count of days with rain weather type?,The height of the blue bar.,How high is the blue bar representing the rain weather type?,Count and comparison.,Which weather type has the highest count of days?,The height of the bars.,Which bar is the tallest in the chart?,What does the height of the bars tell us about the weather patterns in Seattle throughout the year?,vega-lite-example-gallery|stacked_bar_weather
"Step 1. Decision: The decision that can be made by analyzing this chart is to understand the trend of deaths over the years.
Step 2. Conclusion: A possible conclusion that can be reached from this decision is that the number of deaths has increased, decreased, or remained constant over the years.
Step 3. Specific Value: The specific value that can be retrieved to reach this conclusion is the number of deaths in a specific year.
Step 4. Lookup Question: What is the number of deaths in the year 2000?
Step 5. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bar and the x-axis (year).
Step 6. Paraphrased Question: How long is the bar representing the year 2000 on the x-axis?
Step 7. Operations: The mathematical operations to reach the conclusion in Step 2 are max and min to find the years with the highest and lowest number of deaths.
Step 8. Compositional Question: What are the years with the highest and lowest number of deaths?
Step 9. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars and the x-axis (year).
Step 10. Paraphrased Question: Which bars on the x-axis are the longest and shortest?
Step 11. Open-ended Question: How has the number of deaths changed over the years according to the chart?",The decision that can be made by analyzing this chart is to understand the trend of deaths over the years.,"A possible conclusion that can be reached from this decision is that the number of deaths has increased, decreased, or remained constant over the years.",The specific value that can be retrieved to reach this conclusion is the number of deaths in a specific year.,What is the number of deaths in the year 2000?,The visual attributes required to paraphrase this question are the length of the bar and the x-axis (year).,How long is the bar representing the year 2000 on the x-axis?,The mathematical operations to reach the conclusion in Step 2 are max and min to find the years with the highest and lowest number of deaths.,What are the years with the highest and lowest number of deaths?,The visual attributes required to paraphrase this question are the length of the bars and the x-axis (year).,Which bars on the x-axis are the longest and shortest?,How has the number of deaths changed over the years according to the chart?,wikitables-200|10_0
"Step 1. Decision: The decision to be made could be determining which service had the highest total cost in the year 2012/13.
Step 2. Conclusion: The service with the highest total cost in 2012/13 is the most expensive one.
Step 3. Specific Value: The total cost of the service with the highest cost in 2012/13.
Step 4. Lookup Question: What is the total cost of the service with the highest cost in 2012/13?
Step 5. Visual Attributes: The height of the bars.
Step 6. Paraphrased Question: Which bar is the tallest in the chart?
Step 7. Operations: The operation needed is max, to find the service with the maximum total cost.
Step 8. Compositional Question: Which service had the maximum total cost in 2012/13?
Step 9. Visual Attributes: The height of the bars.
Step 10. Paraphrased Question: Which bar is the tallest in the chart?
Step 11. Open-ended Question: What could be the reasons for the high cost of the service with the highest total cost in 2012/13?",The decision to be made could be determining which service had the highest total cost in the year 2012/13.,The service with the highest total cost in 2012/13 is the most expensive one.,The total cost of the service with the highest cost in 2012/13.,What is the total cost of the service with the highest cost in 2012/13?,The height of the bars.,Which bar is the tallest in the chart?,"The operation needed is max, to find the service with the maximum total cost.",Which service had the maximum total cost in 2012/13?,The height of the bars.,Which bar is the tallest in the chart?,What could be the reasons for the high cost of the service with the highest total cost in 2012/13?,wikitables-200|25_0
"Step 1. Decision: The decision to be made could be determining which political party has the most total voters.
Step 2. Conclusion: The party with the highest number of total voters is the most popular.
Step 3. Specific Value: The specific value would be the highest number of total voters.
Step 4. Lookup Question: Which party has the highest number of total voters?
Step 5. Visual Attributes: The length of the bar represents the number of total voters.
Step 6. Paraphrased Question: Which party's bar is the longest?
Step 7. Operations: The operation would be finding the maximum value of total voters.
Step 8. Compositional Question: What is the difference in total voters between the party with the most and the party with the least total voters?
Step 9. Visual Attributes: The length of the bars represents the number of total voters.
Step 10. Paraphrased Question: What is the difference in length between the longest and shortest bars?
Step 11. Open-ended Question: How does the popularity of the parties compare based on the number of total voters?",The decision to be made could be determining which political party has the most total voters.,The party with the highest number of total voters is the most popular.,The specific value would be the highest number of total voters.,Which party has the highest number of total voters?,The length of the bar represents the number of total voters.,Which party's bar is the longest?,The operation would be finding the maximum value of total voters.,What is the difference in total voters between the party with the most and the party with the least total voters?,The length of the bars represents the number of total voters.,What is the difference in length between the longest and shortest bars?,How does the popularity of the parties compare based on the number of total voters?,wikitables-200|28_0
"Step 1. Decision: The decision that can be made by analyzing this chart is to determine which district has the largest area size.
Step 2. Conclusion: The district with the largest area size is the one with the highest value on the y-axis.
Step 3. Specific Value: The specific value that can be retrieved to reach this conclusion is the highest value of 'Area Size (km²)'.
Step 4. Lookup Question: What is the district with the largest area size?
Step 5. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars.
Step 6. Paraphrased Question: Which district has the longest bar in the chart?
Step 7. Operations: The mathematical operation to reach the conclusion in Step 2 is 'max'.
Step 8. Compositional Question: What is the maximum area size among all districts?
Step 9. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars.
Step 10. Paraphrased Question: Which bar in the chart is the longest?
Step 11. Open-ended Question: What implications does the district with the largest area size have on the overall distribution of area sizes among districts?",The decision that can be made by analyzing this chart is to determine which district has the largest area size.,The district with the largest area size is the one with the highest value on the y-axis.,The specific value that can be retrieved to reach this conclusion is the highest value of 'Area Size (km²)'.,What is the district with the largest area size?,The visual attributes required to paraphrase this question are the length of the bars.,Which district has the longest bar in the chart?,The mathematical operation to reach the conclusion in Step 2 is 'max'.,What is the maximum area size among all districts?,The visual attributes required to paraphrase this question are the length of the bars.,Which bar in the chart is the longest?,What implications does the district with the largest area size have on the overall distribution of area sizes among districts?,wikitables-200|33_0
"Step 1. Decision: The decision that can be made by analyzing this chart is to determine which district has the highest population.
Step 2. Conclusion: The district with the longest bar in the chart has the highest population.
Step 3. Specific Value: The specific value that can be retrieved is the population of the district with the longest bar.
Step 4. Lookup Question: What is the population of the district with the highest population?
Step 5. Visual Attributes: The visual attributes required to paraphrase this question are the length of the bars.
Step 6. Paraphrased Question: Which bar is the longest in the chart?
Step 7. Operations: The operation to reach the conclusion is max, which is used to determine the highest population.
Step 8. Compositional Question: What is the difference in population between the district with the highest population and the district with the lowest population?
Step 9. Visual Attributes: The visual attributes required to paraphrase this question are the lengths of the bars.
Step 10. Paraphrased Question: What is the difference in length between the longest and shortest bars in the chart?
Step 11. Open-ended Question: How does the population of the district with the highest population compare to the other districts?",The decision that can be made by analyzing this chart is to determine which district has the highest population.,The district with the longest bar in the chart has the highest population.,The specific value that can be retrieved is the population of the district with the longest bar.,What is the population of the district with the highest population?,The visual attributes required to paraphrase this question are the length of the bars.,Which bar is the longest in the chart?,"The operation to reach the conclusion is max, which is used to determine the highest population.",What is the difference in population between the district with the highest population and the district with the lowest population?,The visual attributes required to paraphrase this question are the lengths of the bars.,What is the difference in length between the longest and shortest bars in the chart?,How does the population of the district with the highest population compare to the other districts?,wikitables-200|33_1
