sentences,axes,axes2,ptypes,scores,scores2,dnames
What's the maximum budget allocation for a specific category?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,1,3,kong|kong_50
What is the highest amount allocated for a specific budget category?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,2,2,kong|kong_50
What is the zenith of fiscal allocation for a specific budgetary classification?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,5,2,kong|kong_50
Could you inform me about the highest allocation for a specific budget category?,Colloquial-Standard,Subjective-Objective,lookup-nonvisual,4,2,kong|kong_50
Can you tell me the maximum allocation for a specific budget category?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,2,3,kong|kong_50
How much money do we have at most for a certain thing we need to spend on?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,1,1,kong|kong_50
"I reckon there's a country that tops the list in budget allocation for a specific category, isn't it?",Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,3,kong|kong_50
Which nation has the maximum fiscal allocation for a specific budgetary classification?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,4,kong|kong_50
Which country has the maximum fiscal allocation for a specific budgetary division?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,4,kong|kong_50
Which country has the highest budget allocation for a specific budget item?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,2,kong|kong_50
Which nation has the largest budget for a particular category?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,1,4,kong|kong_50
Which nation do you think has the highest monetary allocation for a specific fiscal category?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,5,kong|kong_50
Which country do you think allocates the most funds for a certain budget item?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,2,kong|kong_50
Can you figure out which country has the maximum fiscal allocation for a specific budgetary division?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,4,kong|kong_50
"How many Asians are there, you reckon?",Colloquial-Standard,Subjective-Objective,lookup-nonvisual,1,1,kong|kong_53
What is the demographic percentage of Asians?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,3,3,kong|kong_53
Can you infer which population segment is leading?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,4,kong|kong_53
Which population has the highest prevalence?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,3,kong|kong_53
"You're aware of the race that's topping the charts, right?",Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,2,3,kong|kong_53
Can you explicitly inform me which race is topping the charts?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,3,kong|kong_53
Can you ascertain which race has a higher proportion?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,4,kong|kong_53
Which category has the highest percentage?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,2,5,kong|kong_53
Any thoughts on which demographic is leading?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,3,kong|kong_53
What's the length of the bar representing the Asian population?,Non-technical-Technical,Implicit-Explicit,lookup-visual,3,3,kong|kong_53
Do you have the data on the percentage for Asians?,Colloquial-Standard,Subjective-Objective,lookup-nonvisual,5,3,kong|kong_54
I would like to know the demographic data for Asians.,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,3,5,kong|kong_54
Could you provide the statistical proportion of the Asian demographic in the population sample?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,5,3,kong|kong_54
What is the exact percentage of the Asian demographic?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,4,4,kong|kong_54
Could you tell me the specific percentage that represents the Asian population?,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,3,4,kong|kong_54
Which demographic is showing the highest prevalence?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,1,kong|kong_54
Which demographic has the highest percentage?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,3,kong|kong_54
"So, who's got the most numbers?",Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,2,kong|kong_54
Which group is demonstrating the highest incidence?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,2,kong|kong_54
Do you have any idea which race is the most populous?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,2,kong|kong_54
"The question we should ask is, which race has the highest percentage?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,4,kong|kong_54
"So, which race is currently leading?",Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,4,kong|kong_54
"The question is, which race has the highest percentage?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,5,kong|kong_54
"Based on your understanding, which race has the highest percentage?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,3,3,kong|kong_54
Which population segment has the highest percentage?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,4,kong|kong_54
"The bar that's linked to the Asian race, it's definitely long.",Subjective-Objective,Implicit-Explicit,lookup-visual,4,2,kong|kong_54
"You know the bar related to Asians, right? How long is it?",Colloquial-Standard,Implicit-Explicit,lookup-visual,1,2,kong|kong_54
It would be informative to know which race has the highest population.,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,4,2,kong|kong_55
Which population segment has the highest proportion?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,4,kong|kong_55
Which demographic group has the highest percentage?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,5,kong|kong_55
Which group has the highest proportion?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,2,5,kong|kong_55
"I'm under the impression that one demographic has a larger percentage, would you agree?",Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,3,kong|kong_55
"According to the data, which race has the highest percentage?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,2,kong|kong_55
I believe one race might have the highest percentage.,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,1,4,kong|kong_55
Which demographic is in the majority?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,3,kong|kong_55
Which ethnic group has the maximum percentage?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,5,kong|kong_55
"According to the data, which race has the highest percentage?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,3,kong|kong_55
What is the maximum percentage of affirmative responses to the neighborhood safety perception questionnaire?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,3,kong|kong_65
What is the maximum percentage of individuals who feel safe in their neighborhood?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,2,5,kong|kong_65
What is the maximum percentage of affirmative responses to the neighborhood safety perception questionnaire?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,5,kong|kong_65
What's the highest percentage of individuals stating they're safe in their own area?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,4,kong|kong_65
I'm endeavoring to find out the maximum percentage of positive responses to the neighborhood safety question.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,4,kong|kong_65
What is the highest proportion of affirmative responses to the query regarding personal safety in one's neighborhood?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,1,kong|kong_65
"I'm not sure, but I think a lot of people feel safe in their neighborhood.",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,1,2,kong|kong_65
I'm striving to identify the maximum percentage of positive responses to the neighborhood safety inquiry.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,4,4,kong|kong_65
What is the measurement of the line that represents the proportion of people who feel safe in their neighborhood?,Non-technical-Technical,Subjective-Objective,lookup-visual,4,1,kong|kong_65
What is the exact length of the bar representing those who agreed with the statement about feeling safe in their neighborhood?,Colloquial-Standard,Implicit-Explicit,lookup-visual,5,5,kong|kong_65
"How long is the bar representing the ""Agree"" responses to the neighborhood safety question?",Colloquial-Standard,Implicit-Explicit,lookup-visual,1,5,kong|kong_65
Which bar is the most for the safety feeling in the neighborhood?,Colloquial-Standard,Implicit-Explicit,compositional-visual,3,3,kong|kong_65
"Can you confirm if the longest bar is for the statement ""I feel safe in my neighborhood""?",Subjective-Objective,Implicit-Explicit,compositional-visual,4,2,kong|kong_65
"I'm trying to figure out the apex percentage for a specific category under a particular administration, any ideas?",Non-technical-Technical,Subjective-Objective,lookup-nonvisual,1,4,kong|kong_68
I am seeking information on the maximum percentage for a certain category under a specific administration.,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,4,3,kong|kong_68
Can you tell me the peak percentage for a particular category under a particular administration?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,2,4,kong|kong_68
Could we possibly find out the top percentage in that category for that administration?,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,1,2,kong|kong_68
"I'm just wondering, you know, what's the top percentage in that one category for that specific administration?",Subjective-Objective,Implicit-Explicit,lookup-nonvisual,1,1,kong|kong_68
Please provide the maximum percentage across all categories for each administration.,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,5,kong|kong_68
I hypothesize that the maximum percentage for each category would be of interest.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,4,kong|kong_68
Please provide the peak percentage for each category.,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,3,kong|kong_68
What is the peak percentage in each category?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,3,kong|kong_68
Could you please provide the highest percentage across all categories for each administration?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,3,kong|kong_68
"I'm curious, which income bracket has experienced the greatest percentage increase in income?",Non-technical-Technical,Subjective-Objective,lookup-nonvisual,1,3,kong|kong_69
Could you elucidate the income rank associated with the most substantial percentage increase?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,3,5,kong|kong_69
Do you know the income percentile with the highest percent change in income?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,2,4,kong|kong_69
Can you tell me which income level had the biggest change?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,2,1,kong|kong_69
Would you be able to identify the rank with the most significant increase in income?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,2,4,kong|kong_69
It might be interesting to find out the income rank with the biggest income change.,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,2,2,kong|kong_69
Which income group had the largest increase in their income?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,5,1,kong|kong_69
"What is the maximum percentage change in income, and what income rank does it correspond to?",Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,3,kong|kong_69
"Do you know the maximum possible change in income, and the corresponding income rank?",Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,2,kong|kong_69
"I believe we need to find the maximum income change and its rank, right?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,2,2,kong|kong_69
"What is the maximum percentage change in income, and what income rank does that correspond to?",Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,4,kong|kong_69
"What is the paramount percentage change in income, and which income rank do you estimate it's impacting?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,5,kong|kong_69
What is the maximum change in income and to whom does it correspond?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,1,kong|kong_69
What is the maximum percent variation in income and to which income rank does it correspond?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,5,3,kong|kong_69
I need to know the ratio of people who concur.,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,4,3,kong|kong_70
Can you provide the number of people who agree?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,4,2,kong|kong_70
Do you have an understanding of the percentage of individuals who are in agreement?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,1,5,kong|kong_70
Do you think the majority of people agree?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,2,2,kong|kong_70
Can you provide the proportion of people who are in agreement?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,3,3,kong|kong_70
Could you tell me the proportion of people who agree?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,3,4,kong|kong_70
It seems we might not all agree. What do you think is the highest level of agreement we can reach?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,1,3,kong|kong_70
What's the highest level of agreement we can expect?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,1,kong|kong_70
What is the utmost percentage of agreement?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,2,5,kong|kong_70
I think we might not all agree. Can you explicitly tell me what the maximum percentage of agreement is?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,2,kong|kong_70
What do you think is the maximum percentage of unanimity we can achieve?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,2,5,kong|kong_70
What's the maximum possible agreement?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,2,4,kong|kong_70
What is the maximum percentage of agreement that can be statistically and objectively anticipated?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,5,kong|kong_70
"It seems to me that the bar for those who agree is long, is that correct?",Subjective-Objective,Implicit-Explicit,lookup-visual,3,2,kong|kong_70
Can you tell how big the bar is for those who agree?,Colloquial-Standard,Implicit-Explicit,lookup-visual,2,1,kong|kong_70
"What's the extent of the bar for those who agree, in your view?",Colloquial-Standard,Subjective-Objective,lookup-visual,2,4,kong|kong_70
It seems to me that the longest bar represents the highest percentage of agreement.,Subjective-Objective,Implicit-Explicit,compositional-visual,3,2,kong|kong_70
Can you deduce which bar is the longest?,Colloquial-Standard,Implicit-Explicit,compositional-visual,2,4,kong|kong_70
"Can you tell which line is the longest, indicating the most people agreeing?",Non-technical-Technical,Subjective-Objective,compositional-visual,2,1,kong|kong_70
What is the count of males in the 20-30 age demographic?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,5,2,kong|kong_71
What is the proportion of males in the 20-30 age range?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,5,3,kong|kong_71
Could you provide the data on which age group has the highest percentage of females?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,4,kong|kong_71
Could you specify which age group has the highest number of females?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,2,3,kong|kong_71
"I reckon, which age group's got the most girls, right?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,1,kong|kong_71
Which age cohort do you suppose has the highest female proportion?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,4,kong|kong_71
Could you determine the age group with the highest female ratio?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,3,kong|kong_71
Can you tell me the height of the blue bar in the 20-30 section?,Non-technical-Technical,Implicit-Explicit,lookup-visual,4,1,kong|kong_71
Where is the red bar highest?,Colloquial-Standard,Non-technical-Technical,compositional-visual,1,3,kong|kong_71
"Which demographic, in terms of age and gender, exhibits the highest prevalence of this characteristic?",Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,1,kong|kong_73
Can you tell me which age and gender stratification has the highest prevalence of this characteristic?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,5,kong|kong_73
I propose we ascertain the demographic segment with the highest incidence of this trait.,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,2,4,kong|kong_73
Which age and gender demographic has the highest prevalence of this attribute?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,2,kong|kong_73
Can you tell me which age and gender group has the most of this characteristic?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,1,2,kong|kong_73
"I'm contemplating, which age and gender group could potentially have the most of that characteristic?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,4,kong|kong_73
"The empirical evidence should designate which demographic, in terms of age and gender, has the highest percentage of the characteristic.",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,5,kong|kong_73
It is probable that a particular age and gender group has the most of that characteristic.,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,4,4,kong|kong_73
Can you specify which age and gender group is exhibiting the highest percentage of this characteristic?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,4,kong|kong_73
The information on which age group and gender has the highest percentage of this characteristic is needed.,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,3,5,kong|kong_73
"Based on the empirical data, which geopolitical entity has the highest rate of philanthropic financial contributions?",Non-technical-Technical,Subjective-Objective,lookup-nonvisual,3,5,kong|kong_74
"In your opinion, which nation receives the most philanthropic contributions?",Non-technical-Technical,Subjective-Objective,lookup-nonvisual,1,4,kong|kong_74
"According to the data, which country has the highest amount of donations?",Subjective-Objective,Implicit-Explicit,lookup-nonvisual,5,5,kong|kong_74
"I feel like there's a country that's really generous, can you guess which one?",Subjective-Objective,Implicit-Explicit,lookup-nonvisual,2,1,kong|kong_74
What's the difference between the country that gives the most and the one that gives the least?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,1,kong|kong_74
What is the difference between the country that donates the most and the one that donates the least?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,3,2,kong|kong_74
Could you please specify the difference between the country with the highest donations and the country with the lowest donations?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,1,kong|kong_74
Can you tell me the difference between the country that donates the most and the one that donates the least?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,3,kong|kong_74
Can you tell me the disparity between the highest and lowest donating countries?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,1,kong|kong_74
There appears to be a disparity between the country with the highest donations and the one with the lowest.,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,2,5,kong|kong_74
Can you tell me about the difference in philanthropic contributions between the highest and lowest donating countries?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,3,kong|kong_74
Could you please elaborate on the difference between the country with the highest donations and the country with the lowest donations?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,5,2,kong|kong_74
There is a difference between the country with the highest donations and the country with the lowest donations.,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,3,kong|kong_74
Can you explain the difference in philanthropic contributions between the highest and lowest donating countries?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,3,kong|kong_74
What is the disparity between the country that donates the most and the one that donates the least?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,4,kong|kong_74
"Do you have information about the country that leads in generosity, considering their total income?",Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,1,5,kong|kong_75
Which country has the highest GDP-adjusted generosity?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,5,2,kong|kong_75
"Can you specify the country with the highest donations, relative to their GDP?",Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,3,5,kong|kong_75
Could you specify the country with the highest ratio of donations to GDP?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,4,2,kong|kong_75
"Could you provide the country with the maximum value of generous donations as a proportion of GDP, and what that value is?",Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,5,kong|kong_75
Do you know the country with the maximum value of charitable contributions as a proportion of Gross Domestic Product?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,5,kong|kong_75
"The country with the maximum value of ""Generous donations by GDP"" is... Can you confirm?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,4,5,kong|kong_75
"Could you tell me which country has the highest donations relative to their GDP, and what that value is?",Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,2,kong|kong_75
It seems like there's a country that's very generous with their GDP. Do you know which one it is?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,3,2,kong|kong_75
Could you provide the maximum value of GDP donations and the country it originates from?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,1,kong|kong_75
Can you tell me the maximum GDP donation and the country it's from?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,3,2,kong|kong_75
Which country has the highest GDP in terms of donations?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,4,3,kong|kong_75
Which country's bar extends the furthest along the horizontal axis?,Non-technical-Technical,Implicit-Explicit,lookup-visual,3,4,kong|kong_75
"Which country's bar extends the furthest along the x-axis, and what is the corresponding country, can you verify?",Colloquial-Standard,Subjective-Objective,compositional-visual,4,2,kong|kong_75
"Which country's bar is the longest on the x-axis, and what's the country, would you suggest?",Colloquial-Standard,Subjective-Objective,compositional-visual,2,5,kong|kong_75
What is the exact sum of funds that country X received?,Colloquial-Standard,Implicit-Explicit,lookup-nonvisual,5,5,kong|kong_76
Got a clue about the country with the most funds?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,2,kong|kong_76
"I surmise, which country has received the most funds?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,4,4,kong|kong_76
Do you have any idea which country has the highest aggregate funding?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,4,kong|kong_76
It's uncertain which country has received the most funds.,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,2,4,kong|kong_76
Do you know the top value in our number collection?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,2,2,kong|kong_77
What is the zenith percentile in the data compilation?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,4,5,kong|kong_77
Would you be so kind as to inform me of the highest percentage value in this data?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,3,5,kong|kong_77
I think we need to determine the highest percentage value in the dataset.,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,5,1,kong|kong_77
"What, based on the facts, is the highest percentage in the dataset?",Colloquial-Standard,Subjective-Objective,lookup-nonvisual,5,3,kong|kong_77
Could you identify the maximum percentage value in the data?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,4,1,kong|kong_77
Can you identify the highest percentage in the dataset?,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,1,4,kong|kong_77
Do you know the maximum percentage in our data?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,2,3,kong|kong_77
Which bar's the biggest on the chart?,Colloquial-Standard,Non-technical-Technical,lookup-visual,1,1,kong|kong_77
Determine the bar on the chart with the maximum length.,Non-technical-Technical,Subjective-Objective,lookup-visual,5,3,kong|kong_77
What is the numerical difference between the age group with the most and the least people in 2000?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,2,3,vega-lite-example-gallery|bar_aggregate
What's the population disparity between the age group with the most and least people in 2000?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,3,vega-lite-example-gallery|bar_aggregate
Could you provide the numerical difference between the most populated and least populated age groups in 2000?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,4,1,vega-lite-example-gallery|bar_aggregate
"I hypothesize there's a significant demographic variance between the age group with the highest and the lowest population in 2000, correct?",Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,5,vega-lite-example-gallery|bar_aggregate
Could you elaborate on the population disparity between the age cohort with the maximum and minimum population in 2000?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,4,vega-lite-example-gallery|bar_aggregate
What was the population difference between the age group with the highest and the lowest population in 2000?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,3,4,vega-lite-example-gallery|bar_aggregate
Can you provide more information on the population difference between the age groups in 2000?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,4,5,vega-lite-example-gallery|bar_aggregate
Could you tell me the population disparity between the age group with the most and least people in 2000?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,3,vega-lite-example-gallery|bar_aggregate
"What's the length differential between the longest and shortest bars, symbolizing the age groups with the maximum and minimum populations in 2000?",Colloquial-Standard,Non-technical-Technical,compositional-visual,5,1,vega-lite-example-gallery|bar_aggregate
Can you estimate the female population aged 30-34 in 2000?,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,3,3,vega-lite-example-gallery|bar_grouped
What's the number of women aged 30-34 in 2000? I need accurate information.,Colloquial-Standard,Subjective-Objective,lookup-nonvisual,4,2,vega-lite-example-gallery|bar_grouped
Please provide the total population of males and females aged 30-34 in 2000.,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,2,vega-lite-example-gallery|bar_grouped
What is the exact total population of both males and females in the age group of 30-34 in the year 2000?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,5,vega-lite-example-gallery|bar_grouped
What's the total count of male and female individuals in the 30-34 age bracket in the year 2000?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,1,vega-lite-example-gallery|bar_grouped
Could you provide the total population of males and females in the 30-34 age bracket in the year 2000?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,3,vega-lite-example-gallery|bar_grouped
"Do you have any idea about the number of people, both men and women, who were between 30 and 34 in 2000?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,1,2,vega-lite-example-gallery|bar_grouped
Please provide the gender-specific population census data for the 30-34 age cohort in the year 2000.,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,5,vega-lite-example-gallery|bar_grouped
Any insights on the gender-specific population census data for the 30-34 age cohort in the year 2000?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,5,vega-lite-example-gallery|bar_grouped
"Could you guess the population of people, both men and women, who were between 30 and 34 in 2000?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,2,3,vega-lite-example-gallery|bar_grouped
What is the specific total population of both males and females in the age group of 30-34 in the year 2000?,Subjective-Objective,Implicit-Explicit,compositional-nonvisual,4,5,vega-lite-example-gallery|bar_grouped
I am interested in the total population of males and females in the 30-34 age demographic in the year 2000.,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,5,vega-lite-example-gallery|bar_grouped
What is the gender-specific demographic distribution for the 30-34 age cohort in 2000?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,4,vega-lite-example-gallery|bar_grouped
"I presume there were a significant number of individuals aged 30-34 in 2000, correct?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,4,vega-lite-example-gallery|bar_grouped
Do you know how much Google's stock was on that day?,Colloquial-Standard,Non-technical-Technical,lookup-nonvisual,2,1,vega-lite-example-gallery|line
Could you clarify the difference between the peak and trough of Google's stock price?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,2,vega-lite-example-gallery|line
Can you tell me about the price dispersion in Google's stock?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,5,vega-lite-example-gallery|line
Could you explain the difference in Google's stock price over time?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,2,4,vega-lite-example-gallery|line
Can you tell me how much Google's stock has gone up and down over time?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,1,vega-lite-example-gallery|line
What's your perspective on the difference between the highest and lowest price of Google's stock?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,5,vega-lite-example-gallery|line
What is the total yield of the Manchuria barley variety?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,3,5,vega-lite-example-gallery|stacked_bar_h
Can you estimate the yield of the Manchuria barley variety?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,2,4,vega-lite-example-gallery|stacked_bar_h
How much barley does the Manchuria type produce?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,3,1,vega-lite-example-gallery|stacked_bar_h
What is the yield of the Manchuria barley variety?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,3,4,vega-lite-example-gallery|stacked_bar_h
Do you think we get a good yield from the Manchuria barley?,Colloquial-Standard,Subjective-Objective,lookup-nonvisual,2,3,vega-lite-example-gallery|stacked_bar_h
What's the factual sum of the yields of the Manchuria and Glabron barley?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,4,3,vega-lite-example-gallery|stacked_bar_h
What's the combined yield of Manchuria and Glabron barley?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,2,vega-lite-example-gallery|stacked_bar_h
"You want to know the total yield of Manchuria and Glabron barley, correct?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,3,vega-lite-example-gallery|stacked_bar_h
Do you know the total yield of barley from Manchuria and Glabron?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,2,3,vega-lite-example-gallery|stacked_bar_h
