dataset,visId,commands,count,Sequence_Length,Phrasing_Type
Superstore,histogram,show a relationship using a bar chart to show the relationship between items order and the count of those items,1,1,command
Superstore,line,Show a line chart the semi-annual sales forecast,1,1,command
Superstore,multiLine,show a line chart of semi sales by category,1,1,command
Cars,line,chart average weight over time,1,1,command
Cars,histogram,chart number of vehicles by weight in buckets of 500,1,1,command
Cars,stackedBar,show a stacked bar chart of number of vehicles to number for cylinders grouped by country,1,1,command
Cars,bar,chart average MPG to cylinders,1,1,command
Cars,singleAttrBar,chart count to country,1,1,command
Cars,scatterFaceted,Europe acceleration by weight,1,3,query
Cars,scatterFaceted,japan,1,3,query
Cars,scatterFaceted,usa,1,3,query
Superstore,singleAttrBar,The count of orders by sub-category,1,3,query
Superstore,singleAttrBar,Bar chart,1,3,query
Superstore,singleAttrBar,Descending order,1,3,query
Movies,scatterFaceted,Scatter Production Budget vs Worldwide Gross,1,2,query
Movies,scatterFaceted,Slice by Content Rating,1,2,query
Movies,multiLine,time series: Sum(Worldwide Gross) by Release Year,1,2,query
Movies,multiLine,group and color code by Major Genre,1,2,query
Cars,histogram,Histogram by weight,1,2,query
Cars,histogram,Count of binned weight,1,2,query
Cars,multiLine,Group by Origin,1,2,query
Cars,multiLine,plot Year by AVG Horsepower,1,2,query
Cars,bar,Group by Cylinders,1,2,query
Cars,bar,Plot Cylinders by AVG MPG,1,2,query
Superstore,bar,The average profit of orders by each state,1,2,query
Superstore,bar,Bar chart,1,2,query
Superstore,scatterFaceted,The distribution of profit and sales by regions,1,2,query
Superstore,scatterFaceted,Scatter plots,1,2,query
Superstore,scatterColor,The distribution of profit and sales by regions,1,2,query
Superstore,scatterColor,Colored scatter plot,1,2,query
Superstore,scatter,The distribution of profit and sales,1,2,query
Superstore,scatter,Scatter plot,1,2,query
Cars,scatterColor,Scatterplot mpg vs displacement color by origin,1,1,query
Cars,stackedBar,Cylinders count bar chart Color by origin,1,1,query
Movies,histogram,histogram of running time,1,1,query
Cars,bar,Cylinders average mpg,1,1,query
Cars,multiLine,Line chart avg horsepower per year Color by origin,1,1,query
Cars,singleAttrBar,Count by origin,1,1,query
Movies,singleAttrBar,histogram for creative type,1,1,query
Cars,scatterFaceted,Acceleration by weight scatterplot per origin,1,1,query
Cars,scatterFaceted,Acceleration by weight scatterplot facet by origin,2,1,query
Cars,scatterFaceted,"For each origin, acceleration by weight scatterplot",3,1,query
Cars,scatter,Acceleration by horsepower scatterplot,1,1,query
Cars,scatter,Acceleration by horsepower points,2,1,query
Movies,scatterColor,scatterplot budget and worldwide gross colored by genre,1,1,query
Superstore,line,Line Graph of SUM (Sales Forecast) vs Order Date,1,1,query
Superstore,bar,Column Chart of AVG (Profit) vs alphabetical order State,1,1,query
Superstore,groupedBar,Column Chart of Avg (Profit) by Segment vs each Ship Mode,1,1,query
Superstore,scatterColor,Scatter Plot of Profit by region vs Sales,1,1,query
Superstore,singleAttrBar,Descending Column Chart of Count vs Sub-category,1,1,query
Superstore,scatterFaceted,Scatter Plot for each region of Profit vs Sales,1,1,query
Superstore,multiLine,Multi-line Graph of Sum (Sales) by Category vs Order Date,1,1,query
Superstore,scatter,Scatter Plot of Sales vs Profit,1,1,query
Superstore,histogram,Columns of Count vs Order Quantity,1,1,query
Superstore,stackedBar,Stacked columns of Sum (profit) segmented by Ship Status vs Region,1,1,query
Superstore,stackedBar,"Stacked bar chart on ship status, Sum of profit by region",1,1,query
Superstore,multiLine,"Line chart, Sum of sales by order date, on category",1,1,query
Superstore,scatter,"Scatter plot, sales by profit",1,1,query
Superstore,line,"Line chart, Sum of Sales Forecast by Order Date",1,1,query
Superstore,scatterColor,"Scatter Plot, Profit by Sales, on Region",1,1,query
Superstore,groupedBar,"Clustered Column chart, Average of Profit by segment, small multiples on ship mode",1,1,query
Superstore,bar,"Column chart, Average of profit by state",1,1,query
Superstore,histogram,"Frequency chart, order quantity",1,1,query
Superstore,singleAttrBar,"Column chart, count by sub-category",1,1,query
Superstore,scatterFaceted,"Scatter Plot, profit by sales, small multiples on region",1,1,query
Superstore,histogram,count of orders by order quantity,1,1,query
Superstore,singleAttrBar,count by sub-category distinct item,1,1,query
Superstore,singleAttrBar,count for each subcategory item,2,1,query
Superstore,singleAttrBar,total count for each subcategory item,3,1,query
Superstore,scatterFaceted,profit amount per sales amount by region,1,1,query
Superstore,multiLine,"total sales by order date and category where category is furniture, office supplies, technology",1,1,query
Superstore,stackedBar,total profit by region and ship status,1,1,query
Superstore,line,total sales forecast by order date in 2016-2017,1,1,query
Superstore,line,total sales forecast by order date where year in 2016 or 2017,2,1,query
Superstore,bar,average profit by state,1,1,query
Superstore,groupedBar,average profit by ship mode type and segment,1,1,query
Movies,scatter,scatter IMDB Rating vs Rotten Tomatoes Rating,1,1,query
Movies,bar,Average Worldwide Gross by Major Genre,1,1,query
Movies,histogram,histogram of Running Time,1,1,query
Movies,line,Average Production Budget by Year,1,1,query
Movies,stackedBar,Sum(Worldwide Gross) grouped by Genre and sub grouped by Content Rating,1,1,query
Movies,scatterColor,Scatter Production Budget vs Worldwide Gross. Color Code Major Genre.,1,1,query
Movies,groupedBar,Avg(Poduction Budget) Grouped by Content Rating and sub-grouped by Creative Type,1,1,query
Cars,groupedBar,"average acceleration by origin, with small multiples by cylinders",1,1,query
Cars,groupedBar,"bars of avg acceleration, colored by origin, with small multiples by cylinders",2,1,query
Cars,scatterFaceted,"scatterplot weight by acceleration for individual models, small multiples by origin",2,1,query
Cars,scatter,"scatterplot of horsepower by acceleration, separated by individual models",2,1,query
Cars,multiLine,"average horsepower over years, colored by origin",1,1,query
Cars,multiLine,"average horsepower over time, colored by origin",2,1,query
Cars,line,average weight over year,1,1,query
Cars,line,average weight over time,2,1,query
Cars,line,line chart of average weight over year,3,1,query
Cars,line,line chart of average weight over time,4,1,query
Cars,histogram,"histogram of weight, bin size 500",1,1,query
Cars,histogram,"histogram of weight, number of bins 8",2,1,query
Cars,stackedBar,"stacked bar of count of models by cylinders, colored by origin",1,1,query
Cars,stackedBar,"stacked bar of number of models by cylinders, colored by origin",2,1,query
Cars,stackedBar,"vertical stacked bar of number of models by cylinders, colored by origin",3,1,query
Cars,bar,bar chart of average mpg by cylinders,1,1,query
Cars,bar,vertical bar chart of average mpg by cylinders,2,1,query
Cars,singleAttrBar,number of models by origin,1,1,query
Cars,singleAttrBar,count of models by origin,2,1,query
Cars,singleAttrBar,bar chart of number of models by origin,3,1,query
Cars,singleAttrBar,bar chart of count of models by origin,4,1,query
Cars,singleAttrBar,vertical bar chart of count of models by origin,5,1,query
Cars,singleAttrBar,vertical bar chart of number of models by origin,6,1,query
Cars,line,Weight of cars grouped by year,1,1,query
Cars,histogram,Histogram of cars by weight,2,1,query
Cars,singleAttrBar,Histogram of car models by country,2,1,query
Cars,bar,bar chart for mpg v/s cylinders,1,1,query
Superstore,scatterColor,"select sales, profit from table group by(region)",1,1,query
Superstore,groupedBar,"select profit, class from table group by segment",1,1,query
Cars,groupedBar,"Mean acceleration group by Cylinders and Origin, X axis Origin, Color Origin, Each plot Cylinders",1,1,query
Cars,stackedBar,"Stacked bar chart, x axis cylinder, y axis count, color by Origin",1,1,query
Cars,scatter,"Scatter plot, x axis horsepower, y axis acceleration",1,1,query
Cars,scatterColor,"Scatter plot, x axis Displacement, Y axis MPG, Color by Origin",1,1,query
Cars,bar,"Bar chart, x axis cylinders, y axis mean MPG",1,1,query
Cars,scatterFaceted,"Scatterplot, x axis weight, y axis acceleration, facet by origin",1,1,query
Cars,singleAttrBar,"Bar chart, x axis origin, y axis count of rows",1,1,query
Cars,histogram,"Histogram of weight, bin width of 500, min x axis 1500, max x axis 5500",1,1,query
Movies,scatter,Scatterplot of Rotten Tomatoes Rating by IMDB Rating,1,1,query
Movies,stackedBar,"Bar chart of total worldwide gross by major genre, by content rating",1,1,query
Cars,scatter,plot horsepower by acceleration,1,1,query
Cars,bar,plot cylinders by average mpg,1,1,query
Cars,singleAttrBar,plot origin,1,1,query
Cars,histogram,plot weight histogram,1,1,query
Cars,scatterFaceted,plot weight vs acceleration by origin,1,1,query
Cars,scatter,acceleration to horsepower,2,1,query
Cars,singleAttrBar,count of cars by origin,2,1,query
Movies,singleAttrBar,Movie count based on creative type,1,1,query
Cars,groupedBar,"For each cylinders, average acceleration per origin",1,1,query
Cars,groupedBar,"For each cylinders, average acceleration Color by origin",2,1,query
Movies,histogram,Movie run time distribution,1,1,query
Cars,line,Average weight over year,1,1,query
Cars,line,Line chart average weight over year,2,1,query
Movies,scatterFaceted,Gross vs. production budget over different ratings,1,1,query
Movies,stackedBar,Stack bar chart of SUM(worldwide gross) vs. movie genre based on content rating,1,1,query
Cars,histogram,Sum weight in a bar chart,1,1,query
Superstore,line,sales forecast between Jan 2016 and July 2017,1,1,query
Movies,line,budget over time,1,1,query
Cars,scatter,Scatter plot of horsepower across acceleration,1,1,query
Movies,scatter,Rating of movies in IMBD and Rotten Tomatoes,1,1,query
Movies,scatterColor,budget vs gross income across movie genres,1,1,query
Movies,line,production budget across years,1,1,query
Movies,scatterFaceted,production budget vs worldwide gross regarding movie rating,1,1,query
Movies,bar,gross across genres,1,1,query
Cars,singleAttrBar,Plot Count vs Origin,1,1,query
Cars,singleAttrBar,Plot ROWCOUNT vs Origin,1,1,query
Cars,singleAttrBar,Plot Count(cars) vs Origin,1,1,query
Superstore,line,Product Sales Revenue by Month,1,1,query
Superstore,histogram,Product Single Order Quantity Trend,1,1,query
Superstore,scatter,Profit vs. Sales Cluster,1,1,query
Superstore,scatterFaceted,Profit vs. Sales Cluster by Region,1,1,query
Superstore,scatterColor,Profit vs. Sales Cluster by Region,1,1,query
Superstore,bar,Profit by State,1,1,query
Cars,singleAttrBar,count by origin,1,1,query
Cars,line,average weight by year,1,1,query
Cars,stackedBar,count by cylinders and origin,1,1,query
Cars,histogram,count by weight,1,1,query
Cars,scatter,horsepower by acceleration,1,1,query
Cars,bar,cylinders by acceleration,1,1,query
Movies,stackedBar,Total ww gross by genre and content rating,2,1,query
Movies,line,Average budget by year,1,1,query
Movies,bar,Average ww gross by genre,1,1,query
Movies,multiLine,Total gross by year and genre,1,1,query
Movies,multiLine,Total gross by genre and year,2,1,query
Movies,multiLine,Gross by genre and year,3,1,query
Movies,multiLine,"Gross, year and genre as a line chart",4,1,query
Cars,line,Plot Year by AVG Weight,1,1,query
Movies,histogram,histogram of running time,1,1,query
Movies,line,line chart of AVG production budget of each release year,1,1,query
Movies,scatter,scatter plot of IMDB rating vs Rotten tomatoes rating,1,1,query
Superstore,groupedBar,Avg(Profit) Split by Ship Mode by category and segement,2,1,query
Superstore,singleAttrBar,Count Sub-Category Asc,1,1,query
Superstore,singleAttrBar,Count asc Sub-Category render best,2,1,query
Superstore,scatterColor,Sum(Sales) X Sum(Profit) Y by region render cluster,1,1,query
Superstore,scatterColor,Sum(Sales) 1 Sum(Profit) 2 by region render cluster,2,1,query
Superstore,histogram,Count Order Quantity asc render best,1,1,query
Superstore,histogram,Count Order Quantity asc order render best,2,1,query
Superstore,line,Sum(Sales Forecast) by Order Date asc render line,1,1,query
Superstore,line,Sum(Sales Forecast) by Order Date asc render best,2,1,query
Superstore,scatter,Sum(Profit) and Sum(Sales) render cluster,1,1,query
Superstore,scatter,Sum(Profit) 1and Sum(Sales) 2 render cluster,2,1,query
Superstore,scatter,Sum(Profit) x and Sum(Sales) y render cluster,3,1,query
Superstore,multiLine,Sum(Sales) by Order Date split by Category render line,1,1,query
Superstore,multiLine,Sum(Sales) by Order Date split by Category render line asc,2,1,query
Cars,bar,Average MPG based on cylinders,1,1,query
Cars,histogram,Histogram of number of cars by weight,1,1,query
Movies,multiLine,gross per genre over time,1,1,query
Movies,scatter,IMDB rating by rotten tomatoes rating,1,1,query
Movies,scatterFaceted,budget by worldwide gross per content rating,1,1,query
Movies,scatterColor,prod budget by gross for movies per genre,1,1,query
Movies,groupedBar,budget vs content rating regarding different creative types,1,1,query
Movies,multiLine,release year vs worldwide gross in genres,1,1,query
Movies,singleAttrBar,counts of movies by creative type,1,1,query
Movies,stackedBar,gross across genres regarding content rating,1,1,query
Cars,scatter,acceleration vs horsepower,1,1,query
Movies,scatterColor,production budget vs ww gross by movie and major genre,1,1,query
Movies,bar,average worldwide gross by major genre,1,1,query
Movies,bar,avg ww gross by genre,2,1,query
Movies,scatter,scatter of imdb rating by rotting tomatoes rating,1,1,query
Movies,scatter,imdb rating vs rotten tomatoes rating by movie,2,1,query
Movies,stackedBar,ww gross by major genre and content rating,1,1,query
Movies,stackedBar,total ww gross by genre and rating,2,1,query
Movies,groupedBar,average production budget by creative type and content rating,1,1,query
Movies,line,average production budget over time,1,1,query
Movies,line,average production budget by year,2,1,query
Movies,line,avg production budget over time,3,1,query
Movies,histogram,count of movies by binned running time,1,1,query
Movies,multiLine,ww gross over time by genre,1,1,query
Movies,multiLine,total worldwide gross by release year and major genre,2,1,query
Movies,singleAttrBar,count of movies by creative type,3,1,query
Superstore,scatter,Scatterplot of sales vs. profit,1,1,query
Movies,scatter,relation between rotten tomatoes rating and IMDB rating,1,1,query
Movies,scatter,relation between rotten tomatoes and IMDB ratings,2,1,query
Movies,scatterFaceted,wordwide gross versus production budget for each content rating,1,1,query
Superstore,singleAttrBar,Bart chart quantity vs. product type all orders,1,1,query
Superstore,multiLine,"line chart of sales vs. order date of furniture, office supplies, technology. Distnighish by color",1,1,query
Superstore,line,line chart sum of sales forecast vs. order date all orders,1,1,query
Movies,histogram,running time distribution,1,1,query
Movies,histogram,"running time distribution, buckets of 20 minutes for running time",2,1,query
Movies,histogram,running time in 20 minute buckets,3,1,query
Movies,bar,Gross versus major genre,1,1,query
Movies,bar,Gross versus genre,2,1,query
Superstore,bar,Bar chart scale -10000-50000 average profit vs. state all orders,1,1,query
Movies,multiLine,worldwide gross for each genre for each year 1995 to now,2,1,query
Movies,stackedBar,"Stacked bar chart of gross for each content rating, by major genre",1,1,query
Movies,stackedBar,"Cumulative gross for each content rating, by major genre",2,1,query
Movies,scatterColor,Relation between worldwide gross and production budget for each major genre,1,1,query
Movies,groupedBar,"Production budget for each creative type, by content rating",1,1,query
Movies,line,"average production budget by year, 1995 to 2009",1,1,query
Cars,scatter,Scatterplot of horsepower vs acceleration,1,1,query
Cars,multiLine,Line graph of year versus average horsepower by origin,1,1,query
Cars,stackedBar,Bar chart of number of cylinders. Stack bar charts by origin,1,1,query
Cars,histogram,Bar chart of weight,1,1,query
Cars,bar,Bar chart of cylinders versus average mpg,1,1,query
Cars,scatterColor,Scatterplot of displacement vs mpg. Color by origin.,1,1,query
Cars,scatterFaceted,Scatterplot of weight vs. acceleration. Break into multiple scatterplots by origin,1,1,query
Cars,line,Line graph of year vs. average weight,1,1,query
Cars,singleAttrBar,Bar chart of number of cars from each origin,1,1,query
Movies,scatter,Scatter Plot of Rotten Tomatoes rating by the IMDB rating.,1,1,query
Movies,scatterColor,Scatter Plot of Worldwide Gross by Production Budget with Major Genre labels,1,1,query
Movies,scatterFaceted,Worldwide Gross relationship to Production Budget filtered by Content Rating,1,1,query
Movies,scatterFaceted,Worldwide Gross relationship to Production Budget separated by Content Rating,2,1,query
Movies,multiLine,Worldwide Gross through time for each Major Genre,1,1,query
Movies,multiLine,Yearly Worldwide Gross for each Major Genre,2,1,query
Movies,histogram,Total Count based on Running Time,1,1,query
Movies,line,Yearly average Production Budget,1,1,query
Movies,stackedBar,Total Worldwide Gross by Major Genre separated by Content Rating,1,1,query
Movies,stackedBar,Total Worldwide Gross by Major Genre with Content Rating labels,2,1,query
Movies,bar,Average Worldwide Gross by Major Genre,1,1,query
Movies,groupedBar,Average Production Budget by Creative Type filtered by Content Rating,1,1,query
Movies,groupedBar,Average Production Budget by Creative Type separated by Content Rating,2,1,query
Movies,singleAttrBar,Count by Creative Type,1,1,query
Cars,singleAttrBar,Count Rows by Origin,1,1,query
Cars,groupedBar,Average Acceleration by Engine Cylinders and Origin,1,1,query
Cars,histogram,Count by Weight Buckets,1,1,query
Cars,stackedBar,"Count by Cylinders and Origin, Stacked",1,1,query
Cars,line,Avg weight by Year,1,1,query
Cars,scatterFaceted,Acceleration distribution by Weight and Origin,1,1,query
Cars,multiLine,Average Horsepower per year and origin,1,1,query
Cars,scatter,Horsepower distribution by acceleration,1,1,query
Cars,bar,Average MPG by cylinders,1,1,query
Superstore,scatter,scatter plot sales vs profit,1,1,query
Superstore,line,line chart sum of sales forecast by order date,1,1,query
Superstore,multiLine,line chart sum of sales by order date categorized by category,1,1,query
Superstore,bar,Bar Graph AVG(Profit) by State,1,1,query
Superstore,singleAttrBar,Bar Chart Count by Sub-Category,1,1,query
Superstore,line,Linegraph SUM(Sales Forecast) by Order Date,1,1,query
Superstore,histogram,Bar Chart Count by Order Quantity,1,1,query
Superstore,scatter,Scatterplot Sales by Profit,1,1,query
Superstore,scatterFaceted,Region Scatterplot Profit by Sales,1,1,query
Superstore,groupedBar,Ship Mode Bar Chart AVG(Profit) by Segment),1,1,query
Superstore,multiLine,Category Line Graph Sum(Sales) by Order date,1,1,query
Cars,scatterFaceted,scatterplot acceleration vs weight per country,1,1,query
Cars,scatter,scatterplot acceleration vs horsepower,1,1,query
Cars,scatterColor,scatterplot MPG vs Displacement separated by country,1,1,query
Cars,histogram,Distribution of car weight,1,1,query
Cars,histogram,Histogram of car weight,2,1,query
Cars,singleAttrBar,Distribution of country,1,1,query
Cars,bar,Average MPG by cylinders histogram,1,1,query
Cars,multiLine,How has AVG (Horsepower) evolved over time?,1,2,question
Cars,multiLine,Segregate it by the car origin.,1,2,question
Movies,line,what's the production budget for movies in different years?,1,1,question
Cars,scatter,Is there a correlation between acceleration and horsepower?,1,1,question
Cars,histogram,How many heavy cars are in the dataset?,1,1,question
Cars,stackedBar,Are there any American 5 cylinder cars?,1,1,question
Cars,scatterColor,How does displacement relate to fuel economy for cars from Europe v. USA?,1,1,question
Cars,bar,Which cylinder cars have the highest fuel economy?,1,1,question
Cars,singleAttrBar,Which countries have the most cars in this dataset?,1,1,question
Cars,groupedBar,Which countries have the highest acceleration for cars of different cylinders?,1,1,question
Cars,multiLine,How do the horsepowers of the cars from different regions change with years?,1,1,question
Cars,scatterColor,What is the correlation between displacement and MPG of cars with different origins?,1,1,question
Cars,scatter,what is the correlation between horsepower and acceleration?,1,1,question
Cars,scatter,Is there a correlation between cars' horsepower and acceleration?,2,1,question
Cars,scatterColor,"how does displacement relate to mpg for individual models, partitioned by country",1,1,question
Cars,scatterFaceted,"how does weight relate to acceleration for car models, small multiples by origin",1,1,question
Cars,scatter,how does horsepower relate to acceleration for individual car models,1,1,question
Superstore,bar,How much is the average of profit of each state?,1,1,question
Superstore,bar,How do the company earn in each state?,2,1,question
Movies,groupedBar,What creative type of movie had the highest production budget for each content rating?,1,1,question
Movies,scatterColor,What is the relationship between production budget and worldwide gross for each major genre?,1,1,question
Movies,line,What is the relationship between release year and average production budget?,1,1,question
Movies,bar,What major genre had the highest average worldwide gross?,1,1,question
Movies,bar,What major genre had the lowest average worldwide gross?,2,1,question
Movies,bar,How much did average worldwide gross vary by major genre?,3,1,question
Movies,singleAttrBar,How many movies are there are of each creative type?,1,1,question
Movies,singleAttrBar,Which creative type had the most movies?,2,1,question
Movies,singleAttrBar,Which creative type had the fewest movies?,3,1,question
Movies,multiLine,What is the total worldwide gross for each major genre across time?,1,1,question
Movies,scatterFaceted,Is there a relationship between production budget and worldwide gross for each content rating?,1,1,question
Movies,histogram,What is the distribution of running times for each movie?,1,1,question
Movies,scatter,Is there a relationship between IMDB rating and rotten tomatoes rating?,1,1,question
Cars,scatter,Does higher horsepower mean lower acceleration?,1,1,question
Cars,stackedBar,How many cylinders do cars manufactured in different countries have?,1,1,question
Cars,singleAttrBar,How many cars do each country manufacture?,1,1,question
Cars,bar,What's the mileage for cars based on the number of cylinders present?,1,1,question
Cars,bar,Does higher cylinder count mean mean lower mileage?,2,1,question
Cars,bar,How does mileage relate to cylinder count?,3,1,question
Superstore,multiLine,What were the total sales for each date in each category?,1,1,question
Superstore,multiLine,How much was sold each day for each category?,2,1,question
Superstore,bar,What is the average profit for each state?,1,1,question
Superstore,scatter,What is the relationship between profit and sales?,1,1,question
Superstore,groupedBar,What is the average profit of each ship mode divided by segment?,1,1,question
Superstore,line,What is the sales forecast for each date?,1,1,question
Superstore,histogram,How many orders were placed for each order quantity?,1,1,question
Superstore,scatterColor,What is the relationship between sales and profit for each region?,1,1,question
Superstore,scatterFaceted,What is the relationship between sales and profit for each region?,1,1,question
Superstore,singleAttrBar,How many orders were placed for each sub-category?,1,1,question
Superstore,stackedBar,"What is the total profit for each region, based on ship status?",1,1,question
Cars,bar,what is the average MPG for different cylinders,2,1,question
Cars,scatter,What is the relation between horsepower and acceleration,2,1,question
Cars,line,What is the average weight distribution of cars between 1974 and 1980,1,1,question
Cars,bar,how mpg varies for different cylinder type,2,1,question
Cars,groupedBar,how acceleration varies with number of cylinders by origin,2,1,question
Cars,line,how weight varies each year,2,1,question
Cars,scatter,how is acceleration related to horsepower,1,1,question
Cars,multiLine,How has horsepower changed over time by country?,1,1,question
Cars,line,Have cars gotten lighter over time?,1,1,question
Movies,line,How production budge changes over release years?,1,1,question
Movies,line,What was the average production budget of movies by year?,1,1,question
Movies,groupedBar,"What's the average production budget of the different rated movies, separated by creative type.",1,1,question
Movies,bar,Which genre movie makes most worldwide gross,1,1,question
Movies,scatter,Are IMDb rating and rotten tomatoes rating related,1,1,question
Superstore,multiLine,what is the sales trend of the different product categories?,1,1,question
Superstore,histogram,How many products have 3 or more quantity ordered ?,1,1,question
Superstore,histogram,How many products are ordered in single quantity ?,2,1,question
Superstore,bar,What are the profits across different states?,1,1,question
Superstore,singleAttrBar,What product category has more orders placed?,1,1,question
Movies,bar,what is the worldwide gross distribution per genre,1,1,question
Movies,groupedBar,what's the breakdown of production budget by creative type per content rating?,1,1,question
Superstore,groupedBar,What is our profit based on shipping mode by customer segment?,1,1,question
Movies,scatter,how does Rotten Tomatoes Rating change as IMDB Rating?,1,1,question
Movies,stackedBar,What is the total worldwide gross earned by each major genre and content rating?,1,1,question
Movies,stackedBar,"For each genre and rating, what is the total world-wide gross earnings?",4,1,question
Movies,stackedBar,How much did each type of movie earn in across the whole world?,5,1,question
Movies,stackedBar,How much money did movies of each genre and rating make?,7,1,question
Movies,groupedBar,"What was the average budget for each content rating and creative type, as multiple column charts",1,1,question
Movies,line,What is the average production budget in each year,2,1,question
Movies,singleAttrBar,Which creative types have the most movies?,2,1,question
Movies,bar,"On average, how much was earned by movies of each genre?",2,1,question
Movies,histogram,How many movies are of each length?,2,1,question
Superstore,scatterFaceted,What is the sales vs profit ratio of the four regions,1,1,question
Superstore,bar,What is the average profit of each state,1,1,question
Superstore,scatterColor,What is the sales vs profit ratio of all the zones,1,1,question
Superstore,groupedBar,What is the average profit of different segments on the ship modes of transport,1,1,question
Superstore,scatter,how much is the profit for sales for each,1,1,question
Movies,bar,What was the average worldwide gross of movies by genre?,1,1,question
Cars,singleAttrBar,how many models are proudced by each country,1,1,question
Cars,line,what is the average weight of cars over time,1,1,question
Movies,bar,How much did major genres gross in total,1,1,question
Cars,histogram,What is the distribution of weight across all cars?,1,1,question
Cars,histogram,How much do various cars weigh?,2,1,question
Cars,histogram,What is the range of weights for all cars?,3,1,question
Superstore,scatterFaceted,What is the correlation between sales and profit by region,1,1,question
Movies,histogram,what's the distribution of running times by movie,2,1,question
Movies,histogram,how many movies are there in 20 minute bins of running time,3,1,question
Movies,singleAttrBar,how many movies are there for each creative type,1,1,question
Movies,singleAttrBar,which creative types had the most movies?,2,1,question
Movies,singleAttrBar,how many films of each creative type,1,1,question
Cars,singleAttrBar,where do the cars originate from?,1,1,question
Cars,line,How does AVG (Weight) evolve over the years?,1,1,question
Cars,groupedBar,How does the acceleration of cars from different countries vary by the number of cylinders?,1,1,question
Cars,scatterFaceted,How does acceleration vary by weight for cars from different regions?,1,1,question
Cars,bar,What is the average MPG for cars with different cylinders?,1,1,question
Cars,bar,How does MPG vary by the number of cylinders in a car?,2,1,question
Cars,scatter,How does acceleration change with horsepower?,1,1,question
Cars,scatter,How does acceleration behave compared to horsepower?,2,1,question
Cars,singleAttrBar,How many cars are from each region?,1,1,question
Cars,scatterColor,"how does MPG compare to displacement, broken out by region?",1,1,question
Cars,scatterColor,"For each region, how does a car's MPG vary with displacement?",2,1,question
Cars,multiLine,How has horsepower changed over time in each region?,1,1,question
Cars,stackedBar,what is the breakdown of cars by the number of cylinders in each region?,1,1,question
Cars,stackedBar,How many cars have various numbers of cylinders in each region?,2,1,question
Cars,line,What is the average weight of cars by model year?,1,1,question
Cars,line,How has the average weight of cars changed over the years?,2,1,question
