code,freq
life expectancy factors,1
implicit categorization,1
progression or development,1
enumerative,4
implicit hierarchy,1
explicit information,1
implicit information,1
specific terminology (gdp),1
implicit reference to statistical data,1
indicative of economic trends,1
quantifier,5
implicit assumption of wealth distribution,1
implicit temporal,1
quantitative data representation,2
progressive tense,1
developmental,1
plural,1
binary oppositions,1
incorrect sentence structure,1
lack of clarity in meaning,1
absence of a verb,1
incorrect usage of punctuation,1
inappropriate capitalization,1
relative pronouns,1
negative progression,1
geographical differentiation,2
geopolitical,1
continents identification,1
data mapping,1
specificity in numbers,1
large scale numbers,1
numerical data representation,1
neutral perspective,1
data provision,1
continents as subjects,1
descriptive nature,1
interrogative form,540
country-specific context,2
color as a descriptor,10
reference to graphical representation,2
geographical context.,2
quantitative analysis.,4
political/economic context,1
collective perspective,1
color reference,2
collective noun usage,1
subject-specific terminology (economy),1
statistical inquiry,25
specific terminology usage,1
indirect question,10
quotation marks,3
future tense implication,3
specific geographical locations,1
percentage and success-related terminology.,1
interrogative nature,1
focus on human behavior and perception,1
implicit assumption of variability in success rates.,1
hypothetical questioning,2
subject-verb-object structure,29
superlative degree,15
motivational,1
color terminology,6
value-based query,1
specific object reference (blue bar),1
questioning,9
percentage-based evaluation,1
interrogative,62
value-oriented,1
"subject-specific terminology (value, orange bar)",1
geographical reference (brazil),1
implicit request for data or information,3
english .,1
grammatical errors,3
unclear subject,1
absence of specific terminology,1
question form,1
possessive structure,3
numerical comparison,1
implicit reference to data analysis,2
religious,2
binary choice,4
controversial,1
religious context,7
inquiry-based,7
slash to indicate alternatives,1
adjectives for qualitative measurement,1
incorrect grammar,4
potential bias,2
subject matter related to religion,2
question format,14
statistical analysis implied,1
comparative analysis implied,1
implicit request for data interpretation,1
specificity in responses,1
"subject-specific terminology (religion, chart, percentage, religious extremism)",1
implicit comparison (smallest percentage),1
quantitative  (,3
subjective qualifiers,1
factual inquiry,23
statistical nature,3
specificity in subject (rwanda),1
population-related terminology,7
specificity (hong kong),1
population density focus,1
urban area specification,1
urban development context,1
singular noun usage,21
"technical terms (maximum, minimum, values)",1
implicit request for explanation,7
"the conjunction ""and",1
organization as a subject,1
comparative degree of adjective,1
media-related context,1
binary classification,1
american context,1
"technical terminology (bar, gallup)",1
request for precise information,1
preposition (of),1
singular noun usage (,1
focus on comparative assessment,2
quantitative evaluation,2
technical terminology (rasmussen reports),1
request for precise information (exact value),1
reference to data visualization,1
risk-related terminology,1
age-specific context,3
focus on risk aversion,1
group comparison,1
implicit assumption of multiple groups,1
superlative degree.,1
age-related terminology,1
quantitative inquiry,71
"inclusive scope (all groups, all years)",1
focus on risk assessment,1
specific age group focus,1
risk-related context,1
age-related categorization,1
consistency measurement,1
focus on comparative analysis,6
implicit reference to data or statistics,1
indefinite pronoun.,1
color specification,5
religious group specification,2
percentage calculation.,1
religious specificity,1
color-based,2
incorrect spelling or typographical error,1
misinterpretation due to homophones,1
potential for offensive misunderstanding,1
ambiguity in meaning,2
singular noun,1
indirect request for explanation,1
group-based inquiry,1
abstract concept (growth),1
comparative degree (least).,1
comparative assessment,5
group-based evaluation,1
static condition focus,1
percentage calculation,1
financial context,14
european union context,2
temporal distinction,1
specificity (specific year and event mentioned),2
"financial terminology (gross contributions, budget)",1
geographical context (,1
focus on geographical location,8
overall temporal scope,1
"specific financial terms (pre rebate, post rebate)",1
specific temporal context (2012),1
"financial context (eu budget, gross contributions, uk rebate",1
financial terminology used,1
interrogative sentence,2
"superlatives (largest, lowest)",1
financial terminology (employer pensions),1
quantitative terminology,2
specificity in subject matter,4
group differentiation,1
racial demographic focus,2
chart terminology,1
racial/ethnic identifiers,1
investment-specific,1
quantitative measure (percent),1
request for specific information (highest percent),1
reference to visual data (chart),1
implicit request for,2
racial terminology,1
racial demographic specification,1
investment-related,1
ethnicity-focused,1
grammatical error,1
ethnic specificity,1
investment-related context,1
future-oriented.,3
general context,2
indirect reference,3
income source specification,1
"technical terminology (data, x-axis)",1
implicit request for information,6
racial/ethnic terminology,1
inclusion of demographic variables,1
sociological context,1
racial specificity,1
inquisitive,2
variable-based inquiry,1
specific racial identifiers,1
the concept of rates in,1
absence of specific,1
unclear subject-object relationship,1
value judgment,1
moral and religious themes,1
hypothetical scenario,1
focus on causality,1
metaphor,1
subjective assessment,2
comparative evaluation,1
singular focus,1
relationship-related,1
lack of specific subject,1
indirect question format,1
interdisciplinary,1
implicit comparative analysis,1
abstract concept (longest on the blue scale),1
indirect reference (the,1
focus on statistical data,1
implicit reference to a specific context or dataset.,1
meteorological,1
personal naming,1
inclusion of proper noun,1
query format,3
political terminology,2
administrative,1
environmental context,1
personal pronoun,3
specific noun (sunshine),1
negative value,1
"subject-specific terminology (administration, rainfall)",1
singular subject focus,6
indirect request for comparative analysis,1
percentage for quantitative measurement,1
proper noun (major administration),1
implicit context requirement for,1
technical terminology (rank),1
numerical reference (1),1
the english,5
negative numerical value,1
"specific terminology (income rank, change in income)",1
implicit comparison or change over time,1
numerical references,1
rank-based assessment,1
positive/negative distinction,1
numerical value,3
technical term (rank),2
the english .,1
numerical reference,9
implicit temporal aspect,1
absence of personal pronouns.,1
lack of specific context,2
neutral stance inquiry,1
chart-based analysis,1
agreement/disagreement terminology,1
implicit assumption of a binary choice,1
summative conclusion,1
article,6
technical terms (y-axis),1
quantitative adjective,1
subject-verb structure,1
technical terminology (x-axis),2
specific terminology related to survey or,1
imperative mood,22
singular form,8
absence of subject,1
verb,1
subjective measurement (strongly agree),1
hypotheticalness,1
quotation marks for emphasis,1
"technical terminology (y-axis, measure)",1
implicit context (graphing or data representation),1
precise terminology,1
evaluative  (strongly agree),1
implicit request for numerical data,2
binary,2
emotional perception,1
community-related,1
technical terminology (all bar),1
comparative  (highest),1
the definite article (the),1
gender-specific focus,1
community-oriented,1
emotional perception-based,1
focus on quantitative data,6
involvement of demographic factors,1
emphasis on emotional aspect,1
community-focused,1
inclusion-oriented,1
emotion-oriented,1
specificity in age group,1
focus on demographic data,7
gender-specific inquiry,1
humanitarian context,5
specific demographic terminology,1
population-based context,2
specific demographic focus (syrian refugees),1
age-specific (12-17 years old),1
geopolitical context,1
humanitarian,2
age-specific categorization,2
inclusion of gender aspect,1
reference to a specific nationality (syrian),1
implies a comparison or,1
specific geographical references,3
"geographical context (us, syrian)",1
"humanitarian context (refugees, donated)",1
involvement of geographical entities,1
geographical context (netherlands),1
humanitarian context (syrian refugees),1
financial context (donation),1
"proper nouns (belgium, ireland)",1
focus on quantitative data (more donations),1
binary choice implied (,1
indirect reference to geographical location,1
implies a need for historical data.,1
collective action,1
mention of specific geographical entities,1
"subject-specific terminology (european commission, donations)",1
implicit context assumption (knowledge about the european commission,1
focus on philanthropic activity,3
macro-economic terminology,1
mis prepositions,2
philanthropic subject,1
macro-economic indicator.,1
past tense implication,1
computational,3
incorrect grammar structure,1
incorrect verb tense,1
lack of clarity in comparative analysis,1
specific geographical focus (netherlands),1
"statistical terminology (gdp, blue line total)",1
philanthropic,1
philanthropic terminology,1
macro-economic indicator,1
auxiliary verb,1
specific country reference,1
incomplete,1
ambiguous,1
open-ended,1
requires context,1
cultural context (japanese public),1
noun,7
implicit request for data,1
cultural context (chinese public),1
indirect communication,1
spatial terms,5
absence of verb,1
non-specific terminology,1
absence of action verb,1
grammatical inaccuracy,1
reference to specific entities (google and apple),1
implicit assumption of measurable difference.,1
color as an adjective,2
definite article.,2
age-specific terminology,1
plural nouns,3
singular nouns,1
numerical terms,1
relative,2
age-specific focus,1
human demographic inquiry,1
human-oriented.,1
comparative degree (lowest),3
specific gender reference (females),1
human demographic focus,1
focused on demographic data,3
specific age group targeted,1
statistical in nature,1
specific gender reference (males),1
temporal reference (age),1
implicit request for statistical information,1
implicit user-computer interaction,1
specific date reference,1
query-based,7
superlative degree usage,1
proper noun (duluth),1
abstract noun (peatland),1
quantifier (how much,1
specific object identification (bar),1
specificity (mentioning a specific place - waseca),1
"subject-specific terminology (crop, yield, waseca)",1
"subject-specific terminology (variety, yield)",1
singular subject form.,1
abstract concept (variety),1
focus on quantitative outcome,1
web-related,1
implicit context requirement,4
"the verb ""represent""",2
implicit context assumption,1
"subject-specific terminology (varieties, barley, sites)",1
implicit comparative analysis (most abundant),1
geographic scope (throughout all sites,1
subject-object structure,2
material terminology,1
technical terminology (x axis),3
specificity in location,1
subject-specific terminology (gabron),1
singular noun usage (gabron),1
plural noun usage (sites),1
definite article,2
proper noun,3
"specific terminology (yield, crop)",1
implicit reference to a data source,1
"specific terminology (yield, no 475)",1
quantitative measure (average),1
"specific terminology (site, yields, varieties)",1
implicit request,2
direct object.,1
implicit context dependency,1
specific terminology (trebi),1
comparative analysis (highest yield),1
"technical terminology (variety, yield, sites)",1
technical terminology (y axis),2
proper noun (grand rapids),1
past tense (was grown),1
specific terminology (glabron),1
"quantifier ""much""",1
"preposition ""in""",1
"noun ""peatland""",1
specificity (mentioning a particular site and variety),1
technical terminology (wisconsin no. 38),1
focus on utility or functionality,1
"subject-specific terminology (barley, yield, crookston)",1
agricultural terminology,1
financial valuation,1
specificity (specific farm and crop mentioned),1
comparative degree (,1
"subject-specific terminology (site, yield, barley)",1
implicit comparison (lowest overall yield),1
direct question format,4
"subject-specific terminology (barley, production, crookston)",1
"singular noun usage (variety, barley)",1
value-seeking,2
specificity in object identification,1
"subject-specific vocabulary (farm, barley)",1
quantitative  (least amount),1
implicit reference to a chart or graph,1
"specific terminology (site, yield, no. 462)",1
indirect request for data analysis,1
unclear reference,1
absence of specific  structure,1
implicit reference to coding or design,1
absence of specific context or object,1
"subject-specific terminology (variety, yield, duluth)",1
implicit comparison (highest yield),1
singular subject (variety),1
ge,1
statistical term (average),2
"domain-specific terminology (yield, varieties)",1
implicit reference to,1
absence of punctuation,2
incomplete sentence structure,1
"specific terminology (yield, trebi)",1
comparative analysis (two highest producers),1
natural phenomena reference,1
specificity in time frame (october),1
weather-related context,1
absence-oriented context,1
numerical quantifier,5
specificity in subject matter (weather types),1
temporal context (,1
the passive voice,1
temporal context.,1
subject-specific terminology (weather),1
meteorological context,1
"specificity (january, snow)",1
geographical entities,1
technical jargon (monotone),1
direct address,8
implicit assumption (all lines should or could be monotone),1
temporal context (year 2009),1
comparative  (higher than),1
specific terminology (gdp,1
temporal specification,3
specific geographical focus,1
abbreviations (pa),1
numerical reference (5),1
specific demographic focus (children under 5),1
"specificity in query (state, least, population)",1
specific age range specified,1
specific age reference,1
category-based inquiry,1
geographical reference (florida),1
age categorization,1
specific age group reference,1
geographic location specific,1
involves geographical context,1
requires numerical comparison,1
age-specific.,1
"specific terminology (state, age range, dominant population)",1
hypothetical assumption (does every,1
demographic information,1
possessive case,1
specific geographical location,2
demographic terms,1
visual data reference,1
indirect object reference,1
legal terminology application,2
numeric quantification,1
specific temporal reference,1
technical terminology (horizontal axis),1
legal terminology usage,1
"temporal markers (2017, 2010)",1
"quantitative terms (many, more)",1
past,1
data interpretation,1
specific company name (infocomm),1
reference to visual information (chart),1
specific time frame (2002-2015),1
industry-specific  (infocomm industry),1
quantitative  (lowest revenue,1
numeric data,1
company-specific,1
numeric reference,1
temporal references (2002 and 2010),1
specific industry terminology (infocomm industry),1
research-related terminology,1
reference to a specific event (r&d expenditures reaching 8000),1
research-specific terminology,1
development-oriented,1
academic terminology,1
future intention implication,2
"subject-specific terminology (engineering, bio sciences)",1
quantitative inquiry (percentage),1
future intention indication (intend to,1
"subject-specific terminology (chemistry, bio science)",1
implicit binary choice,1
specific subject focus,1
"subject-specific terminology (math, phys sci, env design)",1
visual data interpretation (graph),2
focus on comparison,1
transportation focus,1
daily time frame,1
transportation-specific terminology,1
distinction-based,1
focus on public transportation,1
daily frequency context,1
average-based analysis,1
subject-specific terminology (public transportation),2
preposition for relational context,1
specific terminology (bus ridership),1
ordinal numbers (third most),1
implicit comparison (used the most),1
transportation terminology,2
"subject-specific terminology (ridership, mrt)",1
indirect request for data,2
security-related,1
security-focused,1
focus on security,1
platform-based context,1
"subject-specific terminology (software platform, highest value)",1
visual data representation terminology,1
"quantitative term (""many"")",1
"specific terminology (""software platforms"", ""listed"", """,1
cybersecurity context,1
direct communication,1
specificity in request,1
focus on quantitative comparison,1
focused on specific information,1
ranking-based query,1
philanthropic context,1
large scale quantification,1
specificity (referring to a particular chart),1
monetary implication,2
implies a ranking or ordering system.,1
inclusion of specific geographical entities,1
exclusionary clause,1
the superlative degree,1
implies quantitative comparison,1
requires factual response,1
interrogative pronouns,1
inclusion of a specific geographical location,1
abbreviations (prt),1
specific terminology (rating),1
subjective evaluation,1
implicit request for data retrieval,1
specificity in geographical locations,1
evaluation based,1
singular subject structure,1
mathematical terminology,2
absence of adjectives,2
specificity in subject (a country),2
indirect object,1
monetary context,2
range determination,1
numerical quantification,3
"subject-specific terminology (chart, measuring)",1
direct,1
human-centric perspective,1
future continuous tense,1
plural noun,3
focused on quantitative data,1
specific temporal context,1
combination of multiple variables,1
specificity in service cost,2
abbreviations (bbc),2
numerals (3),1
specificity (bbc radio 3),1
subject-specific terminology (bbc radio 1),1
request for specific information (value),1
direct address to an information system,1
implicit expectation,1
direct question,1
economic aspect,1
service-oriented,1
prepositions (for),1
definite articles (the),1
numeric representation.,1
monetary value reference,1
specific group identification,2
democratic system,1
specific group focus,1
human-centered question,1
specificity in naming subjects,1
prepositions for relational context,2
geographical terminology,2
definite articles,1
subject-specific terminology (yamato flat inland plain),1
quantitative inquiry (value of the bar),1
singular subject focus (the,1
lack of technical terminology,1
specificity in location names,1
specific location (yamato flat inland plain),1
specific location reference,1
approximation,2
population-related query,1
specificity in location (gojo yoshino),1
chart-related,1
specificity (danish capital region),1
human  (english),1
focus on population,1
negative connotation (least),1
indirect reference to a specific location,1
comparative analysis.,1
specific regional reference,1
quantitative information request,1
population-focused.,1
general vocabulary,1
specific terminology (danish capital region),1
"technical terminology (length, perl, bird, category)",1
"subject-specific vocabulary (bird, shortest, length)",1
specificity in naming categories,1
subject-specific terminology (dill bird category),1
measurement-related  (length),1
indirect request for information,1
specificity in referencing categories,1
measurement inquiry,1
scientific context (ohm),1
indirect object structure,1
specificity in question (longest in length),1
definite article (,1
absence of technical terminology,1
simple structure,2
the sentence is interrogative,1
the sentence is comparative,1
the sentence involves geographical names,1
the sentence involves measurement (length),1
the sentence contains parenthetical,1
biological terminology,5
colon for clarification,1
inclusion of specific geographical locations,2
biological terminology usage,1
subject-focused,1
interrogative sentence structure,1
biological taxonomy reference,1
subject-specific terminology (bird species),1
"geographical references (guatemala, honduras)",1
superlative (,1
"subject-specific vocabulary (bird species, panama)",1
quantitative question,1
"specific terminology (passengers, handled, bristol)",1
request for quantitative data,1
implicit reference,1
third person,1
specificity (belfast city),1
subject-verb-object syntax,1
inclusion of personal names,1
personal,1
personal noun usage,1
competitive context,1
personal identification,2
inclusion of specific personal names,2
percentage and mathematical concepts,1
technical term (percentage),1
implicit context required for understanding.,1
personal pronoun usage,1
proper noun usage,1
numerical concept.,1
possessive determiner,1
third person singular,1
proper noun.,1
percentage as a measurement unit,1
quantitative measure (percentage points),1
comparative structure (most),1
comparative term,1
sports-related context,6
sports-related terminology,6
comparative degree usage,1
sports-related terminology.,1
focus on quantity,1
quantity-related vocabulary,1
"subject-specific  (sports, finance)",1
proper noun (cleveland cavaliers),1
comparison structure,1
specific team names,1
a mathematical concept (difference in points),1
specificity (mentioning specific basketball teams),1
subject-specific  (sports),1
indirect request,3
location-specific,1
specific team name,1
numerical inquiry,1
"specificity in entities (detroit pistons, cleveland cavaliers)",1
"subject-specific terminology (basketball team, value, graph)",1
quantitative analysis (least value),1
focus on performance,1
the noun phrase.,1
command,25
graphic,2
interactive,42
user-centered,4
task-oriented,20
visual representation terms,2
categorical data terms,1
absence of verbs,3
nouns related to the film industry,1
command-oriented,166
business intelligence,6
genre-specific,11
command-based,76
visualization-oriented,16
user-friendly,8
casual,1
hypothesis testing,1
"subject-specific terminology (heavy cars, dataset)",1
implicit request for data analysis,2
singular-plural structure,1
singular-focused,1
movie rating,2
film industry-specific,25
numeric,1
data visualization-focused,27
comparative analysis-based,1
categorization-oriented,1
"subject-specific terminology (cylinder cars, fuel economy)",1
implicit comparison (highest),1
future-oriented (have),1
action-specific,21
data-focused,45
data visualization terminology,1
domain-specific,13
indicative of quantitative data analysis,1
implies a comparative,1
commanding,65
analysis-driven,1
user-centeredness,1
open-ended request,1
automotive context,1
entertainment industry-specific,2
creative industry-specific,1
direct command,2
short sentence,1
functionality,6
common english words,1
specific terminology related to finance,1
user-centric,2
visualization-focused,16
time-sensitive,5
business metrics,1
statistical tool,2
computer programming,4
user interaction,1
graphic design,1
operational,5
countable,1
region-specific,8
status-based,1
shipping industry,2
geographical relevance,1
syntax-based,1
visualization,16
entertainment industry specific,3
production-related,2
aggregation,4
grouping,5
sub-grouping,1
data categorization,8
hierarchical organization,1
aggregative,2
task-specific,13
database query,6
directive,4
instructional tone,2
data organization,3
charting,1
function-specific,4
action-driven,34
temporal-based,3
film industry,6
specificity in instructions,1
clarity in communication,1
data,2
visualization-centric,2
function-based,4
organizational,2
imperative form,8
noun as object,1
temporal reference.,1
direct interaction,2
information retrieval,1
relational,1
rating-related,2
website-specific,1
categorizing,1
subject matter related to mechanical engineering,1
"technical terms (horsepower, acceleration)",1
seeking a relationship or correlation,1
implicitly,1
investigative,2
spreadsheet,1
data representation,2
visual representation-focused,6
business terminology-inclusive,2
data analysis-related,2
visualization terminology,2
non-specific,2
spatial organization,1
aggregated data request,1
rating system-specific,2
task-focused,5
visualization-related,10
film review,4
inquiry,1
model-specific,2
"subject-specific terminology (movie, production budget, content rating)",1
implicit comparison (highest production budget),1
temporal aspect (had),1
"subject-specific terminology (major genre, highest average worldwide gross)",1
implicit temporal context (had implies past tense),1
"specificity in subject matter (major genre, lowest average worldwide gross)",1
industry-related,1
"subject-specific terminology (movies, creative type)",2
singular-plural contrast,1
"subject-specific terminology (creative type, movies)",1
implicit comparison (the most),2
specificity (referring to a particular group - creative type),1
"technical terms (production budget, worldwide gross, content rating)",1
focus on correlation or relationship,1
specificity (each content,1
"subject-specific terminology (distribution, running times, movie)",1
implicit comparison (each movie),1
"quantitative  (distribution, times)",1
"specific terminology (imdb rating, rotten tomatoes rating)",1
hypothesis generation,1
"simple,",1
"subject-specific terminology (cylinders, cars, manufactured)",1
comparative structure (different countries),1
cross-cultural,1
actionable,3
singular and plural noun usage,2
"subject-specific terminology (mileage, cars, cylinders)",1
implicit comparison (based on the number of cylinders),1
"technical terminology (cylinder count, mileage)",1
"implicit comparison (higher, lower)",1
assumption-based (assumes a relationship between,1
subject matter related to automotive industry,1
involves a relationship or correlation,1
requires quantitative analysis,1
utilizes technical terms (mile,1
categorical terms,1
categorical aspect,1
transactional context,2
category-based,3
quantitative measure (average profit),2
geographical context (each state),2
economic context (profit),2
singular noun usage (the,1
specificity in instruction,2
data-specific,6
data-centric,3
specificity in subject matter (orders and order quantity),1
preposition for,1
sql-like,1
unambiguity,1
unidimensional,1
functional,12
classification,1
order of importance,1
visual-centric,1
direct.,1
syntax of a programming,3
mathematical functions,2
parentheses to indicate function parameters,1
capital letters to denote specific variables or functions,1
graphical representation focused,1
unambiguous,1
parentheses to denote function parameters,1
capital letters for function names,1
variable,1
status indication,1
data retrieval,4
request-oriented,1
requesting,1
outcome-focused,3
english-based syntax,1
two-variable relationship,1
graphical plotting,1
command-driven,2
syntax-specific,1
data manipulation,25
relational database oriented,1
grouping-based,3
multivariate analysis,1
graphical interpretation,1
data segmentation,4
web platform,1
query,24
data visualization-oriented,1
simplified syntax,2
attribute-based,1
function-oriented,2
function-driven,1
parameter-based,1
spatially-aware,1
specificity-focused,3
spatial-oriented,1
quantitative-oriented,1
predictive analytics,1
time-series data,1
business intelligence-related,1
color-coding involved,1
action verb,3
"subject-specific terminology (mpg, cylinder type)",1
"comparative analysis (varies, different)",1
subject-specific (weight),1
jargon,1
"specific terminologies (cars, produced, origin, cylinders)",1
implicit user intent,1
multivariate request,1
multivariate,2
data categorization terms,1
color as a distinguishing factor,1
geographical aspect,1
categorization-based,1
temporal phrase,1
film industry jargon,2
absence of specific context,1
mis terminology,1
english-based,2
"specific terminology (average production budget, movies, year)",1
category-specific,4
time-based,1
specific industry terminology,1
aggregation function,1
pairing or grouping,1
profit calculation,1
subject-specific  (movie genre),1
economic  (gross),1
comparative  (most),1
global perspective  (worldwide),1
customizable,1
natural,2
"proper nouns (imdb, rotten tomatoes)",1
conjunction (and),1
nouns (rating),1
visualization-specific,5
context-aware,1
specificity in subject (products),1
quantitative measurement (quantity ordered),1
specificity (referring to 'single quantity'),1
business terminology (products,1
automotive specific,1
"industry-specific terminology (orders, product category)",1
distributive,1
"subject-specific terminology (worldwide gross distribution, genre)",1
progressiveness,1
specific domain  (automotive),1
database interaction,1
simplified-syntax,1
direct object usage,1
verb-object structure,1
user-generated content .,1
genre categorization,1
sales-focused,1
data grouping,2
color-coding,4
broad,2
general,1
cross-disciplinary,1
comparison (vs.),1
categorization (cluster),1
geographical context (region),1
semantic clarity,3
noun usage,1
instructional nature,1
quantitative focus,1
non-specificity,1
absence of clear subject-object relationship,1
non-latin script,1
context-specific interpretation,1
cultural significance,1
north american cultural context,1
short form or abbreviation,1
national identity,1
"specific jargon (rotten tomatoes rating, imdb rating)",1
future,1
genre and rating classification,1
entertainment industry,2
aggregate,4
temporal reference (each year),1
subject matter (production budget),1
implicit reference to a specific,1
rating system,3
"subject-specific terminology (creative types, movies)",1
singular form (the most movies),1
action-based,1
numerical implication,1
categorical implication,1
inclusion of specific subject (movies),1
classification by category (genre),1
subject-specific (movies),1
length-based categorization,1
implicit request for data aggregation,1
length-based,1
transport-related,1
singular and plural elements,1
noun phrase,2
abbreviation-utilizing,1
interactive engagement,1
information simplification,1
user-friendly interface,1
grouping function,1
origin-based classification,1
comparison-based,2
platform-specific,2
functions/methods,1
application in data manipulation,1
parentheses to enclose parameters,1
spaces for readability,1
graphical format,1
quantitative information display,1
frequency distribution depiction,1
genre-based categorization,1
content rating,1
financial analysis,3
informational,2
database,1
calculation-focused,1
syntax,1
command in data analysis,1
orderly,1
sequential structure,1
data analysis tool,1
graphical technique,1
quantitative data display,1
film industry terminology,1
aggregation function usage,2
data sorting instruction,2
geographic data reference,1
business metric reference,1
visualization instruction,1
absence of clear syntax,1
presence of action words,1
data aggregation,1
sorting,2
noun as adjective,1
typographical errors,1
lack of technical jargon,1
generalized terminology,1
content-specific,3
user interface,1
nouns to denote specific categories,1
action,1
aggregate data inquiry,1
graphical representation-oriented,1
grouping-oriented,1
categorical distinction,2
content-focused,1
grouping-enabled,1
comparative analysis-oriented,1
colons for assignment,1
"specific terminology (origin, colors)",1
geographical and,1
quantitative measure (weight),1
comparative term (various),1
general topic (cars,1
"subject-specific terminology (range, weights, cars)",1
implicit request for quantitative data,1
direct address.,1
data categorization-focused,1
grouping and categorization,1
plural forms,1
simple syntax,1
sales-oriented,1
structure-oriented,1
geographical segmentation,2
business analytics-related,3
profit and sales-oriented,1
business analytics,1
data visualization specific,1
legend-based categorization,1
domain-specific  (film industry),1
specific data points,1
reference to popular culture databases,1
media-focused context,1
dual-entity evaluation,1
segment-specific,1
mode-based,1
sorting-specific,1
film industry specific,1
request for categorized data,1
specificity (referring to 'creative types' and 'most movies,1
logistics-related,1
color-coded data,1
grouped data,1
multivariate display,1
entity-specific,1
order-specific,1
compound nouns,1
absence of action verbs,1
business operation,1
linguistic simplicity,1
creative-focused,1
subject-object-verb structure,1
preposition at the end,1
direct object,1
prepositional phrase,2
of instruction,1
of origin,1
of interpretation,1
of communication,1
of coding,1
objective-focused,1
quantitative communication,1
film industry-specific terminology.,1
contextual relevance,1
logical structure,1
media production,1
content analysis,1
average calculation-related,1
visual data representation,2
rating classification,2
data querying,1
time-series analysis,1
film rating-specific,1
action words,1
common,1
common business terminology,1
absence of grammatical structure,1
no clear subject or object,1
"subject-specific terminology (mpg, cylinders)",1
implicit assumption of variable correlation,1
noun-focused structure,1
absence of action,1
subject matter related to physics,1
"technical terms (acceleration, horsepower)",1
implies a cause-effect relationship,1
requires quantitative,1
"physical properties focus (acceleration, horsepower)",1
implicit reference to a system or mechanism,1
quantitative assessment.,1
subject-specific (automobiles),1
generalized scope,1
"technical terminology (mpg, displacement)",1
implicit request for data visualization,1
mechanical terminology,1
subject-specific (automotive industry),1
