sentences,axes,axes2,ptypes,dnames,vids,scores,scores2
"""You know, a chart with 'Profit' on one side and 'Sales' on the other would be cool.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,2,1
"""Could you make a chart? 'Profit' on one axis, 'Sales' on the other.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,3,1
"""Please make a chart with 'Profit' on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,4,1
"""I need you to create a chart. 'Profit' should be on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,5,1
"""How about making a chart with 'Profit' and 'Sales'?""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,1,2
"""Think you could put together a chart? 'Profit' and 'Sales' should be on it.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,2,2
"""Could you create a chart? 'Profit' on the x-axis, 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,3,2
"""Please create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,4,2
"""I request you to create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,5,2
"""A chart with 'Profit' and 'Sales' would be helpful.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,1,3
"""Could you possibly create a chart? 'Profit' and 'Sales' should be included.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,2,3
"""Would you be able to create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis?""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,3,3
"""Please create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,4,3
"""I would like you to create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,5,3
"""A chart with 'Profit' and 'Sales' would be beneficial.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,1,4
"""Could you consider creating a chart? It should have 'Profit' and 'Sales'.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,2,4
"""Would you kindly create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis?""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,3,4
"""Please create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,4,4
"""I require you to create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,5,4
"""A chart with 'Profit' and 'Sales' would be advantageous.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,1,5
"""Could you contemplate creating a chart? It should incorporate 'Profit' and 'Sales'.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,2,5
"""Would you be so kind as to create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis?""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,3,5
"""Please create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,4,5
"""I necessitate you to create a chart with 'Profit' on the x-axis and 'Sales' on the y-axis.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatter,5,5
"Can you make a simple graph for me? Just put ""Profit"" on the side going across and ""Sales"" on the side going up. I think it'll look good.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,1,1
"I reckon you should make a simple graph with ""Profit"" going across and ""Sales"" going up.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,2,1
"You should make a graph with ""Profit"" on the horizontal line and ""Sales"" on the vertical line.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,3,1
"It is necessary to create a graph with ""Profit"" on the horizontal axis and ""Sales"" on the vertical axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,4,1
"Create a graph with ""Profit"" on the horizontal axis and ""Sales"" on the vertical axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,5,1
"I feel like you should construct a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,1,2
"I think it would be beneficial to construct a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,2,2
"It would be beneficial to construct a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,3,2
"Construct a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,4,2
"A point chart should be constructed with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,5,2
"I believe you should generate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,1,3
"It seems to me that generating a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis would be a good idea.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,2,3
"Generate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,3,3
"The task is to generate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,4,3
"The requirement is to generate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,5,3
"I suggest you fabricate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,1,4
"It would be advisable to fabricate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,2,4
"Fabricate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,3,4
"The directive is to fabricate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,4,4
"The instruction is to fabricate a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,5,4
"I propose you synthesize a point chart with ""Profit"" as the abscissa and ""Sales"" as the ordinate.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,1,5
"It would be prudent to synthesize a point chart with ""Profit"" as the abscissa and ""Sales"" as the ordinate.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,2,5
"Synthesize a point chart with ""Profit"" as the abscissa and ""Sales"" as the ordinate.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,3,5
"The mandate is to synthesize a point chart with ""Profit"" as the abscissa and ""Sales"" as the ordinate.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,4,5
"The directive is to synthesize a point chart with ""Profit"" as the abscissa and ""Sales"" as the ordinate.",Non-technical-Technical,Subjective-Objective,command,superstore,scatter,5,5
Can you make a simple graph with money made on the bottom and items sold on the side?,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,1,1
"You know, a simple graph with money made and items sold would be helpful.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,2,1
Please make a graph with money made and items sold.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,3,1
I need you to make a graph. Money made should be on the bottom and items sold on the side.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,4,1
"Make a graph. Money made on the bottom, items sold on the side.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,5,1
"Maybe you could put together a graph, with profit and sales?",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,1,2
A graph with profit and sales would be good.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,2,2
Please create a graph with profit and sales.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,3,2
I need a graph with profit on the x-axis and sales on the y-axis.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,4,2
"Create a graph. Profit on the x-axis, sales on the y-axis.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,5,2
"Could you possibly construct a point chart, with profit and sales as the variables?",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,1,3
A point chart with profit and sales would be beneficial.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,2,3
Please construct a point chart with profit and sales.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,3,3
I require a point chart with profit on the x-axis and sales on the y-axis.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,4,3
"Construct a point chart. Profit on the x-axis, sales on the y-axis.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,5,3
"Could you generate a point chart, with profit as the independent variable and sales as the dependent variable?",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,1,4
A point chart with profit as the independent variable and sales as the dependent variable would be useful.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,2,4
Please generate a point chart with profit as the independent variable and sales as the dependent variable.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,3,4
I need a point chart with profit as the independent variable and sales as the dependent variable.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,4,4
"Generate a point chart. Profit as the independent variable, sales as the dependent variable.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,5,4
Could you possibly instantiate a Cartesian coordinate system with profit as the abscissa and sales as the ordinate?,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,1,5
A Cartesian coordinate system with profit as the abscissa and sales as the ordinate would be advantageous.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,2,5
Please instantiate a Cartesian coordinate system with profit as the abscissa and sales as the ordinate.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,3,5
I require a Cartesian coordinate system with profit as the abscissa and sales as the ordinate.,Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,4,5
"Instantiate a Cartesian coordinate system. Profit as the abscissa, sales as the ordinate.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatter,5,5
"I feel like it would be a good idea if we could maybe have a chart, you know, with ""Profit"" somewhere on the horizontal line and ""Sales"" somewhere on the vertical line. What do you think?",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,1,1
"I think it would be interesting to see a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis, don't you?",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,2,1
"I believe it would be beneficial to create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,3,1
"I suggest we make a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,4,1
"Let's create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,5,1
"It might be helpful to have a chart, perhaps with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,1,2
"How about we create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,2,2
"It would be useful to create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,3,2
"We should create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,4,2
"Create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,5,2
"A chart could be useful, maybe with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,1,3
"What if we create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis?",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,2,3
"It's a good idea to create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,3,3
"We need to create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,4,3
"Create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,5,3
"A chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis could be beneficial.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,1,4
"Consider creating a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,2,4
"It's recommended to create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,3,4
"We must create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,4,4
"Create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,5,4
"A chart, ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,1,5
"Create a chart, ""Profit"" on the x-axis, ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,2,5
"It's necessary to create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,3,5
"Create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis immediately.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,4,5
"Create a chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,scatter,5,5
"It's a simple dot graph, with money made on the side-to-side line and stuff sold on the up-and-down line.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,1,1
"It's a dot graph, with profit on the horizontal line and sales on the vertical line.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,2,1
"It's a scatter plot, with profit on the x-axis and sales on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,3,1
"It's a scatter plot, with profit margins on the x-axis and sales volume on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,4,1
"It's a scatter plot, with net profit margins on the abscissa and sales volume on the ordinate.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,5,1
It's a graph with profit on the side line and sales on the top line.,Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,1,2
"It's a graph, with profit on the horizontal axis and sales on the vertical axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,2,2
"It's a point chart, with profit on the x-axis and sales on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,3,2
"It's a point chart, with profit margins on the x-axis and sales volume on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,4,2
"It's a point chart, with net profit margins on the x-axis and sales volume on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,5,2
It's a chart with profit on the horizontal line and sales on the vertical line.,Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,1,3
"It's a chart, with profit on the x-axis and sales on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,2,3
"It's a point chart, with profit on the x-axis and sales on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,3,3
"It's a point chart, with profit margins on the x-axis and sales volume on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,4,3
"It's a point chart, with net profit margins on the x-axis and sales volume on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,5,3
It's a diagram with profit on the horizontal axis and sales on the vertical axis.,Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,1,4
"It's a diagram, with profit on the x-axis and sales on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,2,4
"It's a point chart, with profit on the x-axis and sales on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,3,4
"It's a point chart, with profit margins on the x-axis and sales volume on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,4,4
"It's a point chart, with net profit margins on the x-axis and sales volume on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,5,4
It's a graph with profit on the horizontal axis and sales on the vertical axis.,Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,1,5
"It's a graph, with profit on the x-axis and sales on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,2,5
"It's a point chart, with profit on the x-axis and sales on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,3,5
"It's a point chart, with profit margins on the x-axis and sales volume on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,4,5
"It's a point chart, with net profit margins on the x-axis and sales volume on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatter,5,5
"""So, we got this graph thingy, right? Money's on the side-to-side and sales are on the up-and-down. Just my two cents.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,1,1
"""Look at this graph, profits are on the horizontal and sales are on the vertical. That's what I think.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,2,1
"""This graph here, it's got profits on the horizontal line and sales on the vertical. That's the fact.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,3,1
"""In this chart, profits are represented on the x-axis and sales on the y-axis. That's an unbiased observation.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,4,1
"""This chart represents profits on the x-axis and sales on the y-axis. This is a factual representation.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,5,1
"""This chart, right? Profits are on the x and sales are on the y. That's my take.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,1,2
"""On this chart, profits are on the x-axis and sales are on the y-axis. That's my interpretation.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,2,2
"""This chart shows profits on the x-axis and sales on the y-axis. That's the information.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,3,2
"""The chart illustrates profits on the x-axis and sales on the y-axis. This is an objective statement.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,4,2
"""The chart accurately depicts profits on the x-axis and sales on the y-axis. This is a factual statement.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,5,2
"""This chart, it's got profits on the x-axis and sales on the y-axis. That's my opinion.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,1,3
"""In this chart, we see profits on the x-axis and sales on the y-axis. That's my perspective.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,2,3
"""This chart presents profits on the x-axis and sales on the y-axis. That's the data.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,3,3
"""The chart displays profits on the x-axis and sales on the y-axis. This is an unbiased description.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,4,3
"""The chart clearly indicates profits on the x-axis and sales on the y-axis. This is a factual description.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,5,3
"""The chart, in my opinion, has profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,1,4
"""In my interpretation, the chart has profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,2,4
"""The chart, as per the data, has profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,3,4
"""The chart objectively has profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,4,4
"""The chart factually represents profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,5,4
"""The chart, in my subjective view, represents profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,1,5
"""In my interpretation, the chart represents profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,2,5
"""The chart, according to the data, represents profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,3,5
"""The chart objectively represents profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,4,5
"""The chart factually and accurately represents profits on the x-axis and sales on the y-axis.""",Colloquial-Standard,Subjective-Objective,query,superstore,scatter,5,5
"""You know, that thing with the dots, where money's on the side and stuff we sell's going up.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,1,1
"""You know, that graph thingy, where profit's on the side and sales are going up.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,2,1
"""You know, that chart, where profit's on the horizontal and sales are on the vertical.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,3,1
"""You know, that point chart, where profit's on the x-axis and sales are on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,4,1
"""You know, that scatter plot, where profit is plotted on the x-axis and sales are plotted on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,5,1
"""That chart, you know, with profit on one side and sales on the other.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,1,2
"""That chart, you know, with profit on the horizontal and sales on the vertical.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,2,2
"""That chart, you know, with profit on the x-axis and sales on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,3,2
"""That point chart, with profit on the x-axis and sales on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,4,2
"""That scatter plot, with profit plotted on the x-axis and sales plotted on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,5,2
"""The chart, with profit on one side and sales on the other.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,1,3
"""The chart, with profit on the horizontal and sales on the vertical.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,2,3
"""The chart, with profit on the x-axis and sales on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,3,3
"""The point chart, with profit on the x-axis and sales on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,4,3
"""The scatter plot, with profit plotted on the x-axis and sales plotted on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,5,3
"""The graph, with profit on one axis and sales on the other.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,1,4
"""The graph, with profit on the horizontal axis and sales on the vertical axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,2,4
"""The graph, with profit on the x-axis and sales on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,3,4
"""The point graph, with profit on the x-axis and sales on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,4,4
"""The scatter plot graph, with profit plotted on the x-axis and sales plotted on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,5,4
"""The diagram, with profit on one axis and sales on the other.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,1,5
"""The diagram, with profit on the horizontal axis and sales on the vertical axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,2,5
"""The diagram, with profit on the x-axis and sales on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,3,5
"""The point diagram, with profit on the x-axis and sales on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,4,5
"""The scatter plot diagram, with profit plotted on the x-axis and sales plotted on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatter,5,5
This graph shows how much money we make compared to how much we sell.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,1,1
The graph shows the relationship between our profits and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,2,1
The graph represents the correlation between profit and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,3,1
The graph illustrates the quantitative relationship between profit and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,4,1
The graph depicts a quantitative analysis of profit versus sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,5,1
This diagram shows how our earnings increase with our sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,1,2
The diagram shows a positive correlation between our earnings and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,2,2
The diagram represents the correlation between earnings and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,3,2
The diagram illustrates the quantitative relationship between earnings and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,4,2
The diagram depicts a quantitative analysis of earnings versus sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,5,2
This scatter plot shows how our revenue increases with our sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,1,3
The scatter plot shows a positive correlation between our revenue and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,2,3
The scatter plot represents the correlation between revenue and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,3,3
The scatter plot illustrates the quantitative relationship between revenue and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,4,3
The scatter plot depicts a quantitative analysis of revenue versus sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,5,3
This Cartesian coordinate system shows how our net income increases with our sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,1,4
The Cartesian coordinate system shows a positive correlation between our net income and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,2,4
The Cartesian coordinate system represents the correlation between net income and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,3,4
The Cartesian coordinate system illustrates the quantitative relationship between net income and sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,4,4
The Cartesian coordinate system depicts a quantitative analysis of net income versus sales.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,5,4
This point chart shows how our fiscal gain increases with our sales volume.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,1,5
The point chart shows a positive correlation between our fiscal gain and sales volume.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,2,5
The point chart represents the correlation between fiscal gain and sales volume.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,3,5
The point chart illustrates the quantitative relationship between fiscal gain and sales volume.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,4,5
The point chart depicts a quantitative analysis of fiscal gain versus sales volume.,Non-technical-Technical,Subjective-Objective,query,superstore,scatter,5,5
"""Imagine a picture where money made is on the side and how much we sell is going up.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,1,1
"""Think of a graph where we track money on one side and sales on the other.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,2,1
"""We have a graph here, with profit on one side and sales on the other.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,3,1
"""This is a graph, with profit on the horizontal line and sales on the vertical line.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,4,1
"""This is a chart, with profit plotted on the x-axis and sales plotted on the y-axis.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,5,1
"""Consider a diagram with earnings on one line and sales volume on the other.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,1,2
"""We're looking at a diagram where we track earnings and sales.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,2,2
"""This diagram shows earnings on the horizontal line and sales on the vertical line.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,3,2
"""This is a diagram, with earnings on the x-axis and sales on the y-axis.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,4,2
"""This diagram plots earnings on the x-axis and sales volume on the y-axis.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,5,2
"""Picture a graph with profit on one axis and sales on the other.""",Non-technical-Technical,Implicit-Explicit,query,superstore,scatter,1,3
