commands,axes,ptypes,dnames,vids,scores
"The point chart displays 'Sales' vs 'Profit' for 'Central', 'East', 'West', 'South'.",Subjective-Objective,query,superstore,scatterFaceted,5
"The point chart of 'Sales' vs 'Profit' by 'Central', 'East', 'West', 'South' seems to be a good representation of the company's financial status.",Subjective-Objective,query,superstore,scatterFaceted,3
"You know, that chart with the different regions and how they're doing in terms of sales and profit.",Implicit-Explicit,query,superstore,scatterFaceted,1
"Looking at the point chart, there could be a possible relationship between 'Sales' and 'Profit' across 'Central', 'East', 'West', 'South'. What are your thoughts?",Subjective-Objective,question,superstore,scatterFaceted,3
"What do you think the point chart is trying to tell us about how 'Sales' and 'Profit' are related in 'Central', 'East', 'West', 'South'? I feel like there's a story there.",Subjective-Objective,question,superstore,scatterFaceted,1
"What does the point chart elucidate about the correlation between 'Sales' and 'Profit' across the regions 'Central', 'East', 'West', 'South'?",Colloquial-Standard,question,superstore,scatterFaceted,5
"Could you make a chart for me? It should have dates and sales, and don't forget to break it down by category.",Implicit-Explicit,command,superstore,multiLine,2
"Make a graph with the date of the order along the bottom and the total sales going up the side, and show the different categories.",Non-technical-Technical,command,superstore,multiLine,1
I need a chart with dates and sales. Make sure to differentiate it by category.,Implicit-Explicit,command,superstore,multiLine,3
"Construct a graph with the order date on the horizontal line and the total sales on the vertical line, and distinguish it by category.",Non-technical-Technical,command,superstore,multiLine,3
"Generate a line graph with the order date on the horizontal axis and the sum of sales on the vertical axis, and differentiate it by category.",Non-technical-Technical,command,superstore,multiLine,4
"I think you should make a line chart with 'Order Date' on the x-axis and the total 'Sales' on the y-axis, and it would be really cool if you could differentiate it by 'Category'.",Subjective-Objective,command,superstore,multiLine,1
"It would be appropriate to create a line chart with 'Order Date' on the x-axis and the sum of 'Sales' on the y-axis, differentiated by 'Category'.",Subjective-Objective,command,superstore,multiLine,4
"Plot a line chart with 'Order Date' as the horizontal axis and the aggregate of 'Sales' as the vertical axis, distinguished by 'Category'.",Colloquial-Standard,command,superstore,multiLine,4
"Can you put together a chart for me? You know, the one with dates and sales, and make sure to separate it by category.",Implicit-Explicit,command,superstore,multiLine,1
"Generate a line chart with 'Order Date' represented on the abscissa and the summation of 'Sales' on the ordinate, differentiated by the variable 'Category'.",Colloquial-Standard,command,superstore,multiLine,5
Please create a chart. The x-axis should have the order date and the y-axis should have the sum of sales. Differentiate it by category.,Implicit-Explicit,command,superstore,multiLine,4
"Construct a line graph with 'Order Date' on the horizontal axis and the sum of 'Sales' on the vertical axis, divided by 'Category'.",Colloquial-Standard,command,superstore,multiLine,3
"A graph showing dates, total sales, and categories.",Colloquial-Standard,query,superstore,multiLine,2
"A graph with dates, total sales, and types of stuff.",Colloquial-Standard,query,superstore,multiLine,1
"In my opinion, this line chart, which represents the sum of sales by category over time, is a pretty good way to display our data.",Subjective-Objective,query,superstore,multiLine,2
"A graph showing the total sales for each category, month by month.",Non-technical-Technical,query,superstore,multiLine,1
"Can you look at that chart with the lines, dates, sales, and categories?",Implicit-Explicit,query,superstore,multiLine,2
"A line chart that plots the cumulative sales for each category, categorized by the order date in a month-year format.",Non-technical-Technical,query,superstore,multiLine,4
The line chart displays the sum of sales by category over time.,Subjective-Objective,query,superstore,multiLine,5
"Please analyze the line chart which clearly illustrates the sum of sales and categories, organized according to the order date in a month-year format.",Implicit-Explicit,query,superstore,multiLine,5
What is the variation in the total sales for each category over time?,Subjective-Objective,question,superstore,multiLine,5
What changes can we observe in the sales of each category over time?,Implicit-Explicit,question,superstore,multiLine,3
Can you see any patterns in the sales of each category over time?,Implicit-Explicit,question,superstore,multiLine,2
Draw a bar graph with 'Running Time' along the bottom and the total number of items up the side.,Non-technical-Technical,command,movies,histogram,2
Maybe you could put together a visual with 'Running Time' along the bottom and the number of records going up the side?,Implicit-Explicit,command,movies,histogram,1
Can you make a chart? Use 'Running Time' for the horizontal axis and the count of records for the vertical one.,Implicit-Explicit,command,movies,histogram,3
Construct a bar graph with 'Running Time' as the horizontal label and the total count of items as the vertical label.,Non-technical-Technical,command,movies,histogram,3
Generate a bar graph with 'Running Time' as the x-axis label and the aggregate count of records as the y-axis label.,Non-technical-Technical,command,movies,histogram,4
Please make a chart. 'Running Time' should be on the horizontal axis and the count of records on the vertical axis.,Implicit-Explicit,command,movies,histogram,4
Generate a bar chart with 'Running Time' as the x-axis and the quantity of records as the y-axis.,Colloquial-Standard,command,movies,histogram,4
I think you should make a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis. It would look really good.,Subjective-Objective,command,movies,histogram,1
How about making a visual representation with 'Running Time' as the base and the number of records as the height?,Implicit-Explicit,command,movies,histogram,2
I feel like a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis would be a good idea.,Subjective-Objective,command,movies,histogram,2
Implement a bar chart visualization with 'Running Time' designated as the x-axis parameter and the cumulative count of data records as the y-axis parameter.,Non-technical-Technical,command,movies,histogram,5
Whip up a bar graph with 'Running Time' on the bottom line and the number of records on the side line.,Colloquial-Standard,command,movies,histogram,1
It might be beneficial to create a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis.,Subjective-Objective,command,movies,histogram,3
Make a bar graph with 'Running Time' on the x-axis and the tally of records on the y-axis.,Colloquial-Standard,command,movies,histogram,2
Construct a bar chart with 'Running Time' on the horizontal axis and the count of records on the vertical axis.,Colloquial-Standard,command,movies,histogram,3
It is suggested to create a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis.,Subjective-Objective,command,movies,histogram,4
Construct a bar chart. The x-axis must represent 'Running Time' and the y-axis must represent the count of records.,Implicit-Explicit,command,movies,histogram,5
The bar chart labeled 'Running Time' displays the total count of records.,Implicit-Explicit,query,movies,histogram,5
The bar chart shows the count of records over time.,Implicit-Explicit,query,movies,histogram,4
"The bar chart, 'Running Time', appears to represent the count of records.",Subjective-Objective,query,movies,histogram,4
Look at the time and count.,Implicit-Explicit,query,movies,histogram,2
"I feel like this bar chart, titled 'Running Time', is showing us the number of records.",Subjective-Objective,query,movies,histogram,1
The quantity of data points represented in the 'Running Time' bar chart.,Non-technical-Technical,query,movies,histogram,3
The enumeration of records depicted in the 'Running Time' bar chart.,Non-technical-Technical,query,movies,histogram,5
"A bar diagram designated as 'Running Time', enumerating the count of records",Colloquial-Standard,query,movies,histogram,5
The amount of items shown in the 'Running Time' bar chart.,Non-technical-Technical,query,movies,histogram,2
Determine the number of records for each 'Running Time' in the bar chart.,Subjective-Objective,question,movies,histogram,5
What is the distribution of each 'Running Time' in the bar chart?,Non-technical-Technical,question,movies,histogram,4
What's the frequency of each 'Running Time' in the bar chart?,Non-technical-Technical,question,movies,histogram,3
It seems like it might be useful to know how many records there are for each 'Running Time' in the bar chart.,Subjective-Objective,question,movies,histogram,3
Whip up a bar graph with 'Creative Type' on the bottom line and how many there are on the side line.,Colloquial-Standard,command,movies,singleAttrBar,1
Please make a chart with 'Creative Type' and its count.,Implicit-Explicit,command,movies,singleAttrBar,4
It is requested that a bar chart be constructed with 'Creative Type' represented on the x-axis and its corresponding count on the y-axis.,Colloquial-Standard,command,movies,singleAttrBar,5
You could create a bar chart with 'Creative Type' on the x-axis and its count on the y-axis.,Subjective-Objective,command,movies,singleAttrBar,4
Can you make a visual representation of 'Creative Type' and how many there are of each?,Implicit-Explicit,command,movies,singleAttrBar,1
Construct a bar chart with 'Creative Type' on the horizontal axis and its count on the vertical axis.,Colloquial-Standard,command,movies,singleAttrBar,3
Please create a bar chart with 'Creative Type' as the horizontal axis and its count as the vertical axis.,Colloquial-Standard,command,movies,singleAttrBar,4
Plot a bar diagram with 'Creative Type' as the categorical variable on the abscissa and its frequency distribution on the ordinate.,Non-technical-Technical,command,movies,singleAttrBar,5
I need a chart that shows the count of each 'Creative Type'.,Implicit-Explicit,command,movies,singleAttrBar,3
Construct a graph with 'Creative Type' as the horizontal label and the count as the vertical label.,Non-technical-Technical,command,movies,singleAttrBar,3
Generate a bar graph with 'Creative Type' as the independent variable and its frequency as the dependent variable.,Non-technical-Technical,command,movies,singleAttrBar,4
Could you possibly put together a chart showing the different 'Creative Types' and their numbers?,Implicit-Explicit,command,movies,singleAttrBar,2
"This is a bar graph showing different creative types along the bottom, with the number of each type shown on the side, listed from highest to lowest.",Non-technical-Technical,query,movies,singleAttrBar,2
"The bar chart seems to have 'Creative Type' on the x-axis and the count of 'Creative Type' on the y-axis, and it appears to be in descending order.",Subjective-Objective,query,movies,singleAttrBar,3
"The bar chart delineates 'Creative Type' on the abscissa, with the enumeration of each 'Creative Type' on the ordinate, arranged in a descending order.",Non-technical-Technical,query,movies,singleAttrBar,5
"In my opinion, the bar chart is organized with 'Creative Type' on the x-axis and the count of 'Creative Type' on the y-axis, in a descending order.",Subjective-Objective,query,movies,singleAttrBar,2
"This is a bar chart where 'Creative Type' is on the horizontal axis, the count of 'Creative Type' is on the vertical axis, and it's arranged in descending order.",Colloquial-Standard,query,movies,singleAttrBar,3
What do you think is the number of each 'Creative Type' shown on the bar chart?,Subjective-Objective,question,movies,singleAttrBar,1
How many of each kind of 'Creative Type' can we see on the bar chart?,Non-technical-Technical,question,movies,singleAttrBar,1
What is the quantitative distribution of each 'Creative Type' as depicted on the bar chart?,Non-technical-Technical,question,movies,singleAttrBar,5
I need the exact count for each 'Creative Type' as displayed on the bar chart.,Implicit-Explicit,question,movies,singleAttrBar,5
What is the numerical representation of each 'Creative Type' on the bar chart?,Non-technical-Technical,question,movies,singleAttrBar,4
Could you provide the number of each 'Creative Type' that is represented on the bar chart?,Subjective-Objective,question,movies,singleAttrBar,4
Can you figure out the numbers for each 'Creative Type' on the bar chart?,Implicit-Explicit,question,movies,singleAttrBar,1
Develop a bar chart where 'Major Genre' is represented on the horizontal axis and the mean 'Worldwide Gross' is represented on the vertical axis.,Non-technical-Technical,command,movies,bar,4
Maybe a bar chart could help us understand the relationship between 'Major Genre' and 'Worldwide Gross' better.,Implicit-Explicit,command,movies,bar,2
Draw a graph with 'Major Genre' at the bottom and the average 'Worldwide Gross' going up.,Non-technical-Technical,command,movies,bar,2
You could create a bar chart with 'Major Genre' on the x-axis and the average 'Worldwide Gross' on the y-axis.,Subjective-Objective,command,movies,bar,4
Make a bar graph with 'Major Genre' on the horizontal line and the average 'Worldwide Gross' on the vertical line.,Colloquial-Standard,command,movies,bar,2
"Let's consider making a bar chart, with 'Major Genre' and 'Worldwide Gross' as the variables.",Implicit-Explicit,command,movies,bar,3
How about we visualize 'Major Genre' and 'Worldwide Gross' in a more graphical way?,Implicit-Explicit,command,movies,bar,1
I think you should make a bar chart with 'Major Genre' on the x-axis and the average 'Worldwide Gross' on the y-axis. It would look really good.,Subjective-Objective,command,movies,bar,1
I feel it would be beneficial to create a bar chart with 'Major Genre' on the x-axis and the average 'Worldwide Gross' on the y-axis.,Subjective-Objective,command,movies,bar,2
I need you to create a bar chart. The x-axis should be 'Major Genre' and the y-axis should represent the average 'Worldwide Gross'.,Implicit-Explicit,command,movies,bar,5
A bar chart illustrating the mean of global gross revenue for each major film genre.,Non-technical-Technical,query,movies,bar,4
A simple graph showing the average global earnings for each major movie type.,Non-technical-Technical,query,movies,bar,1
The bar chart clearly presents the 'Major Genre' and the average 'Worldwide Gross'.,Implicit-Explicit,query,movies,bar,4
A bar chart depicting the mean of 'Worldwide Gross' for each category under 'Major Genre'.,Non-technical-Technical,query,movies,bar,5
A graph showing the average total money made worldwide for each main movie genre.,Non-technical-Technical,query,movies,bar,2
"You know, that bar chart we were looking at, the one about 'Major Genre' and 'Worldwide Gross'.",Implicit-Explicit,query,movies,bar,1
"In my opinion, the bar chart that represents the 'Major Genre' and the mean of 'Worldwide Gross' is quite informative.",Subjective-Objective,query,movies,bar,2
The bar chart seems to provide a good representation of the 'Major Genre' and the mean of 'Worldwide Gross'.,Subjective-Objective,query,movies,bar,3
I'm wondering if you could tell me what the average 'Worldwide Gross' for each 'Major Genre' might be?,Subjective-Objective,question,movies,bar,2
Please provide the statistics for the average 'Worldwide Gross' for each 'Major Genre'.,Subjective-Objective,question,movies,bar,5
Can you tell me the average 'Worldwide Gross' for each 'Major Genre'?,Implicit-Explicit,question,movies,bar,4
Any idea about the global earnings for each genre?,Implicit-Explicit,question,movies,bar,1
What's the usual total money made globally for each main type of movie?,Non-technical-Technical,question,movies,bar,2
Can you guess the average global earnings for each genre?,Implicit-Explicit,question,movies,bar,2
What's the average global income for each major genre?,Colloquial-Standard,question,movies,bar,3
Do you know the average global earnings for each genre?,Implicit-Explicit,question,movies,bar,3
It is suggested to create a point chart with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Subjective-Objective,command,movies,scatter,4
I would like you to generate a point chart with 'IMDB Rating' represented on the x-axis and 'Rotten Tomatoes Rating' represented on the y-axis.,Colloquial-Standard,command,movies,scatter,5
Can you put together a chart? Maybe use the IMDB ratings for one axis and the Rotten Tomatoes ratings for the other.,Implicit-Explicit,command,movies,scatter,3
Make a dot chart with 'IMDB Rating' on the horizontal and 'Rotten Tomatoes Rating' on the vertical.,Colloquial-Standard,command,movies,scatter,2
Make a simple graph with 'IMDB Rating' going across and 'Rotten Tomatoes Rating' going up.,Non-technical-Technical,command,movies,scatter,1
Fabricate a scatter plot with 'IMDB Rating' as the abscissa and 'Rotten Tomatoes Rating' as the ordinate.,Non-technical-Technical,command,movies,scatter,5
How about we visualize the ratings from IMDB and Rotten Tomatoes? Maybe on a chart with two axes?,Implicit-Explicit,command,movies,scatter,2
Create a point chart with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Subjective-Objective,command,movies,scatter,5
Whip up a dot chart with 'IMDB Rating' on the side-to-side line and 'Rotten Tomatoes Rating' on the up-and-down line.,Colloquial-Standard,command,movies,scatter,1
Draw a graph with 'IMDB Rating' on the side-to-side line and 'Rotten Tomatoes Rating' on the up-and-down line.,Non-technical-Technical,command,movies,scatter,2
"You know those ratings from IMDB and Rotten Tomatoes? It might be interesting to see them on a chart, don't you think?",Implicit-Explicit,command,movies,scatter,1
Please create a point chart with 'IMDB Rating' as the x-axis and 'Rotten Tomatoes Rating' as the y-axis.,Colloquial-Standard,command,movies,scatter,4
Construct a point chart with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Colloquial-Standard,command,movies,scatter,3
Construct a point chart. Place 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Implicit-Explicit,command,movies,scatter,5
It might be beneficial to create a point chart with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Subjective-Objective,command,movies,scatter,3
I feel like it would be a good idea to create a point chart with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Subjective-Objective,command,movies,scatter,2
I think you should make a point chart with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis. It would be really interesting to see.,Subjective-Objective,command,movies,scatter,1
Construct a graph with 'IMDB Rating' as the horizontal reference and 'Rotten Tomatoes Rating' as the vertical reference.,Non-technical-Technical,command,movies,scatter,3
Please make a chart using the IMDB ratings and the Rotten Tomatoes ratings. IMDB should be on the x-axis and Rotten Tomatoes on the y-axis.,Implicit-Explicit,command,movies,scatter,4
The chart displays 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Subjective-Objective,query,movies,scatter,5
The chart appears to have the IMDB ratings on the x-axis and the Rotten Tomatoes ratings on the y-axis.,Subjective-Objective,query,movies,scatter,3
"It's a graphical representation, with 'IMDB Rating' plotted on the x-axis, and 'Rotten Tomatoes Rating' plotted on the y-axis.",Colloquial-Standard,query,movies,scatter,4
"The chart with the movie ratings, you know the one with IMDB and Rotten Tomatoes.",Implicit-Explicit,query,movies,scatter,2
A graphical representation with 'IMDB Rating' as the horizontal component and 'Rotten Tomatoes Rating' as the vertical component.,Non-technical-Technical,query,movies,scatter,4
A graph showing movie ratings from IMDB and Rotten Tomatoes.,Non-technical-Technical,query,movies,scatter,1
The chart is designed with the IMDB ratings on the x-axis and the Rotten Tomatoes ratings on the y-axis.,Subjective-Objective,query,movies,scatter,4
A graph with IMDB ratings plotted along the horizontal line and Rotten Tomatoes ratings plotted along the vertical line.,Non-technical-Technical,query,movies,scatter,3
I think this chart is showing us the IMDB ratings on the x-axis and the Rotten Tomatoes ratings on the y-axis. It's pretty clear to me.,Subjective-Objective,query,movies,scatter,1
"You know, that chart with the movie ratings.",Implicit-Explicit,query,movies,scatter,1
Is there a noticeable difference between the 'IMDB Rating' and the 'Rotten Tomatoes Rating' on a point chart?,Implicit-Explicit,question,movies,scatter,3
Can we compare the IMDB ratings and Rotten Tomatoes ratings on a basic graph?,Non-technical-Technical,question,movies,scatter,3
What's your take on how the 'IMDB Rating' stacks up against the 'Rotten Tomatoes Rating' on a point chart? I personally feel there's a huge difference.,Subjective-Objective,question,movies,scatter,1
Plot a graph with the year of release on one side and the average cost of making a movie on the other side.,Non-technical-Technical,command,movies,line,3
Construct a line chart with 'Release Year' as the horizontal axis and the mean of 'AVG (Production Budget)' as the vertical axis.,Colloquial-Standard,command,movies,line,3
Let's try to visualize the average production budget over the years. Perhaps a line chart with 'Release Year' and 'AVG (Production Budget)' would work.,Implicit-Explicit,command,movies,line,3
"How about we visualize the average production budget over the years? A line chart could be a good way to do that, don't you think?",Implicit-Explicit,command,movies,line,2
I feel like it would be a good idea to create a line chart with 'Release Year' on the x-axis and the mean of 'AVG (Production Budget)' on the y-axis.,Subjective-Objective,command,movies,line,2
Draw a line graph with 'Release Year' on the horizontal line and the average of 'AVG (Production Budget)' on the vertical line.,Colloquial-Standard,command,movies,line,2
Generate a line chart with 'Release Year' represented on the x-axis and the mean of 'AVG (Production Budget)' represented on the y-axis.,Colloquial-Standard,command,movies,line,4
I think you should make a line chart with 'Release Year' on the x-axis and the average of 'AVG (Production Budget)' on the y-axis. It would look really good.,Subjective-Objective,command,movies,line,1
Create a line chart. The x-axis should be 'Release Year' and the y-axis should be the mean of 'AVG (Production Budget)'.,Implicit-Explicit,command,movies,line,5
Create a line chart with 'Release Year' on the x-axis and the mean of 'AVG (Production Budget)' on the y-axis.,Subjective-Objective,command,movies,line,5
The line chart represents the average 'Production Budget' per 'Release Year'.,Colloquial-Standard,query,movies,line,3
It's a chart that shows the average production budget over the years.,Implicit-Explicit,query,movies,line,2
"A line chart depicting the temporal trend of the mean value of the 'AVG (Production Budget)' variable, categorized by 'Release Year'.",Non-technical-Technical,query,movies,line,5
A line chart illustrating the mean value of the production budget across different release years.,Non-technical-Technical,query,movies,line,4
The line chart represents the average production budget by release year.,Implicit-Explicit,query,movies,line,3
"You know, it's that graph with the years and the average budget stuff.",Implicit-Explicit,query,movies,line,1
The line chart explicitly plots the mean of the 'AVG (Production Budget)' against the 'Release Year'.,Implicit-Explicit,query,movies,line,5
It seems to me that the line chart is representing the average production budget per release year.,Subjective-Objective,query,movies,line,2
The line graph showing the average 'Production Budget' for each 'Release Year'.,Colloquial-Standard,query,movies,line,2
The line chart represents the average production budget for each release year.,Subjective-Objective,query,movies,line,4
Can you see any pattern between the average production budget and the release year?,Implicit-Explicit,question,movies,line,2
How does the average production budget change with each release year?,Colloquial-Standard,question,movies,line,3
How does the average production budget fluctuate over the years of release?,Non-technical-Technical,question,movies,line,3
"It seems to me that the average production budget might be changing over the years, what do you think?",Subjective-Objective,question,movies,line,2
How does the average budget for making a movie change with each year?,Non-technical-Technical,question,movies,line,2
"Make a simple graph that shows how much money, on average, is spent on making each type of movie, and sort them by their age rating.",Non-technical-Technical,command,movies,groupedBar,1
"Could you put together a bar graph that shows us the average cost of producing different creative content, but group it by the content rating?",Implicit-Explicit,command,movies,groupedBar,2
"Develop a bar chart that represents the mean production budget for each creative category, classified by their content rating.",Non-technical-Technical,command,movies,groupedBar,4
"You should create a bar chart that displays the average production budget for each creative type, grouped by content rating.",Subjective-Objective,command,movies,groupedBar,4
"Generate a bar chart that illustrates the average production budget for each creative type, organized by content rating.",Colloquial-Standard,command,movies,groupedBar,4
"Please create a bar chart that displays the average production budget for each creative type, and make sure to group them by content rating.",Implicit-Explicit,command,movies,groupedBar,3
"I think you should make a bar chart that shows what the average production budget is for each creative type, and you should group it by content rating. I believe it would be really interesting to see.",Subjective-Objective,command,movies,groupedBar,1
"Generate a bar diagram that delineates the mean production expenditure for each creative genre, stratified by content rating.",Non-technical-Technical,command,movies,groupedBar,5
"Construct a bar chart that displays the average production budget for each creative type, categorized by content rating.",Colloquial-Standard,command,movies,groupedBar,3
What's the average production budget when we group by creative type and content rating?,Implicit-Explicit,query,movies,groupedBar,3
I feel like the average production budget varies a lot depending on the creative type and content rating.,Subjective-Objective,query,movies,groupedBar,1
"The mean cost of making a film, sorted by the kind of film and its audience rating.",Non-technical-Technical,query,movies,groupedBar,2
What's the typical cost of making things by their type and who they're aimed at?,Colloquial-Standard,query,movies,groupedBar,2
"The average production budget, classified by creative type and content rating.",Non-technical-Technical,query,movies,groupedBar,4
It appears that the average production budget is determined by the creative type and content rating.,Subjective-Objective,query,movies,groupedBar,3
"What's the typical budget for each genre of film, categorized by their content rating?",Non-technical-Technical,question,movies,groupedBar,3
"How much dough do they usually spend on making each type of movie, sorted by the age rating?",Colloquial-Standard,question,movies,groupedBar,1
"Can you provide the average production budget for each creative type, categorized by content rating?",Subjective-Objective,question,movies,groupedBar,4
"Can you tell me the average amount of money spent on each creative type, categorized by their content rating?",Implicit-Explicit,question,movies,groupedBar,4
It is requested that a bar chart be constructed with 'Major Genre' represented on the x-axis and the aggregate of 'Worldwide Gross' on the y-axis.,Colloquial-Standard,command,movies,stackedBar,5
It would be beneficial to create a bar chart with 'Major Genre' on the x-axis and the sum of 'Worldwide Gross' on the y-axis.,Subjective-Objective,command,movies,stackedBar,4
I need you to construct a bar chart. The x-axis should represent 'Major Genre' and the y-axis should represent the total 'Worldwide Gross'.,Implicit-Explicit,command,movies,stackedBar,5
Maybe we could try creating a bar chart with 'Major Genre' on the x-axis and the sum of 'Worldwide Gross' on the y-axis.,Subjective-Objective,command,movies,stackedBar,3
Construct a bar chart with 'Major Genre' on the horizontal axis and the sum of 'Worldwide Gross' on the vertical axis.,Colloquial-Standard,command,movies,stackedBar,3
Draw a graph with 'Major Genre' at the bottom and the total amount of 'Worldwide Gross' going up.,Non-technical-Technical,command,movies,stackedBar,2
I suggest you create a bar chart with 'Major Genre' on the x-axis and the sum of 'Worldwide Gross' on the y-axis. It seems like a good idea.,Subjective-Objective,command,movies,stackedBar,2
The bar chart represents the 'Major Genre' and the sum of 'Worldwide Gross'.,Subjective-Objective,query,movies,stackedBar,5
We're going to examine a bar chart that shows the total worldwide gross for each major genre.,Implicit-Explicit,query,movies,stackedBar,3
I believe the bar chart showing the 'Major Genre' and the sum of 'Worldwide Gross' is the best way to present this data.,Subjective-Objective,query,movies,stackedBar,1
A bar diagram illustrating the summation of worldwide gross revenue for each predominant film genre.,Colloquial-Standard,query,movies,stackedBar,5
The bar chart provides a representation of the 'Major Genre' and the sum of 'Worldwide Gross'.,Subjective-Objective,query,movies,stackedBar,4
The bar chart explicitly displays the sum of worldwide gross earnings for each major genre.,Implicit-Explicit,query,movies,stackedBar,5
A bar graph showing the total worldwide earnings for each major film genre.,Colloquial-Standard,query,movies,stackedBar,3
A bar diagram illustrating the summation of worldwide gross income for each major film genre.,Non-technical-Technical,query,movies,stackedBar,4
A bar graph representing the aggregate of global revenue for each primary film genre.,Non-technical-Technical,query,movies,stackedBar,3
Bar graph showing the total cash made worldwide for each main movie genre.,Colloquial-Standard,query,movies,stackedBar,2
The bar chart seems to be a good representation of the 'Major Genre' and the sum of 'Worldwide Gross'.,Subjective-Objective,query,movies,stackedBar,3
Can you tell me the total global earnings for each major film genre?,Implicit-Explicit,question,movies,stackedBar,3
Please provide the exact total worldwide gross for each major genre in the film industry.,Implicit-Explicit,question,movies,stackedBar,5
What are the total earnings worldwide for each major film genre?,Implicit-Explicit,question,movies,stackedBar,4
What's the global earnings for each main movie category?,Non-technical-Technical,question,movies,stackedBar,3
"Whip up a dot chart, right? Put 'Production Budget' on the side-to-side bit and 'Worldwide Gross' on the up-and-down bit, and color 'em different for each 'Major Genre'.",Colloquial-Standard,command,movies,scatterColor,1
Construct a chart. The x-axis must represent the 'Production Budget' and the y-axis must represent the 'Worldwide Gross'. Each 'Major Genre' should be represented by a different color.,Implicit-Explicit,command,movies,scatterColor,5
"Create a point chart with 'Production Budget' on the x-axis and 'Worldwide Gross' on the y-axis, color-coded by 'Major Genre'.",Subjective-Objective,command,movies,scatterColor,5
"I think you should make a point chart with 'Production Budget' on the x-axis and 'Worldwide Gross' on the y-axis, and it would be really cool if you color-coded it by 'Major Genre'.",Subjective-Objective,command,movies,scatterColor,1
Construct a graph with the production budget on the horizontal axis and the worldwide earnings on the vertical axis. Differentiate each major genre by using different colors.,Non-technical-Technical,command,movies,scatterColor,3
"Plot a point chart with the production budget as the x-coordinate and the worldwide gross as the y-coordinate, with each major genre represented by a unique color.",Non-technical-Technical,command,movies,scatterColor,4
"You could create a point chart with 'Production Budget' on the x-axis and 'Worldwide Gross' on the y-axis, possibly color-coded by 'Major Genre'.",Subjective-Objective,command,movies,scatterColor,3
"Make a dot picture with the money spent making the movie going left to right, and the money the movie made all over the world going up and down, and use different colors for different types of movies.",Non-technical-Technical,command,movies,scatterColor,1
"How about we make a chart? We could use the budget and the gross, and maybe add some color to show the genre.",Implicit-Explicit,command,movies,scatterColor,2
"Make a graph with the cost of making the movie on the horizontal line, and the total money the movie made worldwide on the vertical line. Use different colors for each type of movie.",Non-technical-Technical,command,movies,scatterColor,2
The chart clearly shows 'Production Budget' on the x-axis and 'Worldwide Gross' on the y-axis. Each color represents a different 'Major Genre'.,Implicit-Explicit,query,movies,scatterColor,4
"This chart seems to be showing the production budget on the x-axis and the worldwide gross on the y-axis, with the major genre being represented by different colors.",Subjective-Objective,query,movies,scatterColor,3
"The chart displays 'Production Budget' on the x-axis, 'Worldwide Gross' on the y-axis, and 'Major Genre' is color-coded.",Subjective-Objective,query,movies,scatterColor,5
This is a graph with the cost of making the movie on one side and how much money it made globally on the other. Different movie genres are represented by different colors.,Non-technical-Technical,query,movies,scatterColor,2
The chart has 'Production Budget' on the horizontal axis and 'Worldwide Gross' on the vertical axis. Different colors represent different genres.,Implicit-Explicit,query,movies,scatterColor,3
This is a point chart where the x-axis represents the production budget and the y-axis represents the worldwide gross. Each major genre is color-coded for differentiation.,Non-technical-Technical,query,movies,scatterColor,4
It's a graph where one side shows how much money was spent to make the movie and the other side shows how much money the movie made around the world. The different types of movies are shown in different colors.,Non-technical-Technical,query,movies,scatterColor,1
How's the 'movie budget' linked to the 'global earnings' for each 'main type' on a dot chart?,Colloquial-Standard,question,movies,scatterColor,1
"I think you should make a point chart where 'Content Rating' is the column, 'Production Budget' is the x-axis, and 'Worldwide Gross' is the y-axis. It would be really interesting to see the correlation.",Subjective-Objective,command,movies,scatterFaceted,1
"Plot a point chart where 'Content Rating' is the column, 'Production Budget' is the horizontal axis, and 'Worldwide Gross' is the vertical axis.",Non-technical-Technical,command,movies,scatterFaceted,4
"It might be a good idea to create a point chart with 'Content Rating' as the column, 'Production Budget' as the x-axis, and 'Worldwide Gross' as the y-axis.",Subjective-Objective,command,movies,scatterFaceted,3
"I suggest creating a chart. Use 'Content Rating' for the column, 'Production Budget' for the x-axis, and 'Worldwide Gross' for the y-axis.",Implicit-Explicit,command,movies,scatterFaceted,4
"Make a point graph with 'Content Rating' as the column, 'Production Budget' as the x, and 'Worldwide Gross' as the y.",Colloquial-Standard,command,movies,scatterFaceted,2
"Maybe we can make a chart with 'Content Rating', 'Production Budget', and 'Worldwide Gross'. What do you think?",Implicit-Explicit,command,movies,scatterFaceted,2
