sentences,axes,ptypes,dnames,vids,scores
"Create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Subjective-Objective,question,superstore,scatterColor,5
"How about a chart with some color, maybe something regional, and a bit of sales and profit?",Implicit-Explicit,question,superstore,scatterColor,1
"What do you think about a chart that shows sales and profit, maybe with a bit of color to represent different regions?",Implicit-Explicit,question,superstore,scatterColor,2
"Could you make a chart that shows sales and profit, using color to differentiate regions?",Implicit-Explicit,question,superstore,scatterColor,3
"Please make a chart with sales on the x-axis, profit on the y-axis, and different colors for each region.",Implicit-Explicit,question,superstore,scatterColor,4
"I need a point chart. Use 'Region' for color differentiation, 'Sales' for the x-axis, and 'Profit' for the y-axis.",Implicit-Explicit,question,superstore,scatterColor,5
"Whip up a dot chart with 'Central', 'East', 'West', 'South' as the column stuff, 'Sales' as the x thingy, and 'Profit' as the y thingy.",Colloquial-Standard,command,superstore,scatterFaceted,1
"Make a point chart with 'Central', 'East', 'West', 'South' as the column bit, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Colloquial-Standard,command,superstore,scatterFaceted,2
"Can you create a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' on the x-axis, and 'Profit' on the y-axis?",Colloquial-Standard,command,superstore,scatterFaceted,3
"Please construct a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Colloquial-Standard,command,superstore,scatterFaceted,4
"Kindly formulate a point chart with 'Central', 'East', 'West', 'South' designated as the column field, 'Sales' as the abscissa, and 'Profit' as the ordinate.",Colloquial-Standard,command,superstore,scatterFaceted,5
"Make a dot graph with 'Central', 'East', 'West', 'South' as the up and down lines, 'Sales' as the side to side line, and 'Profit' as the up and down line.",Non-technical-Technical,command,superstore,scatterFaceted,1
"Make a chart with 'Central', 'East', 'West', 'South' as the columns, 'Sales' as the horizontal line, and 'Profit' as the vertical line.",Non-technical-Technical,command,superstore,scatterFaceted,2
"Construct a chart with 'Central', 'East', 'West', 'South' as the column categories, 'Sales' as the horizontal axis, and 'Profit' as the vertical axis.",Non-technical-Technical,command,superstore,scatterFaceted,3
"Generate a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Non-technical-Technical,command,superstore,scatterFaceted,4
"Instantiate a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the abscissa, and 'Profit' as the ordinate.",Non-technical-Technical,command,superstore,scatterFaceted,5
"I think you should make a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis. It's the best way to visualize the data.",Subjective-Objective,command,superstore,scatterFaceted,1
"I feel it would be beneficial to create a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Subjective-Objective,command,superstore,scatterFaceted,2
"In my opinion, a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis might be a good way to represent the data.",Subjective-Objective,command,superstore,scatterFaceted,3
"A point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis could be an effective way to display the data.",Subjective-Objective,command,superstore,scatterFaceted,4
"Create a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Subjective-Objective,command,superstore,scatterFaceted,5
"You know those regions we always talk about? Central, East, West, South? And how we're always looking at sales and profit? Could you put those together in a visual way for me?",Implicit-Explicit,command,superstore,scatterFaceted,1
Can you make a visual representation of our sales and profit data? Use the regions as the main categories and plot sales and profit against each other.,Implicit-Explicit,command,superstore,scatterFaceted,2
I need a chart that shows our sales and profit data. Use the regions as the main categories and plot sales and profit against each other.,Implicit-Explicit,command,superstore,scatterFaceted,3
"Please make a chart using our sales and profit data. The regions should be the column field, with sales on the x-axis and profit on the y-axis.",Implicit-Explicit,command,superstore,scatterFaceted,4
"Construct a point chart. The column field should be 'Central', 'East', 'West', 'South'. The x-axis should represent 'Sales' and the y-axis should represent 'Profit'.",Implicit-Explicit,command,superstore,scatterFaceted,5
"Look at this graph, it's showing how much we're selling and making in the middle, east, west, and down south.",Colloquial-Standard,query,superstore,scatterFaceted,1
"Check out this graph, it's about our sales and profits in the central, east, west, and south regions.",Colloquial-Standard,query,superstore,scatterFaceted,2
"This is a graph showing the comparison between sales and profits in the central, east, west, and south regions.",Colloquial-Standard,query,superstore,scatterFaceted,3
"Here we have a chart illustrating the correlation between sales and profits across the central, east, west, and south regions.",Colloquial-Standard,query,superstore,scatterFaceted,4
"This is a graphical representation of the juxtaposition between sales and profits in the central, eastern, western, and southern regions.",Colloquial-Standard,query,superstore,scatterFaceted,5
"A simple graph showing how much we sold and how much we made in profit in the middle, east, west, and south areas.",Non-technical-Technical,query,superstore,scatterFaceted,1
"A basic graph comparing our sales and profits in the central, eastern, western, and southern regions.",Non-technical-Technical,query,superstore,scatterFaceted,2
"A chart illustrating the relationship between sales and profit in the central, eastern, western, and southern regions.",Non-technical-Technical,query,superstore,scatterFaceted,3
"A graphical representation of sales versus profit for the central, eastern, western, and southern regions.",Non-technical-Technical,query,superstore,scatterFaceted,4
"A point chart delineating the correlation between 'Sales' and 'Profit' across the 'Central', 'East', 'West', 'South' regions.",Non-technical-Technical,query,superstore,scatterFaceted,5
"I feel like the point chart of 'Sales' vs 'Profit' by 'Central', 'East', 'West', 'South' is the best way to visualize our company's performance.",Subjective-Objective,query,superstore,scatterFaceted,1
"In my opinion, the point chart of 'Sales' vs 'Profit' by 'Central', 'East', 'West', 'South' provides a clear picture of our company's financial situation.",Subjective-Objective,query,superstore,scatterFaceted,2
"The point chart of 'Sales' vs 'Profit' by 'Central', 'East', 'West', 'South' seems to be a good representation of the company's financial status.",Subjective-Objective,query,superstore,scatterFaceted,3
"The point chart of 'Sales' vs 'Profit' by 'Central', 'East', 'West', 'South' provides a representation of the company's financial status.",Subjective-Objective,query,superstore,scatterFaceted,4
"The point chart displays 'Sales' vs 'Profit' for 'Central', 'East', 'West', 'South'.",Subjective-Objective,query,superstore,scatterFaceted,5
"You know, that chart with the different regions and how they're doing in terms of sales and profit.",Implicit-Explicit,query,superstore,scatterFaceted,1
"The chart that shows how sales and profit are doing in different regions, you know the one?",Implicit-Explicit,query,superstore,scatterFaceted,2
"The chart that compares sales and profit across Central, East, West, and South.",Implicit-Explicit,query,superstore,scatterFaceted,3
"The chart that clearly displays the relationship between sales and profit for the Central, East, West, and South regions.",Implicit-Explicit,query,superstore,scatterFaceted,4
"The chart explicitly illustrates the comparison of sales versus profit for each of the four regions: Central, East, West, and South.",Implicit-Explicit,query,superstore,scatterFaceted,5
"What's the point chart saying about how 'Sales' and 'Profit' are linked in 'Central', 'East', 'West', 'South'?",Colloquial-Standard,question,superstore,scatterFaceted,1
"What's the chart showing us about the link between 'Sales' and 'Profit' in 'Central', 'East', 'West', 'South'?",Colloquial-Standard,question,superstore,scatterFaceted,2
"What is the chart indicating about the correlation between 'Sales' and 'Profit' across 'Central', 'East', 'West', 'South'?",Colloquial-Standard,question,superstore,scatterFaceted,3
"What does the chart suggest about the relationship between 'Sales' and 'Profit' in the regions 'Central', 'East', 'West', 'South'?",Colloquial-Standard,question,superstore,scatterFaceted,4
"What does the point chart elucidate about the correlation between 'Sales' and 'Profit' across the regions 'Central', 'East', 'West', 'South'?",Colloquial-Standard,question,superstore,scatterFaceted,5
"What does the graph show about how 'Sales' and 'Profit' relate in 'Central', 'East', 'West', 'South'?",Non-technical-Technical,question,superstore,scatterFaceted,1
"What can we understand from the graph about how 'Sales' and 'Profit' are connected in 'Central', 'East', 'West', 'South'?",Non-technical-Technical,question,superstore,scatterFaceted,2
"What insights does the graph provide about the correlation between 'Sales' and 'Profit' in 'Central', 'East', 'West', 'South'?",Non-technical-Technical,question,superstore,scatterFaceted,3
"What does the graphical representation elucidate about the correlation between 'Sales' and 'Profit' across 'Central', 'East', 'West', 'South'?",Non-technical-Technical,question,superstore,scatterFaceted,4
"What does the point chart delineate about the interrelation between 'Sales' and 'Profit' across the 'Central', 'East', 'West', 'South' regions?",Non-technical-Technical,question,superstore,scatterFaceted,5
"What do you think the point chart is trying to tell us about how 'Sales' and 'Profit' are related in 'Central', 'East', 'West', 'South'? I feel like there's a story there.",Subjective-Objective,question,superstore,scatterFaceted,1
"It seems to me that the point chart might be suggesting a certain relationship between 'Sales' and 'Profit' across 'Central', 'East', 'West', 'South'. What's your take on it?",Subjective-Objective,question,superstore,scatterFaceted,2
"Looking at the point chart, there could be a possible relationship between 'Sales' and 'Profit' across 'Central', 'East', 'West', 'South'. What are your thoughts?",Subjective-Objective,question,superstore,scatterFaceted,3
"The point chart appears to indicate a relationship between 'Sales' and 'Profit' across 'Central', 'East', 'West', 'South'. Can we analyze this further?",Subjective-Objective,question,superstore,scatterFaceted,4
"The point chart presents data on the relationship between 'Sales' and 'Profit' across 'Central', 'East', 'West', 'South'. Let's examine this data.",Subjective-Objective,question,superstore,scatterFaceted,5
What's the story between 'Sales' and 'Profit' in all directions?,Implicit-Explicit,question,superstore,scatterFaceted,1
Can we see a connection between 'Sales' and 'Profit' in these regions?,Implicit-Explicit,question,superstore,scatterFaceted,2
How does the chart show the link between 'Sales' and 'Profit' in these areas?,Implicit-Explicit,question,superstore,scatterFaceted,3
"Can you explain the correlation between 'Sales' and 'Profit' in 'Central', 'East', 'West', 'South' as shown in the chart?",Implicit-Explicit,question,superstore,scatterFaceted,4
"Please provide a detailed analysis of the relationship between 'Sales' and 'Profit' in the 'Central', 'East', 'West', 'South' regions as depicted in the point chart.",Implicit-Explicit,question,superstore,scatterFaceted,5
"Make a line graph with 'Order Date' on the bottom line and total 'Sales' on the side line, split up by 'Category'.",Colloquial-Standard,command,superstore,multiLine,1
"Draw a line graph with 'Order Date' along the bottom and the total of 'Sales' up the side, separated by 'Category'.",Colloquial-Standard,command,superstore,multiLine,2
"Construct a line graph with 'Order Date' on the horizontal axis and the sum of 'Sales' on the vertical axis, divided by 'Category'.",Colloquial-Standard,command,superstore,multiLine,3
"Plot a line chart with 'Order Date' as the horizontal axis and the aggregate of 'Sales' as the vertical axis, distinguished by 'Category'.",Colloquial-Standard,command,superstore,multiLine,4
"Generate a line chart with 'Order Date' represented on the abscissa and the summation of 'Sales' on the ordinate, differentiated by the variable 'Category'.",Colloquial-Standard,command,superstore,multiLine,5
"Make a graph with the date of the order along the bottom and the total sales going up the side, and show the different categories.",Non-technical-Technical,command,superstore,multiLine,1
"Draw a graph with the order date at the bottom and total sales on the side, and separate it by category.",Non-technical-Technical,command,superstore,multiLine,2
"Construct a graph with the order date on the horizontal line and the total sales on the vertical line, and distinguish it by category.",Non-technical-Technical,command,superstore,multiLine,3
"Generate a line graph with the order date on the horizontal axis and the sum of sales on the vertical axis, and differentiate it by category.",Non-technical-Technical,command,superstore,multiLine,4
"Plot a line graph with 'Order Date' as the independent variable and the aggregate of 'Sales' as the dependent variable, segregated by 'Category'.",Non-technical-Technical,command,superstore,multiLine,5
"I think you should make a line chart with 'Order Date' on the x-axis and the total 'Sales' on the y-axis, and it would be really cool if you could differentiate it by 'Category'.",Subjective-Objective,command,superstore,multiLine,1
"I feel it would be beneficial to create a line chart with 'Order Date' on the x-axis and the sum of 'Sales' on the y-axis, and it might be a good idea to differentiate it by 'Category'.",Subjective-Objective,command,superstore,multiLine,2
"It seems like a good idea to create a line chart with 'Order Date' on the x-axis and the sum of 'Sales' on the y-axis, perhaps differentiated by 'Category'.",Subjective-Objective,command,superstore,multiLine,3
"It would be appropriate to create a line chart with 'Order Date' on the x-axis and the sum of 'Sales' on the y-axis, differentiated by 'Category'.",Subjective-Objective,command,superstore,multiLine,4
"Create a line chart with 'Order Date' on the x-axis and the sum of 'Sales' on the y-axis, differentiated by 'Category'.",Subjective-Objective,command,superstore,multiLine,5
"Can you put together a chart for me? You know, the one with dates and sales, and make sure to separate it by category.",Implicit-Explicit,command,superstore,multiLine,1
"Could you make a chart for me? It should have dates and sales, and don't forget to break it down by category.",Implicit-Explicit,command,superstore,multiLine,2
I need a chart with dates and sales. Make sure to differentiate it by category.,Implicit-Explicit,command,superstore,multiLine,3
Please create a chart. The x-axis should have the order date and the y-axis should have the sum of sales. Differentiate it by category.,Implicit-Explicit,command,superstore,multiLine,4
I need you to create a line chart. The x-axis should be labeled 'Order Date' and the y-axis should represent the sum of 'Sales'. Each 'Category' should be clearly differentiated.,Implicit-Explicit,command,superstore,multiLine,5
"A graph with dates, total sales, and types of stuff.",Colloquial-Standard,query,superstore,multiLine,1
"A graph showing dates, total sales, and categories.",Colloquial-Standard,query,superstore,multiLine,2
"A chart displaying dates, sum of sales, and categories.",Colloquial-Standard,query,superstore,multiLine,3
"A line chart illustrating dates, cumulative sales, and categories.",Colloquial-Standard,query,superstore,multiLine,4
"A line chart delineating Order Date (monthyear), the sum of Sales, and Category.",Colloquial-Standard,query,superstore,multiLine,5
"A graph showing the total sales for each category, month by month.",Non-technical-Technical,query,superstore,multiLine,1
"A simple graph that shows the total sales for each category, broken down by month and year.",Non-technical-Technical,query,superstore,multiLine,2
"A line graph representing the sum of sales for each category, organized by the date of the order on a month-year basis.",Non-technical-Technical,query,superstore,multiLine,3
"A line chart that plots the cumulative sales for each category, categorized by the order date in a month-year format.",Non-technical-Technical,query,superstore,multiLine,4
"A line chart visualizing the aggregation of sales data per category, segmented by the order date in a month-year format.",Non-technical-Technical,query,superstore,multiLine,5
"I feel like this line chart, which shows the sum of sales by category over time, is a really effective way to visualize our data.",Subjective-Objective,query,superstore,multiLine,1
"In my opinion, this line chart, which represents the sum of sales by category over time, is a pretty good way to display our data.",Subjective-Objective,query,superstore,multiLine,2
"This line chart, which shows the sum of sales by category over time, seems to be a reasonable way to present our data.",Subjective-Objective,query,superstore,multiLine,3
This line chart represents the sum of sales by category over time.,Subjective-Objective,query,superstore,multiLine,4
The line chart displays the sum of sales by category over time.,Subjective-Objective,query,superstore,multiLine,5
"You know, that thing with the lines and dates and sales and categories.",Implicit-Explicit,query,superstore,multiLine,1
"Can you look at that chart with the lines, dates, sales, and categories?",Implicit-Explicit,query,superstore,multiLine,2
"Please refer to the line chart that includes order dates, sales sums, and categories.",Implicit-Explicit,query,superstore,multiLine,3
"I need you to examine the line chart that displays the sum of sales and categories, arranged by order date.",Implicit-Explicit,query,superstore,multiLine,4
"Please analyze the line chart which clearly illustrates the sum of sales and categories, organized according to the order date in a month-year format.",Implicit-Explicit,query,superstore,multiLine,5
How's the total sales changing over time for each type?,Colloquial-Standard,question,superstore,multiLine,1
How's the total of sales changing with time for each category?,Colloquial-Standard,question,superstore,multiLine,2
How does the total sales change over time for each category?,Colloquial-Standard,question,superstore,multiLine,3
How does the aggregate of sales fluctuate over time for each category?,Colloquial-Standard,question,superstore,multiLine,4
How does the aggregate of sales oscillate over a period of time for each category?,Colloquial-Standard,question,superstore,multiLine,5
How do the total sales change over time for each type of product?,Non-technical-Technical,question,superstore,multiLine,1
How do the overall sales change with time for each product category?,Non-technical-Technical,question,superstore,multiLine,2
How does the aggregate of sales fluctuate over a period of time for each product category?,Non-technical-Technical,question,superstore,multiLine,3
How does the cumulative sales data change temporally for each product category?,Non-technical-Technical,question,superstore,multiLine,4
How does the temporal variation of the summation of sales manifest for each product category?,Non-technical-Technical,question,superstore,multiLine,5
What's your take on how the total sales for each category change over time?,Subjective-Objective,question,superstore,multiLine,1
Do you think the total sales for each category fluctuate over time?,Subjective-Objective,question,superstore,multiLine,2
"It seems like the total sales for each category might change over time, right?",Subjective-Objective,question,superstore,multiLine,3
Can we observe any changes in the total sales for each category over time?,Subjective-Objective,question,superstore,multiLine,4
What is the variation in the total sales for each category over time?,Subjective-Objective,question,superstore,multiLine,5
What's the story with the sales of each category over time?,Implicit-Explicit,question,superstore,multiLine,1
Can you see any patterns in the sales of each category over time?,Implicit-Explicit,question,superstore,multiLine,2
What changes can we observe in the sales of each category over time?,Implicit-Explicit,question,superstore,multiLine,3
Can you provide a breakdown of how sales for each category have changed over time?,Implicit-Explicit,question,superstore,multiLine,4
Please provide a detailed analysis of the variation in sales over time for each category.,Implicit-Explicit,question,superstore,multiLine,5
Whip up a bar graph with 'Running Time' on the bottom line and the number of records on the side line.,Colloquial-Standard,command,movies,histogram,1
Make a bar graph with 'Running Time' on the x-axis and the tally of records on the y-axis.,Colloquial-Standard,command,movies,histogram,2
Construct a bar chart with 'Running Time' on the horizontal axis and the count of records on the vertical axis.,Colloquial-Standard,command,movies,histogram,3
Generate a bar chart with 'Running Time' as the x-axis and the quantity of records as the y-axis.,Colloquial-Standard,command,movies,histogram,4
Fabricate a bar chart with 'Running Time' designated on the x-axis and the enumeration of records on the y-axis.,Colloquial-Standard,command,movies,histogram,5
Make a simple bar graph with 'Running Time' at the bottom and the number of things on the side.,Non-technical-Technical,command,movies,histogram,1
Draw a bar graph with 'Running Time' along the bottom and the total number of items up the side.,Non-technical-Technical,command,movies,histogram,2
Construct a bar graph with 'Running Time' as the horizontal label and the total count of items as the vertical label.,Non-technical-Technical,command,movies,histogram,3
Generate a bar graph with 'Running Time' as the x-axis label and the aggregate count of records as the y-axis label.,Non-technical-Technical,command,movies,histogram,4
Implement a bar chart visualization with 'Running Time' designated as the x-axis parameter and the cumulative count of data records as the y-axis parameter.,Non-technical-Technical,command,movies,histogram,5
I think you should make a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis. It would look really good.,Subjective-Objective,command,movies,histogram,1
I feel like a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis would be a good idea.,Subjective-Objective,command,movies,histogram,2
It might be beneficial to create a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis.,Subjective-Objective,command,movies,histogram,3
It is suggested to create a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis.,Subjective-Objective,command,movies,histogram,4
Create a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis.,Subjective-Objective,command,movies,histogram,5
Maybe you could put together a visual with 'Running Time' along the bottom and the number of records going up the side?,Implicit-Explicit,command,movies,histogram,1
How about making a visual representation with 'Running Time' as the base and the number of records as the height?,Implicit-Explicit,command,movies,histogram,2
Can you make a chart? Use 'Running Time' for the horizontal axis and the count of records for the vertical one.,Implicit-Explicit,command,movies,histogram,3
Please make a chart. 'Running Time' should be on the horizontal axis and the count of records on the vertical axis.,Implicit-Explicit,command,movies,histogram,4
Construct a bar chart. The x-axis must represent 'Running Time' and the y-axis must represent the count of records.,Implicit-Explicit,command,movies,histogram,5
"How long stuff runs, shown in a bar graph, number of things counted",Colloquial-Standard,query,movies,histogram,1
"Bar graph showing how long things run, with a count of items",Colloquial-Standard,query,movies,histogram,2
"A bar graph titled 'Running Time', with a tally of entries",Colloquial-Standard,query,movies,histogram,3
"A bar chart labeled 'Running Time', indicating the quantity of records",Colloquial-Standard,query,movies,histogram,4
"A bar diagram designated as 'Running Time', enumerating the count of records",Colloquial-Standard,query,movies,histogram,5
The number of things in the 'Running Time' bar graph.,Non-technical-Technical,query,movies,histogram,1
The amount of items shown in the 'Running Time' bar chart.,Non-technical-Technical,query,movies,histogram,2
The quantity of data points represented in the 'Running Time' bar chart.,Non-technical-Technical,query,movies,histogram,3
The count of data entries visualized in the 'Running Time' bar chart.,Non-technical-Technical,query,movies,histogram,4
The enumeration of records depicted in the 'Running Time' bar chart.,Non-technical-Technical,query,movies,histogram,5
"I feel like this bar chart, titled 'Running Time', is showing us the number of records.",Subjective-Objective,query,movies,histogram,1
"I think this bar chart, named 'Running Time', is probably representing the count of records.",Subjective-Objective,query,movies,histogram,2
"This bar chart, 'Running Time', seems to be showing the count of records.",Subjective-Objective,query,movies,histogram,3
"The bar chart, 'Running Time', appears to represent the count of records.",Subjective-Objective,query,movies,histogram,4
"The bar chart, 'Running Time', represents the count of records.",Subjective-Objective,query,movies,histogram,5
Time and numbers.,Implicit-Explicit,query,movies,histogram,1
Look at the time and count.,Implicit-Explicit,query,movies,histogram,2
Check the chart for time and count.,Implicit-Explicit,query,movies,histogram,3
The bar chart shows the count of records over time.,Implicit-Explicit,query,movies,histogram,4
The bar chart labeled 'Running Time' displays the total count of records.,Implicit-Explicit,query,movies,histogram,5
How many times does each 'Running Time' show up in that bar chart?,Colloquial-Standard,question,movies,histogram,1
How many counts we got for each 'Running Time' in the bar chart?,Colloquial-Standard,question,movies,histogram,2
Can you tell me the number of records for each 'Running Time' in the bar chart?,Colloquial-Standard,question,movies,histogram,3
Could you please indicate the quantity of records for each 'Running Time' in the bar chart?,Colloquial-Standard,question,movies,histogram,4
Would you be so kind as to elucidate the number of records corresponding to each 'Running Time' in the bar chart?,Colloquial-Standard,question,movies,histogram,5
How many times does each 'Running Time' show up in the bar chart?,Non-technical-Technical,question,movies,histogram,1
Can you tell me the count of each 'Running Time' in the bar chart?,Non-technical-Technical,question,movies,histogram,2
What's the frequency of each 'Running Time' in the bar chart?,Non-technical-Technical,question,movies,histogram,3
What is the distribution of each 'Running Time' in the bar chart?,Non-technical-Technical,question,movies,histogram,4
What is the quantitative representation of each 'Running Time' in the bar chart?,Non-technical-Technical,question,movies,histogram,5
"I'm really curious about the number of records for each 'Running Time' in the bar chart, don't you think it's interesting?",Subjective-Objective,question,movies,histogram,1
I feel like it would be interesting to know how many records there are for each 'Running Time' in the bar chart.,Subjective-Objective,question,movies,histogram,2
It seems like it might be useful to know how many records there are for each 'Running Time' in the bar chart.,Subjective-Objective,question,movies,histogram,3
It would be beneficial to determine the number of records for each 'Running Time' in the bar chart.,Subjective-Objective,question,movies,histogram,4
Determine the number of records for each 'Running Time' in the bar chart.,Subjective-Objective,question,movies,histogram,5
Can you figure out the count for each 'Running Time' on the chart?,Implicit-Explicit,question,movies,histogram,1
What's the distribution of 'Running Time' on the chart?,Implicit-Explicit,question,movies,histogram,2
Can you tell me the number of records for each 'Running Time' shown on the chart?,Implicit-Explicit,question,movies,histogram,3
Please provide the count of records for each 'Running Time' in the chart.,Implicit-Explicit,question,movies,histogram,4
I need the exact number of records for each 'Running Time' category in the bar chart.,Implicit-Explicit,question,movies,histogram,5
Whip up a bar graph with 'Creative Type' on the bottom line and how many there are on the side line.,Colloquial-Standard,command,movies,singleAttrBar,1
Make a bar graph with 'Creative Type' along the bottom and the number of them up the side.,Colloquial-Standard,command,movies,singleAttrBar,2
Construct a bar chart with 'Creative Type' on the horizontal axis and its count on the vertical axis.,Colloquial-Standard,command,movies,singleAttrBar,3
Please create a bar chart with 'Creative Type' as the horizontal axis and its count as the vertical axis.,Colloquial-Standard,command,movies,singleAttrBar,4
It is requested that a bar chart be constructed with 'Creative Type' represented on the x-axis and its corresponding count on the y-axis.,Colloquial-Standard,command,movies,singleAttrBar,5
Make a simple graph with 'Creative Type' along the bottom and how many there are going up the side.,Non-technical-Technical,command,movies,singleAttrBar,1
Draw a graph with 'Creative Type' at the bottom and the number of each type going up.,Non-technical-Technical,command,movies,singleAttrBar,2
Construct a graph with 'Creative Type' as the horizontal label and the count as the vertical label.,Non-technical-Technical,command,movies,singleAttrBar,3
Generate a bar graph with 'Creative Type' as the independent variable and its frequency as the dependent variable.,Non-technical-Technical,command,movies,singleAttrBar,4
Plot a bar diagram with 'Creative Type' as the categorical variable on the abscissa and its frequency distribution on the ordinate.,Non-technical-Technical,command,movies,singleAttrBar,5
I think you should make a bar chart with 'Creative Type' on the x-axis and its count on the y-axis. It would look really good.,Subjective-Objective,command,movies,singleAttrBar,1
I feel it would be beneficial to create a bar chart with 'Creative Type' on the x-axis and its count on the y-axis.,Subjective-Objective,command,movies,singleAttrBar,2
It might be a good idea to create a bar chart with 'Creative Type' on the x-axis and its count on the y-axis.,Subjective-Objective,command,movies,singleAttrBar,3
You could create a bar chart with 'Creative Type' on the x-axis and its count on the y-axis.,Subjective-Objective,command,movies,singleAttrBar,4
Create a bar chart with 'Creative Type' on the x-axis and its count on the y-axis.,Subjective-Objective,command,movies,singleAttrBar,5
Can you make a visual representation of 'Creative Type' and how many there are of each?,Implicit-Explicit,command,movies,singleAttrBar,1
Could you possibly put together a chart showing the different 'Creative Types' and their numbers?,Implicit-Explicit,command,movies,singleAttrBar,2
I need a chart that shows the count of each 'Creative Type'.,Implicit-Explicit,command,movies,singleAttrBar,3
Please make a chart with 'Creative Type' and its count.,Implicit-Explicit,command,movies,singleAttrBar,4
Construct a bar chart. 'Creative Type' should be on the x-axis and its count on the y-axis.,Implicit-Explicit,command,movies,singleAttrBar,5
"It's like a bar graph, right? With 'Creative Type' on the bottom line and the number of each 'Creative Type' on the side line, and it's all going down in order.",Colloquial-Standard,query,movies,singleAttrBar,1
"It's a bar graph with 'Creative Type' along the bottom and the number of each 'Creative Type' going up the side, and it's all in descending order.",Colloquial-Standard,query,movies,singleAttrBar,2
"This is a bar chart where 'Creative Type' is on the horizontal axis, the count of 'Creative Type' is on the vertical axis, and it's arranged in descending order.",Colloquial-Standard,query,movies,singleAttrBar,3
"We have a bar chart here, with 'Creative Type' represented on the x-axis, the count of 'Creative Type' on the y-axis, all arranged in descending order.",Colloquial-Standard,query,movies,singleAttrBar,4
"This is a bar chart, with the x-axis representing 'Creative Type', the y-axis representing the count of 'Creative Type', all organized in a descending order.",Colloquial-Standard,query,movies,singleAttrBar,5
"It's a simple bar graph with different types of creativity on the bottom and how many of each type on the side, arranged from most to least.",Non-technical-Technical,query,movies,singleAttrBar,1
"This is a bar graph showing different creative types along the bottom, with the number of each type shown on the side, listed from highest to lowest.",Non-technical-Technical,query,movies,singleAttrBar,2
"The bar graph represents various creative types on the horizontal axis, with the quantity of each type on the vertical axis, arranged in a descending order.",Non-technical-Technical,query,movies,singleAttrBar,3
"The bar chart displays 'Creative Type' on the x-axis, with the count of each 'Creative Type' on the y-axis, organized in a descending sequence.",Non-technical-Technical,query,movies,singleAttrBar,4
"The bar chart delineates 'Creative Type' on the abscissa, with the enumeration of each 'Creative Type' on the ordinate, arranged in a descending order.",Non-technical-Technical,query,movies,singleAttrBar,5
"I think this bar chart, with 'Creative Type' on the x-axis and the count of 'Creative Type' on the y-axis, arranged in descending order, is a great way to visualize the data.",Subjective-Objective,query,movies,singleAttrBar,1
"In my opinion, the bar chart is organized with 'Creative Type' on the x-axis and the count of 'Creative Type' on the y-axis, in a descending order.",Subjective-Objective,query,movies,singleAttrBar,2
"The bar chart seems to have 'Creative Type' on the x-axis and the count of 'Creative Type' on the y-axis, and it appears to be in descending order.",Subjective-Objective,query,movies,singleAttrBar,3
"The bar chart is structured with 'Creative Type' on the x-axis and the count of 'Creative Type' on the y-axis, in a descending order.",Subjective-Objective,query,movies,singleAttrBar,4
"The bar chart displays 'Creative Type' on the x-axis and the count of 'Creative Type' on the y-axis, arranged in descending order.",Subjective-Objective,query,movies,singleAttrBar,5
"Picture a bar chart, where the creative types are lined up along the bottom and their counts rise up from there, all arranged from highest to lowest.",Implicit-Explicit,query,movies,singleAttrBar,1
"Imagine a bar chart, with different creative types on the horizontal axis and their counts on the vertical axis, arranged in a way that the highest counts are on the left.",Implicit-Explicit,query,movies,singleAttrBar,2
"There's a bar chart with creative types on the x-axis and their counts on the y-axis, and it's arranged in descending order.",Implicit-Explicit,query,movies,singleAttrBar,3
"The bar chart has 'Creative Type' on the x-axis and the count of each 'Creative Type' on the y-axis, arranged in descending order.",Implicit-Explicit,query,movies,singleAttrBar,4
The bar chart displays 'Creative Type' on the x-axis and the count of each 'Creative Type' on the y-axis. The data is arranged in descending order.,Implicit-Explicit,query,movies,singleAttrBar,5
What's the number for each 'Creative Type' shown on the bar chart?,Colloquial-Standard,question,movies,singleAttrBar,1
What's the tally for each 'Creative Type' on the bar chart?,Colloquial-Standard,question,movies,singleAttrBar,2
What is the total for each 'Creative Type' shown on the bar chart?,Colloquial-Standard,question,movies,singleAttrBar,3
