commands,axes,axes2,ptypes,dnames,vids,scores,scores2
"The chart uses colors to represent regions, with sales on the x-axis and profit on the y-axis.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatterColor,2,3
The scatter plot uses color coding to differentiate between regions. The x-axis represents sales and the y-axis represents profit.,Non-technical-Technical,Implicit-Explicit,query,superstore,scatterColor,5,5
"""The chart we are referring to represents regions in colors, with sales on the x-axis and profits on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatterColor,4,5
"""The point chart we are discussing represents regions in different colors, with sales plotted on the x-axis and profits on the y-axis.""",Colloquial-Standard,Implicit-Explicit,query,superstore,scatterColor,5,5
"Could you please fabricate a chart? I need 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Colloquial-Standard,Implicit-Explicit,question,superstore,scatterColor,4,5
"Could you please assemble a chart? I require 'Region' to be represented by color, 'Sales' on the x-axis, and 'Profit' on the y-axis.",Colloquial-Standard,Implicit-Explicit,question,superstore,scatterColor,5,2
"I would advise creating a chart with 'Central', 'East', 'West', 'South' as the columns, 'Sales' on the x-axis and 'Profit' on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,scatterFaceted,1,4
"I suggest that you create a chart with 'Central', 'East', 'West', 'South' as the columns, 'Sales' on the x-axis and 'Profit' on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,scatterFaceted,2,5
"A chart would be beneficial. With 'Central', 'East', 'West', 'South' as columns. 'Sales' could be on the x-axis and 'Profit' on the y-axis. Does that make sense?",Subjective-Objective,Implicit-Explicit,command,superstore,scatterFaceted,2,3
"""Please create a chart. The column field should be 'Central', 'East', 'West', 'South', the x-axis should be 'Sales', and the y-axis should be 'Profit'.""",Colloquial-Standard,Implicit-Explicit,command,superstore,scatterFaceted,5,5
"It is essential to create a point chart with 'Central', 'East', 'West', 'South' as the column fields, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,scatterFaceted,3,3
"A scatter plot is to be constructed with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis.",Non-technical-Technical,Subjective-Objective,command,superstore,scatterFaceted,5,3
"Create a point chart. Use 'Central', 'East', 'West', 'South' as the columns. 'Sales' as the horizontal axis, and 'Profit' as the vertical axis.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatterFaceted,4,3
"Create a chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis. Is that explicit enough?",Subjective-Objective,Implicit-Explicit,command,superstore,scatterFaceted,5,3
"One is required to construct a point chart with 'Central', 'East', 'West', 'South' as the column parameters, 'Sales' as the x-coordinate, and 'Profit' as the y-coordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,scatterFaceted,4,4
"We need to create a chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis. Is that explicit enough?",Subjective-Objective,Implicit-Explicit,command,superstore,scatterFaceted,5,2
"A chart should be created. With 'Central', 'East', 'West', 'South' as columns. 'Sales' could be on the x-axis and 'Profit' on the y-axis. Does that make sense?",Subjective-Objective,Implicit-Explicit,command,superstore,scatterFaceted,2,5
"I recommend we instantiate a scatter plot with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the abscissa, and 'Profit' as the ordinate.",Non-technical-Technical,Subjective-Objective,command,superstore,scatterFaceted,1,5
"It is required to create a chart. 'Central', 'East', 'West', 'South' should be the columns, 'Sales' on the x-axis and 'Profit' on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,scatterFaceted,4,3
"I'd suggest making a chart with 'Central', 'East', 'West', 'South' in the columns, 'Sales' on the x and 'Profit' on the y.",Colloquial-Standard,Subjective-Objective,command,superstore,scatterFaceted,1,3
"Make a chart with dots. Use 'Central', 'East', 'West', 'South' for the columns. 'Sales' for the horizontal axis, and 'Profit' for the vertical axis.",Non-technical-Technical,Implicit-Explicit,command,superstore,scatterFaceted,3,2
We're looking at a scatter plot of sales versus profit by region.,Non-technical-Technical,Implicit-Explicit,query,superstore,scatterFaceted,1,3
"We're studying a point chart that explicitly shows the correlation between sales and profit in the Central, East, West, and South regions.",Non-technical-Technical,Implicit-Explicit,query,superstore,scatterFaceted,5,2
"We're examining a scatter plot that shows sales and profit in the Central, East, West, and South regions.",Non-technical-Technical,Implicit-Explicit,query,superstore,scatterFaceted,3,3
We're looking at a point chart of sales and profit by region. My gut tells me the West is leading the pack!,Colloquial-Standard,Subjective-Objective,query,superstore,scatterFaceted,1,3
"There's a chart that directly shows sales and profit in regions, specifically Central, East, West, and South.",Subjective-Objective,Implicit-Explicit,query,superstore,scatterFaceted,4,3
"This point chart represents the correlation between our sales volume and net profit in the central, eastern, western, and southern regions.",Colloquial-Standard,Non-technical-Technical,query,superstore,scatterFaceted,5,3
"A scatter diagram is provided, delineating the correlation between sales versus profit for the central, east, west, and south regions.",Non-technical-Technical,Subjective-Objective,query,superstore,scatterFaceted,5,5
What's the graph suggesting about the correlation between sales and profit in different regions?,Non-technical-Technical,Implicit-Explicit,question,superstore,scatterFaceted,1,2
What does the chart reveal about the relationship between 'Sales' and 'Profit' in these regions? There's some evidence to consider.,Colloquial-Standard,Subjective-Objective,question,superstore,scatterFaceted,3,4
How do you feel the chart shows the connection between sales and profit in different areas?,Non-technical-Technical,Subjective-Objective,question,superstore,scatterFaceted,1,2
"Maybe we could do a line chart? 'Order Date' on the x-axis, total 'Sales' on the y-axis, and show the 'Category' differences.",Colloquial-Standard,Subjective-Objective,command,superstore,multiLine,1,3
"It is suggested to generate a line chart with 'Order Date' on the x-axis and sum of 'Sales' on the y-axis, differentiated by 'Category'.",Non-technical-Technical,Subjective-Objective,command,superstore,multiLine,4,4
Please create a line chart that shows the total sales for each product category over time.,Non-technical-Technical,Implicit-Explicit,command,superstore,multiLine,4,3
"""Please create a line chart. The x-axis should represent the 'Order Date' and the y-axis should represent the sum of 'Sales'. Each 'Category' should be clearly differentiated.""",Colloquial-Standard,Implicit-Explicit,command,superstore,multiLine,5,1
Create a graph that clearly shows the total sales for each product category over time.,Non-technical-Technical,Implicit-Explicit,command,superstore,multiLine,5,2
A line chart with 'Order Date' and sum of 'Sales' would be useful. We could differentiate it by 'Category'.,Subjective-Objective,Implicit-Explicit,command,superstore,multiLine,1,4
We need a line chart with 'Order Date' on the x-axis and the sum of 'Sales' on the y-axis. It should clearly differentiate by 'Category'.,Colloquial-Standard,Subjective-Objective,command,superstore,multiLine,4,1
How about a line chart with 'Order Date' and sum of 'Sales'? We could differentiate it by 'Category'.,Subjective-Objective,Implicit-Explicit,command,superstore,multiLine,2,2
Consider a line chart with 'Order Date' and sum of 'Sales'. We could differentiate it by 'Category'.,Subjective-Objective,Implicit-Explicit,command,superstore,multiLine,2,4
"You are tasked to generate a line chart with the 'Order Date' on the x-axis and the aggregate of 'Sales' on the y-axis, differentiated by 'Category'.",Colloquial-Standard,Non-technical-Technical,command,superstore,multiLine,5,2
Create a line chart that clearly shows the total sales for each product category over time.,Non-technical-Technical,Implicit-Explicit,command,superstore,multiLine,5,3
"""We require a line chart. 'Order Date' on the x-axis, sum of 'Sales' on the y-axis, and 'Category' differentiated.""",Colloquial-Standard,Implicit-Explicit,command,superstore,multiLine,3,4
"This line chart depicts the temporal progression of the summation of sales, categorized by product type.",Colloquial-Standard,Non-technical-Technical,query,superstore,multiLine,5,1
This is a line chart with dates and sales for each category.,Colloquial-Standard,Implicit-Explicit,query,superstore,multiLine,1,4
"The line chart represents the sum of sales for each category, organized by date.",Colloquial-Standard,Implicit-Explicit,query,superstore,multiLine,5,2
"I believe this is a line chart, showing sales totals by category over time.",Subjective-Objective,Implicit-Explicit,query,superstore,multiLine,3,1
This is a graph showing sales by product type over time.,Non-technical-Technical,Implicit-Explicit,query,superstore,multiLine,3,1
"This line graph, it's got the date, month and year, and it's showing the total sales for each category. It's just the facts, no opinions.",Colloquial-Standard,Subjective-Objective,query,superstore,multiLine,4,1
"The line chart displays the sum of sales for each category, organized by date.",Colloquial-Standard,Implicit-Explicit,query,superstore,multiLine,4,3
This line chart clearly shows the sum of sales by product category over order date.,Non-technical-Technical,Implicit-Explicit,query,superstore,multiLine,4,5
Would you be able to elucidate how the summation of sales data is varying temporally for each category?,Colloquial-Standard,Non-technical-Technical,question,superstore,multiLine,5,4
"I'm wondering how the total sales for each category change over time, what do you think?",Non-technical-Technical,Subjective-Objective,question,superstore,multiLine,1,2
"I feel like there's some kind of pattern in the sales for each category over time, don't you think?",Subjective-Objective,Implicit-Explicit,question,superstore,multiLine,1,1
Make a bar graph with 'How long it runs' on the bottom and the number of times it happens on the side.,Colloquial-Standard,Non-technical-Technical,command,movies,histogram,1,1
It is compulsory to produce a bar diagram with 'Running Time' on the abscissa and the enumeration of records on the ordinate.,Colloquial-Standard,Non-technical-Technical,command,movies,histogram,5,4
"Create a bar chart. 'Running Time' on the x-axis, count of records on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,movies,histogram,4,5
Please create a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis.,Colloquial-Standard,Non-technical-Technical,command,movies,histogram,1,3
"Make a picture with lines going up for how many times something happens, and lines going across for how long something takes.",Non-technical-Technical,Implicit-Explicit,command,movies,histogram,1,1
"I propose the creation of a bar chart, 'Running Time' on the x-axis, count of records on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,movies,histogram,2,5
"Create a bar chart. 'Running Time' on the x-axis, count of records on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,movies,histogram,4,4
Make a bar chart with 'Running Time' on the horizontal axis and the frequency on the vertical axis.,Colloquial-Standard,Non-technical-Technical,command,movies,histogram,3,1
It is advisable to create a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis.,Colloquial-Standard,Subjective-Objective,command,movies,histogram,4,3
"You know, like a bar chart with time and counts.",Non-technical-Technical,Implicit-Explicit,command,movies,histogram,1,3
Make a picture with bars that shows how long each thing runs for and how many things there are.,Non-technical-Technical,Subjective-Objective,command,movies,histogram,1,1
One must create a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis.,Colloquial-Standard,Non-technical-Technical,command,movies,histogram,1,5
"Could you make a bar chart with 'Running Time' on the x-axis and the count of records on the y-axis, please?",Colloquial-Standard,Subjective-Objective,command,movies,histogram,1,2
Construct a bar graph with 'Running Time' as the abscissa and the frequency of records as the ordinate.,Non-technical-Technical,Subjective-Objective,command,movies,histogram,3,5
"Create a bar chart, with 'Running Time' on the x-axis and the count of records on the y-axis.",Subjective-Objective,Implicit-Explicit,command,movies,histogram,5,3
"Make a bar graph thingy with 'Running Time' on the bottom and the number of records on the side, you know?",Colloquial-Standard,Subjective-Objective,command,movies,histogram,1,1
Generate a bar chart where the x-axis signifies 'Running Time' and the y-axis signifies the count of records.,Non-technical-Technical,Implicit-Explicit,command,movies,histogram,5,5
The bar chart provides a visual representation of 'Running Time' and the count of records.,Colloquial-Standard,Non-technical-Technical,query,movies,histogram,2,5
The bar chart objectively demonstrates the quantitative representation of records and their temporal duration.,Non-technical-Technical,Subjective-Objective,query,movies,histogram,5,5
"This bar chart seems to be about running time, and it's counting records.",Subjective-Objective,Implicit-Explicit,query,movies,histogram,3,1
"This bar chart here, it's about 'Running Time' and the number of times it's been recorded.",Colloquial-Standard,Subjective-Objective,query,movies,histogram,1,2
"This is a bar chart, it shows 'Running Time' and the count of records.",Colloquial-Standard,Non-technical-Technical,query,movies,histogram,2,2
This bar chart clearly shows the running time and counts the records.,Subjective-Objective,Implicit-Explicit,query,movies,histogram,4,5
The bar chart provides a visual representation of 'Running Time' and the enumeration of data entries.,Colloquial-Standard,Non-technical-Technical,query,movies,histogram,4,5
The bar chart is demonstrating the quantitative representation of records and their temporal duration.,Non-technical-Technical,Subjective-Objective,query,movies,histogram,3,5
"We have a bar chart here, titled 'Running Time', with a number of records tallied.",Non-technical-Technical,Implicit-Explicit,query,movies,histogram,2,3
Can you count how many times each 'Running Time' appears in the bar chart?,Non-technical-Technical,Subjective-Objective,question,movies,histogram,3,1
Can you count how many of each 'Running Time' there are in that bar chart?,Colloquial-Standard,Subjective-Objective,question,movies,histogram,3,1
What is the frequency of each 'Running Time' in the bar chart?,Colloquial-Standard,Non-technical-Technical,question,movies,histogram,3,3
"I'm curious, how many records are there for each 'Running Time' in the bar chart?",Colloquial-Standard,Subjective-Objective,question,movies,histogram,1,3
"Make a bar chart, 'Creative Type' on the x, count on the y, you know?",Colloquial-Standard,Implicit-Explicit,command,movies,singleAttrBar,2,1
It is required to create a bar chart with 'Creative Type' on the x-axis and its count on the y-axis.,Colloquial-Standard,Non-technical-Technical,command,movies,singleAttrBar,2,4
Generate a bar diagram with 'Creative Type' as the abscissa and its count as the ordinate.,Colloquial-Standard,Non-technical-Technical,command,movies,singleAttrBar,4,1
Fabricate a bar chart with 'Creative Type' as the x-coordinate and its enumeration as the y-coordinate.,Colloquial-Standard,Non-technical-Technical,command,movies,singleAttrBar,5,1
Please make a bar chart with 'Creative Type' on the x-axis and the count on the y-axis.,Colloquial-Standard,Non-technical-Technical,command,movies,singleAttrBar,1,3
Please proceed with creating a bar chart with 'Creative Type' on the x-axis and its count on the y-axis.,Colloquial-Standard,Subjective-Objective,command,movies,singleAttrBar,3,4
Could you make a bar chart with 'Creative Type' on the x-axis and its count on the y-axis?,Non-technical-Technical,Implicit-Explicit,command,movies,singleAttrBar,2,3
It is required to create a bar chart with 'Creative Type' on the x-axis and its count on the y-axis.,Subjective-Objective,Implicit-Explicit,command,movies,singleAttrBar,4,5
You might want to make a bar graph with 'Creative Type' on the x-axis and its count on the y-axis.,Non-technical-Technical,Subjective-Objective,command,movies,singleAttrBar,2,2
Please create a bar chart with 'Creative Type' on the x-axis and the count on the y-axis.,Colloquial-Standard,Implicit-Explicit,command,movies,singleAttrBar,4,3
Generate a bar chart with 'Creative Type' as the independent variable and its count as the dependent variable.,Non-technical-Technical,Implicit-Explicit,command,movies,singleAttrBar,5,5
Make a picture with 'Creative Type' along the bottom and how many there are going up the side.,Non-technical-Technical,Implicit-Explicit,command,movies,singleAttrBar,1,1
"It's a bar chart with 'Creative Type' on the x-axis and its count on the y-axis, arranged in descending order.",Non-technical-Technical,Implicit-Explicit,query,movies,singleAttrBar,4,3
"Here we have a bar chart, with 'Creative Type' on the x-axis, and the tally of each 'Creative Type' on the y-axis, arranged in a descending order.",Colloquial-Standard,Non-technical-Technical,query,movies,singleAttrBar,3,2
"Bar chart, 'Creative Type' on x-axis, count on y-axis, arranged from most to least.",Non-technical-Technical,Implicit-Explicit,query,movies,singleAttrBar,2,5
"The bar chart delineates 'Creative Type' on the x-axis, with the enumeration of each 'Creative Type' on the y-axis, arranged in a descending order.",Colloquial-Standard,Non-technical-Technical,query,movies,singleAttrBar,5,3
"It's a chart with creative types and their counts, sorted from most to least.",Non-technical-Technical,Subjective-Objective,query,movies,singleAttrBar,1,4
What is the tally of each 'Creative Type' displayed on the bar chart?,Colloquial-Standard,Non-technical-Technical,question,movies,singleAttrBar,4,5
Could you specify the count of each 'Creative Type' on the bar chart?,Colloquial-Standard,Subjective-Objective,question,movies,singleAttrBar,5,5
"It appears we should understand the count of each 'Creative Type' on the bar chart, correct?",Subjective-Objective,Implicit-Explicit,question,movies,singleAttrBar,2,2
Do you know the count of each 'Creative Type' on the bar chart?,Colloquial-Standard,Implicit-Explicit,question,movies,singleAttrBar,1,2
What's the tally of each 'Creative Type' on the bar chart?,Colloquial-Standard,Non-technical-Technical,question,movies,singleAttrBar,4,2
The exact count of each 'Creative Type' on the bar chart is needed.,Subjective-Objective,Implicit-Explicit,question,movies,singleAttrBar,5,5
"I feel like I'm not quite sure about the numbers for each 'Creative Type' on the bar chart, do you get it?",Subjective-Objective,Implicit-Explicit,question,movies,singleAttrBar,1,1
Create a bar chart showing movie genres and their earnings.,Non-technical-Technical,Implicit-Explicit,command,movies,bar,3,2
I believe it would be beneficial to construct a bar chart with the major film genres and their average worldwide gross.,Non-technical-Technical,Subjective-Objective,command,movies,bar,1,3
Generate a bar chart with 'Major Genre' as the x-axis and the mean 'Worldwide Gross' as the y-axis.,Non-technical-Technical,Subjective-Objective,command,movies,bar,5,4
It is vital to generate a bar diagram with the primary genre on the x-axis and the mean global gross on the y-axis.,Colloquial-Standard,Non-technical-Technical,command,movies,bar,4,5
How about we make a bar chart with 'Major Genre' on the x-axis and the average 'Worldwide Gross' on the y-axis? I think it'll work well.,Colloquial-Standard,Subjective-Objective,command,movies,bar,2,2
Construct a bar chart with 'Major Genre' on the x-axis and the average 'Worldwide Gross' on the y-axis. This will accurately represent the data.,Colloquial-Standard,Subjective-Objective,command,movies,bar,5,1
Required: a bar chart with 'Major Genre' on the x-axis and the average 'Worldwide Gross' on the y-axis.,Subjective-Objective,Implicit-Explicit,command,movies,bar,4,5
We need to generate a bar chart with 'Major Genre' as the x-axis and the mean 'Worldwide Gross' as the y-axis.,Non-technical-Technical,Subjective-Objective,command,movies,bar,4,4
We need to create a simple diagram showing movie types and their worldwide earnings.,Non-technical-Technical,Subjective-Objective,command,movies,bar,4,1
It would be efficient to fabricate a bar chart with the principal genre on the x-axis and the mean aggregate worldwide gross on the y-axis.,Colloquial-Standard,Non-technical-Technical,command,movies,bar,5,3
"I feel like this bar chart is trying to show us the average worldwide gross for each major genre, you know?",Subjective-Objective,Implicit-Explicit,query,movies,bar,1,1
"""That bar chart with the mean 'Worldwide Gross' for each 'Major Genre'.""",Non-technical-Technical,Implicit-Explicit,query,movies,bar,1,4
"""A bar chart, it's about 'Major Genre' and the mean of 'Worldwide Gross'.""",Colloquial-Standard,Implicit-Explicit,query,movies,bar,2,3
"""The bar chart explicitly represents 'Major Genre' and the mean of 'Worldwide Gross'.""",Colloquial-Standard,Implicit-Explicit,query,movies,bar,5,4
"""You know, that bar chart thingy, the one with the 'Major Genre' and the average of 'Worldwide Gross'.""",Colloquial-Standard,Implicit-Explicit,query,movies,bar,1,1
"""I think this bar chart is showing us the average worldwide earnings for different movie genres.""",Non-technical-Technical,Subjective-Objective,query,movies,bar,1,1
"""This is a bar chart representation of the mean 'Worldwide Gross' for each 'Major Genre'.""",Colloquial-Standard,Non-technical-Technical,query,movies,bar,5,1
"""This bar chart represents the mean 'Worldwide Gross' for each 'Major Genre'.""",Non-technical-Technical,Implicit-Explicit,query,movies,bar,3,5
"So, what's the average global take for each genre, you think?",Colloquial-Standard,Implicit-Explicit,question,movies,bar,1,2
"I'm curious, what do you suppose is the average worldwide gross for each major genre?",Colloquial-Standard,Subjective-Objective,question,movies,bar,1,5
Please provide the mean worldwide gross for each major film genre.,Non-technical-Technical,Subjective-Objective,question,movies,bar,4,3
Can you tell me the average global earnings for each main type of movie?,Colloquial-Standard,Non-technical-Technical,question,movies,bar,1,2
Could you provide the average global earnings for each major film genre? It appears that some genres may perform better than others.,Non-technical-Technical,Subjective-Objective,question,movies,bar,2,2
What's the average worldwide earnings for each main movie genre?,Colloquial-Standard,Non-technical-Technical,question,movies,bar,2,3
What is the average global earnings for each main type of movie?,Colloquial-Standard,Non-technical-Technical,question,movies,bar,1,5
What are the average global earnings for each major film genre?,Non-technical-Technical,Subjective-Objective,question,movies,bar,3,2
I instruct you to create a point chart with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis. This will provide a factual comparison of the ratings.,Colloquial-Standard,Subjective-Objective,command,movies,scatter,5,3
Construct a graph with 'IMDB Rating' as the horizontal variable and 'Rotten Tomatoes Rating' as the vertical variable.,Non-technical-Technical,Subjective-Objective,command,movies,scatter,5,1
Construct a Cartesian coordinate system with 'IMDB Rating' as the x-coordinate and 'Rotten Tomatoes Rating' as the y-coordinate.,Non-technical-Technical,Subjective-Objective,command,movies,scatter,5,4
I propose creating a point chart with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis. I believe it would be quite informative.,Colloquial-Standard,Subjective-Objective,command,movies,scatter,2,3
A point chart should be instantiated with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Non-technical-Technical,Subjective-Objective,command,movies,scatter,4,5
"""You know, a chart with IMDB on one side and Rotten Tomatoes on the other would be cool.""",Colloquial-Standard,Implicit-Explicit,command,movies,scatter,2,1
It is necessary to have a chart with 'IMDB Rating' and 'Rotten Tomatoes Rating'. Could you create it?,Subjective-Objective,Implicit-Explicit,command,movies,scatter,3,5
A chart with 'IMDB Rating' and 'Rotten Tomatoes Rating' is needed.,Subjective-Objective,Implicit-Explicit,command,movies,scatter,1,5
"""Could you create a chart with IMDB ratings on the x-axis and Rotten Tomatoes ratings on the y-axis?""",Colloquial-Standard,Implicit-Explicit,command,movies,scatter,4,1
You know what you should do? Draw up a dot chart with 'IMDB Rating' on the side-to-side bit and 'Rotten Tomatoes Rating' on the up-and-down bit. I think it'll be really useful.,Colloquial-Standard,Subjective-Objective,command,movies,scatter,2,1
I think it would be cool to have a chart with 'IMDB Rating' and 'Rotten Tomatoes Rating'. Can you figure out how to do that?,Subjective-Objective,Implicit-Explicit,command,movies,scatter,2,1
Construct a dot chart. Position 'IMDB Rating' on the side-to-side bit and 'Rotten Tomatoes Rating' on the up-and-down bit. This will provide an unbiased comparison of the ratings.,Colloquial-Standard,Subjective-Objective,command,movies,scatter,5,1
"""It might be helpful to have a chart with IMDB and Rotten Tomatoes ratings.""",Colloquial-Standard,Implicit-Explicit,command,movies,scatter,1,3
You know those movie ratings from IMDB and Rotten Tomatoes? Can you put them on a simple graph?,Non-technical-Technical,Implicit-Explicit,command,movies,scatter,2,1
It is imperative to generate a scatter diagram with 'IMDB Rating' as the abscissa and 'Rotten Tomatoes Rating' as the ordinate.,Colloquial-Standard,Non-technical-Technical,command,movies,scatter,4,4
Construct a graph. IMDB ratings should be on one axis and Rotten Tomatoes ratings on the other.,Non-technical-Technical,Implicit-Explicit,command,movies,scatter,5,1
You need to create a chart with IMDB ratings on the horizontal line and Rotten Tomatoes ratings on the vertical line.,Colloquial-Standard,Non-technical-Technical,command,movies,scatter,1,3
It is crucial to produce a Cartesian plot with 'IMDB Rating' as the x-variable and 'Rotten Tomatoes Rating' as the y-variable.,Colloquial-Standard,Non-technical-Technical,command,movies,scatter,5,4
Please make a graph. Use the movie ratings from IMDB for one axis and the ones from Rotten Tomatoes for the other.,Non-technical-Technical,Implicit-Explicit,command,movies,scatter,3,1
The scattergram represents 'IMDB Rating' on the abscissa and 'Rotten Tomatoes Rating' on the ordinate.,Non-technical-Technical,Subjective-Objective,query,movies,scatter,3,5
The scattergram plots 'IMDB Rating' on the abscissa and 'Rotten Tomatoes Rating' on the ordinate.,Non-technical-Technical,Subjective-Objective,query,movies,scatter,5,5
"It seems like there's a chart with movie ratings, right?",Subjective-Objective,Implicit-Explicit,query,movies,scatter,1,2
It's a scatter diagram with IMDB ratings on the x-coordinate and Rotten Tomatoes ratings on the y-coordinate.,Colloquial-Standard,Non-technical-Technical,query,movies,scatter,3,1
This scatter plot has 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Non-technical-Technical,Implicit-Explicit,query,movies,scatter,4,4
"This chart here, it's got IMDB ratings on the x-axis and Rotten Tomatoes ratings on the y-axis. Just my personal view.",Colloquial-Standard,Subjective-Objective,query,movies,scatter,1,2
This chart explicitly presents 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Subjective-Objective,Implicit-Explicit,query,movies,scatter,5,3
"In this graphical representation, IMDB's on the x, Rotten Tomatoes on the y.",Colloquial-Standard,Implicit-Explicit,query,movies,scatter,1,5
This is a plot with 'IMDB Rating' on the x-axis and 'Rotten Tomatoes Rating' on the y-axis.,Non-technical-Technical,Implicit-Explicit,query,movies,scatter,5,3
"This graph, it's got IMDB ratings on the x-axis and Rotten Tomatoes ratings on the y-axis. That's the unbiased information.",Colloquial-Standard,Subjective-Objective,query,movies,scatter,4,3
"I feel like the 'IMDB Rating' and the 'Rotten Tomatoes Rating' might not be the same on a point chart, you know?",Subjective-Objective,Implicit-Explicit,question,movies,scatter,1,1
Can you tell how the movie ratings from IMDB and Rotten Tomatoes compare on a simple chart?,Non-technical-Technical,Implicit-Explicit,question,movies,scatter,2,1
What is the comparison of movie ratings from IMDB and Rotten Tomatoes on a simple chart?,Non-technical-Technical,Subjective-Objective,question,movies,scatter,5,1
A line chart with 'Release Year' on the x-axis and the mean of 'AVG (Production Budget)' on the y-axis would be a good representation. Can you make this chart?,Subjective-Objective,Implicit-Explicit,command,movies,line,4,4
Instantiate a line chart with 'Release Year' on the x-axis and the mean of 'AVG (Production Budget)' on the y-axis.,Non-technical-Technical,Subjective-Objective,command,movies,line,3,5
Please create a line chart with years and average budget.,Non-technical-Technical,Implicit-Explicit,command,movies,line,3,3
It is essential to plot a line chart with the release year and the mean production budget.,Colloquial-Standard,Non-technical-Technical,command,movies,line,3,4
You are tasked to generate a line chart with 'Release Year' and the arithmetic mean of 'AVG (Production Budget)'.,Colloquial-Standard,Non-technical-Technical,command,movies,line,5,2
"""It is recommended to create a line chart with 'Release Year' on the x-axis and the mean of 'AVG (Production Budget)' on the y-axis.""",Colloquial-Standard,Subjective-Objective,command,movies,line,4,4
"""Hey, can you whip up a line chart? You know, with the 'Release Year' on the bottom and the average of the 'Production Budget' up the side?""",Colloquial-Standard,Implicit-Explicit,command,movies,line,1,1
A line chart should be created with the release year and the average production budget.,Colloquial-Standard,Non-technical-Technical,command,movies,line,2,3
Consider creating a line chart with 'Release Year' on the x-axis and the mean of 'AVG (Production Budget)' on the y-axis.,Subjective-Objective,Implicit-Explicit,command,movies,line,1,4
Please create a graph with 'Release Year' on the x-axis and the mean of 'Production Budget' on the y-axis.,Non-technical-Technical,Implicit-Explicit,command,movies,line,5,2
"It's a line chart, maybe showing the average production budget over the years.",Subjective-Objective,Implicit-Explicit,query,movies,line,1,3
I feel like this line chart is depicting the mean of the production budget over the years.,Non-technical-Technical,Subjective-Objective,query,movies,line,1,3
This is a graph showing the average budget over the years.,Colloquial-Standard,Non-technical-Technical,query,movies,line,2,2
This is a line chart representing the mean of the 'AVG (Production Budget)' over the 'Release Year'.,Colloquial-Standard,Non-technical-Technical,query,movies,line,5,2
"""The line chart here represents the average production budget each year.""",Colloquial-Standard,Subjective-Objective,query,movies,line,4,2
It's a line chart showing the change in the mean production budget over time.,Non-technical-Technical,Implicit-Explicit,query,movies,line,2,3
It's a simple graph showing the average budget over the years.,Non-technical-Technical,Implicit-Explicit,query,movies,line,1,1
It's a line chart that clearly shows the average production budget by release year.,Subjective-Objective,Implicit-Explicit,query,movies,line,4,2
It's a line graph showing the change in average budget over time.,Non-technical-Technical,Implicit-Explicit,query,movies,line,2,2
"It's a line chart, explicitly showing the average production budget by release year.",Subjective-Objective,Implicit-Explicit,query,movies,line,5,3
How do you perceive the mean of the production budget to change over the release year?,Non-technical-Technical,Subjective-Objective,question,movies,line,1,3
Could you inform me how the mean of the 'AVG (Production Budget)' evolves over the course of the 'Release Year'?,Colloquial-Standard,Non-technical-Technical,question,movies,line,5,4
Clearly explain how the mean of the 'AVG (Production Budget)' changes over time.,Non-technical-Technical,Implicit-Explicit,question,movies,line,5,4
Could you clarify how the average production budget fluctuates over the release years?,Colloquial-Standard,Non-technical-Technical,question,movies,line,3,2
Could you inform me how the average budget changes over time?,Colloquial-Standard,Non-technical-Technical,question,movies,line,1,4
"Can you whip up a bar chart showing how much dough, on average, each type of creative project costs? And can you sort it by the content rating? Just my two cents, but I think it'd be pretty cool to see.",Colloquial-Standard,Subjective-Objective,command,movies,groupedBar,1,1
"Please create a bar chart that shows the average production budget for each creative type, grouped by content rating.",Colloquial-Standard,Non-technical-Technical,command,movies,groupedBar,3,3
